ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"I00_I99","2011_2015",10,"AirSVI+SM+PD","0.00","6.82(2.85,10.97)","21.79(17.56,26.01)","6.53(2.73,10.46)","11.94(8.23,15.76)","30.82(26.80,34.86)","4.26(0.37,8.20)","10.54(6.72,14.29)","22.71(18.47,26.78)","0.0010","1.0007",2956,2898,"0.0002","1.0014",2924,3449,"0.0010","1.0020",3026,3171,"0.0002","1.0016",2517,3478,"0.0002","1.0026",2426,3368,"0.0335","1.0020",2776,3595,"0.0002","1.0031",2224,3207,"0.0002","1.0024",2294,2942,"7.56(7.26,7.87)","0.0002","1.0019",1456,2596,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0015",4667,3433,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+DB","0.00","6.90(3.06,10.69)","11.25(6.77,15.81)","8.49(4.69,12.32)","12.37(8.53,16.17)","23.53(19.41,27.62)","6.30(2.52,10.18)","11.33(7.69,15.03)","18.40(14.28,22.49)","0.0006","1.0024",3195,3207,"0.0002","1.0026",2462,3263,"0.0002","1.0027",2878,3531,"0.0002","1.0024",2604,3408,"0.0002","1.0036",2211,3186,"0.0023","1.0022",2445,3136,"0.0002","1.0046",2039,3466,"0.0002","1.0046",2149,2885,"6.11(5.77,6.46)","0.0002","1.0050",2119,2438,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.49(5.61,7.38)","0.0002","1.0015",2326,3112
"I00_I99","2011_2015",10,"AirSVI+PA+OB","0.00","13.46(9.41,17.63)","22.29(17.72,26.79)","6.70(2.64,10.73)","19.88(16.15,23.82)","34.00(29.87,38.04)","3.99(-0.19,8.12)","17.31(13.35,21.24)","28.01(24.04,32.05)","0.0002","1.0008",2419,3417,"0.0002","1.0019",2222,3258,"0.0010","1.0023",2285,3233,"0.0002","1.0027",1986,3050,"0.0002","1.0019",1929,2654,"0.0623","1.0015",1909,2881,"0.0002","1.0019",1874,2445,"0.0002","1.0014",1854,2690,"",NA,"NA",NA,NA,"-0.10(-0.27,0.07)","0.2606","1.0043",1228,2304,"5.23(4.95,5.50)","0.0002","1.0033",1660,2556,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+UN","0.00","17.20(13.21,21.25)","28.51(23.93,33.18)","2.81(-1.11,6.75)","17.02(13.29,20.80)","34.79(30.79,38.78)","-5.30(-9.40,-1.10)","12.43(8.82,16.09)","27.80(23.98,31.73)","0.0002","1.0017",2999,3006,"0.0002","1.0024",2601,3075,"0.1585","1.0006",3156,3383,"0.0002","1.0018",2445,3205,"0.0002","1.0024",2215,3116,"0.0152","1.0009",2897,3475,"0.0002","1.0010",2552,3048,"0.0002","1.0003",2493,3168,"",NA,"NA",NA,NA,"-4.58(-4.99,-4.18)","0.0002","1.0058",1627,2629,"",NA,"NA",NA,NA,"-3.35(-3.81,-2.88)","0.0002","1.0010",2846,2830,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+PD","0.00","12.62(8.48,16.68)","22.71(18.03,27.22)","6.56(2.57,10.43)","16.75(12.87,20.47)","32.83(28.70,36.92)","0.51(-3.79,4.80)","13.36(9.22,17.33)","25.85(21.59,30.05)","0.0002","1.0024",3001,3434,"0.0002","1.0015",2601,3095,"0.0023","1.0012",3161,3088,"0.0002","1.0018",2663,3093,"0.0002","1.0021",2191,3369,"0.8163","1.0022",2739,2945,"0.0002","1.0016",2505,2742,"0.0002","1.0020",2349,3141,"",NA,"NA",NA,NA,"-3.75(-4.14,-3.38)","0.0002","1.0031",1885,2900,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.01,0.01)","0.7517","1.0011",3515,3173,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+DB","0.00","16.34(12.07,20.47)","16.31(11.33,21.16)","6.66(2.51,11.00)","19.02(15.04,23.15)","29.71(25.46,33.89)","-6.38(-10.46,-2.26)","6.48(2.56,10.29)","16.42(12.32,20.65)","0.0002","1.0015",2208,3166,"0.0002","1.0009",1488,2894,"0.0006","1.0010",2474,3315,"0.0002","1.0023",1722,2828,"0.0002","1.0012",1546,2970,"0.0040","1.0014",1865,2971,"0.0019","1.0017",1542,3074,"0.0002","1.0021",1676,2699,"",NA,"NA",NA,NA,"0.68(0.52,0.85)","0.0002","1.0079",837,1654,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"13.89(12.99,14.77)","0.0002","1.0020",1224,2344
"I00_I99","2011_2015",10,"AirSVI+OB+UN","0.00","16.88(12.82,21.05)","27.23(22.78,31.77)","4.26(0.26,8.28)","20.63(16.80,24.43)","36.59(32.58,40.53)","-0.18(-4.26,3.76)","16.49(12.85,20.17)","29.72(25.74,33.76)","0.0002","1.0010",3190,3433,"0.0002","1.0020",2796,3274,"0.0398","1.0014",3387,3383,"0.0002","1.0005",2772,3310,"0.0002","1.0010",2499,3434,"0.9363","1.0011",2892,3191,"0.0002","0.9998",2479,3279,"0.0002","1.0011",2717,3587,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.56(5.29,5.83)","0.0002","1.0025",1286,2311,"-1.86(-2.29,-1.45)","0.0002","1.0012",2336,3314,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB+PD","0.00","13.54(9.41,17.62)","22.79(18.22,27.22)","5.80(1.86,9.87)","19.38(15.50,23.38)","33.72(29.71,37.69)","1.18(-3.04,5.31)","14.22(10.26,18.24)","25.07(20.94,29.39)","0.0002","1.0014",2989,3421,"0.0002","1.0024",2778,2748,"0.0015","1.0000",3136,3631,"0.0002","1.0019",2843,3629,"0.0002","1.0001",2698,3025,"0.5730","1.0013",2538,3511,"0.0002","1.0012",2299,3152,"0.0002","1.0012",2437,3179,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.31(5.07,5.56)","0.0002","1.0015",1279,2264,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","0.9999",4015,3438,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB+DB","0.00","13.54(9.37,17.60)","18.33(13.61,22.98)","7.23(3.15,11.35)","19.40(15.45,23.24)","31.10(26.74,35.46)","2.89(-1.25,6.89)","15.20(11.33,19.10)","24.26(19.89,28.56)","0.0002","1.0020",2690,3251,"0.0002","1.0033",1982,2809,"0.0006","1.0003",2841,3316,"0.0002","1.0027",1942,2438,"0.0002","1.0018",1721,2486,"0.1643","1.0018",1871,2892,"0.0002","1.0015",1812,2355,"0.0002","1.0003",1886,2273,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.24(3.85,4.64)","0.0002","1.0017",1467,2257,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.84(2.54,5.13)","0.0002","1.0021",2023,2657
"I00_I99","2011_2015",10,"AirSVI+UN+PD","0.00","20.11(15.95,24.18)","43.90(39.43,48.32)","-1.58(-5.87,2.62)","19.89(15.92,23.81)","49.37(45.27,53.45)","-15.50(-20.01,-10.97)","8.54(4.42,12.66)","34.81(30.64,39.16)","0.0002","1.0024",2517,3417,"0.0002","1.0012",2489,3026,"0.4601","1.0007",2818,3089,"0.0002","1.0038",2227,3177,"0.0002","1.0011",2109,3107,"0.0002","1.0006",2168,2838,"0.0002","1.0014",1977,2946,"0.0002","1.0012",2088,2925,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.78(-2.23,-1.31)","0.0002","1.0010",2441,2826,"-0.03(-0.04,-0.03)","0.0002","1.0013",4068,3590,"",NA,"NA",NA,NA
