ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+OB+PD+DB","0.00","9.66(7.44,11.94)","20.16(17.54,22.78)","15.98(12.45,19.66)","0.0002","0.0002","0.0002","0.9996","1.0002","1.0015",3711,3062,2765,4063,3521,3348,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.95(2.65,3.26)","0.0002","1.0010",2487,3078,"",NA,"NA",NA,NA,"-0.00(-0.01,0.00)","0.4484","1.0001",6119,4026,"-3.35(-4.38,-2.34)","0.0002","1.0005",2894,3304
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+UN+PD+DB","0.00","11.75(9.42,14.11)","22.75(19.72,25.84)","16.78(11.99,21.67)","0.0002","0.0002","0.0002","1.0042","1.0195","1.0316",1334,321,178,2453,1095,803,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.05(-1.44,-0.68)","0.0002","1.0194",294,604,"-0.02(-0.03,-0.02)","0.0002","1.0110",503,1567,"3.68(2.55,4.72)","0.0002","1.0394",158,675
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+OB+UN","0.00","5.26(3.22,7.29)","11.83(9.43,14.30)","9.82(6.75,12.91)","0.0002","0.0002","0.0002","1.0008","1.0014","1.0023",3235,2807,2878,3654,3328,3299,"4.72(4.44,5.00)","0.0002","1.0007",3535,3512,"-0.07(-0.19,0.04)","0.2152","1.0022",3520,3614,"0.07(-0.16,0.30)","0.5722","1.0013",3250,3540,"-1.88(-2.14,-1.63)","0.0002","1.0011",3116,3370,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+OB+PD","0.00","2.45(0.34,4.53)","5.90(3.58,8.28)","1.27(-1.79,4.31)","0.0190","0.0002","0.4160","1.0003","1.0008","1.0003",3998,2861,2618,3743,3466,3599,"4.56(4.27,4.84)","0.0002","1.0011",3836,3814,"-0.22(-0.35,-0.09)","0.0019","1.0010",3258,3283,"0.01(-0.24,0.25)","0.9700","1.0007",3614,3646,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0023","1.0000",5488,4310,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+OB+DB","0.00","3.60(1.49,5.62)","8.57(6.12,11.07)","6.45(2.97,9.90)","0.0015","0.0002","0.0006","1.0000","1.0013","1.0008",2484,1833,1757,3122,3178,3248,"4.43(4.13,4.73)","0.0002","1.0011",2625,3026,"-0.13(-0.25,-0.01)","0.0315","1.0013",2075,2849,"0.31(-0.01,0.62)","0.0577","1.0022",2032,2920,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.86(-2.77,-0.93)","0.0002","1.0010",1911,2563
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+UN+PD","0.00","5.05(2.96,7.19)","11.44(8.87,13.94)","9.52(6.32,12.57)","0.0002","0.0002","0.0002","1.0005","1.0014","1.0007",2600,2240,1952,3518,2767,3060,"4.82(4.58,5.06)","0.0002","1.0003",3143,3559,"-0.10(-0.21,0.03)","0.1343","1.0001",2652,3285,"",NA,"NA",NA,NA,"-1.85(-2.10,-1.59)","0.0002","1.0010",2728,3228,"0.00(-0.00,0.01)","0.2552","1.0002",5169,4008,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+UN+DB","0.00","5.48(3.50,7.47)","12.47(9.99,14.91)","11.87(8.42,15.26)","0.0002","0.0002","0.0002","1.0017","1.0016","1.0006",3181,2589,2358,3507,3339,3383,"4.86(4.63,5.11)","0.0002","1.0009",3605,3633,"-0.06(-0.17,0.06)","0.3310","1.0014",3101,3260,"",NA,"NA",NA,NA,"-1.84(-2.09,-1.58)","0.0002","1.0007",2988,3582,"",NA,"NA",NA,NA,"-0.71(-1.38,-0.02)","0.0448","1.0010",2758,3055
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+PD+DB","0.00","2.92(0.74,5.09)","7.15(4.62,9.70)","4.51(0.87,8.12)","0.0077","0.0002","0.0144","1.0007","1.0014","1.0006",2981,2244,2045,3334,3126,2700,"4.70(4.45,4.95)","0.0002","1.0006",3127,3628,"-0.18(-0.31,-0.06)","0.0056","1.0006",2689,3311,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0044","1.0003",4648,4246,"-1.11(-1.80,-0.39)","0.0015","1.0009",2433,2894
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+OB+UN+PD","0.00","5.18(3.14,7.22)","11.91(9.52,14.20)","10.18(7.22,13.08)","0.0002","0.0002","0.0002","1.0025","1.0021","1.0016",2844,1964,2111,3368,2505,3135,"4.74(4.45,5.02)","0.0002","1.0016",2806,3379,"",NA,"NA",NA,NA,"0.06(-0.17,0.30)","0.5984","1.0016",2363,3128,"-1.88(-2.15,-1.61)","0.0002","1.0007",2280,3225,"0.00(-0.00,0.01)","0.4672","1.0005",5154,3950,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+OB+UN+DB","0.00","5.80(3.65,7.85)","13.34(10.79,15.78)","13.15(9.67,16.59)","0.0002","0.0002","0.0002","0.9992","1.0004","1.0002",3575,2719,2469,3419,3215,2626,"4.67(4.39,4.95)","0.0002","1.0003",3432,3711,"",NA,"NA",NA,NA,"0.37(0.06,0.68)","0.0190","1.0025",2329,3246,"-1.87(-2.14,-1.61)","0.0002","1.0019",3174,3479,"",NA,"NA",NA,NA,"-1.42(-2.31,-0.50)","0.0027","1.0011",2704,2892
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+OB+PD+DB","0.00","3.37(1.26,5.50)","8.63(6.08,11.13)","7.08(3.78,10.52)","0.0023","0.0002","0.0002","1.0024","1.0028","1.0009",2906,2148,2171,3606,3237,3368,"4.48(4.19,4.78)","0.0002","1.0011",3186,3477,"",NA,"NA",NA,NA,"0.31(-0.01,0.63)","0.0602","1.0008",2121,3003,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0319","1.0008",6036,4032,"-1.88(-2.83,-0.95)","0.0002","1.0008",2365,3382
