ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"C00_C97","2011_2015",10,"SVI+SM+PA+OB","0.00","5.93(3.36,8.48)","13.29(10.45,16.16)","19.41(15.80,23.10)","0.0002","0.0002","0.0002","1.0023","1.0004","1.0007",4403,3476,3493,3685,3658,3805,"3.87(3.51,4.23)","0.0002","1.0003",3757,3947,"0.70(0.57,0.84)","0.0002","1.0015",2920,3292,"0.12(-0.19,0.42)","0.4430","1.0016",3505,3323,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+PA+UN","0.00","8.50(6.01,10.97)","19.16(16.26,22.04)","28.89(25.36,32.51)","0.0002","0.0002","0.0002","1.0017","1.0009","1.0011",2855,2481,2386,3433,3272,3005,"4.52(4.23,4.79)","0.0002","1.0009",2351,2802,"0.84(0.71,0.97)","0.0002","1.0016",1732,2708,"",NA,"NA",NA,NA,"-2.40(-2.72,-2.07)","0.0002","1.0029",1908,2551,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+PA+PD","0.00","4.87(2.21,7.47)","11.26(8.19,14.32)","17.43(13.73,21.09)","0.0006","0.0002","0.0002","1.0014","1.0031","1.0041",2230,1717,1597,2765,2942,2377,"4.33(4.02,4.64)","0.0002","1.0030",1497,2609,"0.55(0.41,0.68)","0.0002","1.0012",1632,2210,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.02,0.03)","0.0002","1.0009",3695,3567,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+PA+DB","0.00","5.44(2.90,8.00)","11.87(8.89,14.91)","15.38(11.26,19.57)","0.0002","0.0002","0.0002","1.0003","1.0011","1.0018",2397,1738,1821,3530,2722,2399,"3.68(3.37,4.00)","0.0002","1.0006",2316,2940,"0.67(0.55,0.81)","0.0002","1.0047",1870,2709,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.72(0.85,2.57)","0.0002","1.0024",1868,2580
"C00_C97","2011_2015",10,"SVI+SM+OB+UN","0.00","8.43(5.92,11.04)","16.21(13.33,19.14)","20.25(16.72,23.83)","0.0002","0.0002","0.0002","1.0009","1.0005","1.0016",2481,2181,2057,2782,2933,3055,"4.14(3.78,4.51)","0.0002","1.0020",2472,2909,"",NA,"NA",NA,NA,"0.92(0.63,1.22)","0.0002","1.0057",1823,2887,"-2.30(-2.63,-1.97)","0.0002","1.0026",2053,2901,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+OB+PD","0.00","4.26(1.66,6.83)","8.51(5.51,11.45)","10.57(6.96,14.23)","0.0023","0.0002","0.0002","1.0027","1.0033","1.0044",2355,2024,1755,2773,2594,2681,"4.07(3.70,4.43)","0.0002","1.0003",2339,2847,"",NA,"NA",NA,NA,"0.86(0.56,1.16)","0.0002","1.0017",1791,2657,"",NA,"NA",NA,NA,"0.04(0.03,0.05)","0.0002","0.9998",4637,3742,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+OB+DB","0.00","5.20(2.48,7.88)","8.91(5.69,12.10)","8.62(4.40,12.94)","0.0006","0.0002","0.0002","1.0012","1.0012","1.0018",3711,2647,2373,3664,3371,3380,"3.94(3.57,4.32)","0.0002","1.0016",3697,3625,"",NA,"NA",NA,NA,"0.01(-0.41,0.40)","0.9725","1.0011",2434,2947,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.50(1.33,3.71)","0.0002","1.0016",2216,3054
"C00_C97","2011_2015",10,"SVI+SM+UN+PD","0.00","6.70(4.10,9.26)","13.46(10.48,16.42)","20.07(16.53,23.66)","0.0002","0.0002","0.0002","1.0017","1.0020","1.0012",2922,2154,2203,3580,3238,3001,"5.20(4.92,5.49)","0.0002","1.0015",1841,3154,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.00(-2.32,-1.67)","0.0002","1.0011",2301,2778,"0.03(0.03,0.04)","0.0002","1.0012",6398,3902,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+UN+DB","0.00","7.37(4.81,9.88)","13.28(10.37,16.29)","14.01(9.92,18.08)","0.0002","0.0002","0.0002","1.0003","1.0016","1.0019",2673,1945,1850,3507,3237,2852,"4.36(4.05,4.65)","0.0002","1.0019",2332,2747,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.37(-2.69,-2.06)","0.0002","1.0012",2050,3223,"",NA,"NA",NA,NA,"3.77(2.85,4.65)","0.0002","1.0038",1760,2367
"C00_C97","2011_2015",10,"SVI+SM+PD+DB","0.00","3.52(0.94,6.13)","6.31(3.34,9.33)","5.98(1.85,10.05)","0.0060","0.0002","0.0060","1.0015","1.0019","1.0034",2915,2137,1906,3543,2810,2731,"4.29(3.98,4.60)","0.0002","1.0013",2755,3036,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.04(0.03,0.05)","0.0002","1.0019",5350,4149,"2.87(1.94,3.73)","0.0002","1.0050",1834,2403
"C00_C97","2011_2015",10,"SVI+PA+OB+UN","0.00","12.75(10.03,15.32)","26.60(23.49,29.62)","30.33(26.30,34.36)","0.0002","0.0002","0.0002","1.0011","1.0022","1.0028",2271,1875,1869,2989,2664,2123,"",NA,"NA",NA,NA,"0.76(0.63,0.91)","0.0002","1.0013",2052,2843,"2.70(2.44,2.95)","0.0002","1.0028",2160,2430,"-1.98(-2.34,-1.63)","0.0002","1.0005",1978,2578,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PA+OB+PD","0.00","9.61(7.00,12.38)","19.85(16.91,22.95)","20.87(16.93,24.85)","0.0002","0.0002","0.0002","1.0026","1.0025","1.0041",2471,1847,1663,3101,2664,2933,"",NA,"NA",NA,NA,"0.53(0.37,0.69)","0.0002","1.0027",1516,2198,"2.60(2.32,2.87)","0.0002","1.0041",1633,2665,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0025",2892,2992,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PA+OB+DB","0.00","9.86(7.17,12.59)","20.16(17.03,23.28)","20.52(16.13,24.96)","0.0002","0.0002","0.0002","0.9996","1.0004","1.0009",4291,3679,3212,3679,3645,3754,"",NA,"NA",NA,NA,"0.71(0.56,0.85)","0.0002","1.0014",2762,2977,"1.91(1.55,2.26)","0.0002","1.0030",3389,3356,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.75(0.56,2.98)","0.0040","1.0006",3026,3422
"C00_C97","2011_2015",10,"SVI+PA+UN+PD","0.00","14.25(11.38,17.23)","30.23(25.77,35.59)","40.23(33.24,48.97)","0.0002","0.0002","0.0002","1.1536","1.5473","1.6191",28,11,10,249,71,79,"",NA,"NA",NA,NA,"0.18(-0.84,1.53)","0.7271","1.6289",10,78,"",NA,"NA",NA,NA,"-1.82(-2.52,-0.90)","0.0002","1.6177",10,67,"-0.02(-0.03,-0.00)","0.0060","1.5951",10,77,"",NA,"NA",NA,NA
