COUNTY_FIPS,Cluster_EQI
19177,B
19179,B
19181,B
19183,C
19185,B
19187,B
19189,C
19191,C
19193,C
19195,C
19197,B
20001,B
20003,B
20005,B
20007,B
20009,B
20011,B
20013,B
20015,B
20017,A
20019,A
20021,B
20023,B
20025,A
20027,B
20029,B
20031,B
20033,A
20035,B
20037,B
20039,B
20041,B
20043,B
20045,B
20047,B
20049,A
20051,B
20053,B
20055,B
20057,B
20059,B
20061,B
20063,A
20065,B
20067,B
20069,A
20071,A
20073,B
20075,A
20077,B
20079,B
20081,A
20083,A
20085,B
20087,B
20089,B
20091,B
20093,A
20095,B
20097,B
20099,B
20101,A
20103,B
20105,B
20107,B
20109,B
20111,B
20113,B
20115,B
20117,B
20119,A
20121,B
20123,B
20125,B
20127,B
20129,A
20131,B
20133,B
20135,B
20137,B
20139,B
20141,B
20143,B
20145,B
20147,B
20149,B
20151,B
20153,A
20155,B
20157,B
20159,B
20161,B
20163,B
20165,A
20167,B
20169,B
20171,B
20173,B
20175,B
20177,B
20179,A
20181,B
20183,B
20185,B
20187,A
20189,A
20191,B
20193,B
20195,A
20197,B
20199,A
20201,B
20203,A
20205,B
20207,B
20209,B
21001,A
21003,A
21005,C
21007,A
21009,B
21011,A
21013,A
21015,C
21017,C
21019,C
21021,C
21023,A
21025,A
21027,A
21029,C
21031,A
21033,C
21035,C
21037,C
21039,A
21041,C
21043,A
21045,A
21047,C
21049,C
21051,A
21053,A
21055,A
21057,A
21059,C
21061,A
21063,A
21065,A
21067,B
21069,A
21071,A
21073,C
21075,C
21077,C
21079,B
21081,C
21083,C
21085,A
21087,A
21089,C
21091,A
21093,C
21095,A
21097,C
21099,A
21101,C
21103,B
21105,A
21107,C
21109,A
21111,C
21113,C
21115,A
21117,C
21119,A
21121,A
21123,A
21125,C
21127,A
21129,A
21131,A
21133,A
21135,A
21137,A
21139,C
21141,C
21143,A
21145,C
21147,A
21149,A
21151,C
21153,A
21155,C
21157,C
21159,A
21161,C
21163,C
21165,A
21167,C
21169,A
21171,A
21173,C
21175,A
21177,A
21179,C
21181,A
21183,A
21185,C
21187,B
21189,A
21191,C
21193,A
21195,A
21197,A
21199,C
21201,B
21203,A
21205,C
21207,A
21209,C
21211,C
21213,C
21215,B
21217,C
21219,B
21221,A
21223,C
21225,C
21227,C
21229,C
21231,A
21233,C
21235,C
21237,A
21239,C
22001,B
22003,B
22005,B
22007,B
22009,B
22011,B
22013,A
22015,B
22017,B
22019,B
22021,A
22023,B
22025,A
22027,A
22029,B
22031,B
22033,B
22035,A
22037,A
22039,B
22041,A
22043,A
22045,B
22047,B
22049,B
22051,B
22053,B
22055,B
22057,B
22059,B
22061,B
22063,B
22065,B
22067,B
22069,B
22071,B
22073,B
22075,B
22077,B
22079,B
22081,A
22083,B
22085,A
22087,B
22089,B
22091,A
22093,B
22095,B
22097,B
22099,B
22101,B
22103,B
22105,B
22107,A
22109,B
22111,B
22113,B
22115,B
22117,B
22119,B
22121,B
22123,A
22125,A
22127,A
23001,C
23003,C
23005,C
23007,C
23009,C
23011,C
23013,C
23015,C
23017,C
23019,C
23021,A
23023,C
23025,C
23027,C
23029,A
23031,C
24001,C
24003,C
24005,C
24009,C
24011,C
24013,C
24015,C
24017,C
24019,C
24021,C
24023,C
24025,C
24027,C
24029,C
24031,C
24033,B
24035,B
24037,B
24039,A
24041,C
24043,C
24045,C
24047,C
24510,B
25001,C
25003,C
25005,C
25007,C
25009,C
25011,C
25013,C
25015,C
25017,C
25019,B
25021,C
25023,C
25025,B
25027,C
26001,A
26003,A
26005,C
26007,C
26009,C
26011,A
26013,A
26015,C
26017,C
26019,C
26021,C
26023,C
26025,C
26027,C
26029,C
26031,A
26033,A
26035,A
26037,C
26039,C
26041,C
26043,C
26045,C
26047,C
26049,C
26051,A
26053,C
26055,C
26057,C
26059,C
26061,C
26063,C
26065,C
26067,C
26069,A
26071,C
26073,C
26075,C
26077,C
26079,A
26081,C
26083,A
26085,A
26087,C
26089,C
26091,C
26093,C
26095,A
26097,A
26099,C
26101,C
26103,C
26105,B
26107,C
26109,C
26111,C
26113,A
26115,C
26117,C
26119,A
26121,C
26123,B
26125,C
26127,C
26129,A
26131,A
26133,C
26135,A
26137,C
26139,C
26141,A
26143,A
26145,C
26147,B
26149,B
26151,C
26153,B
26155,C
26157,C
26159,C
26161,C
26163,C
26165,C
27001,A
27003,C
27005,C
27007,C
27009,C
27011,C
27013,C
27015,C
27017,C
27019,C
27021,C
27023,C
27025,C
27027,C
27029,A
27031,C
27033,C
27035,C
27037,C
27039,C
27041,C
27043,C
27045,C
27047,C
27049,C
27051,C
27053,C
27055,C
27057,C
27059,C
27061,C
27063,B
27065,C
27067,C
27069,A
27071,C
27073,C
27075,C
27077,A
27079,C
27081,B
27083,C
27085,C
27087,B
27089,A
27091,C
27093,C
27095,C
27097,C
27099,C
27101,C
27103,C
27105,C
27107,A
27109,C
27111,C
27113,C
27115,C
27117,C
27119,C
27121,C
27123,C
27125,C
27127,C
27129,C
27131,C
27133,C
27135,C
27137,B
27139,C
27141,C
27143,C
27145,C
27147,C
27149,C
27151,C
27153,C
27155,B
27157,C
27159,C
27161,B
27163,C
27165,C
27167,B
27169,C
27171,C
27173,C
28001,B
28003,B
28005,A
28007,A
28009,A
28011,B
28013,A
28015,A
28017,B
28019,A
28021,A
28023,A
28025,B
28027,B
28029,B
28031,A
28033,B
28035,B
28037,A
28039,B
28041,A
28043,B
28045,B
28047,B
28049,B
28051,A
28053,A
28055,A
28057,B
28059,B
28061,A
28063,A
28065,A
28067,B
28069,A
28071,B
28073,B
28075,B
28077,A
28079,A
28081,B
28083,B
28085,B
28087,B
28089,B
28091,B
28093,B
28095,B
28097,A
28099,B
28101,B
28103,A
28105,B
28107,B
28109,B
28111,A
28113,B
28115,B
28117,B
28119,A
28121,B
28123,B
28125,A
28127,B
28129,A
28131,B
28133,B
28135,A
28137,B
28139,B
28141,B
28143,B
28145,B
28147,A
28149,B
28151,B
28153,A
28155,B
28157,A
28159,B
28161,A
28163,B
29001,C
29003,C
29005,C
29007,C
29009,C
29011,C
29013,C
29015,A
29017,A
29019,B
29021,B
29023,C
29025,A
29027,C
29029,C
29031,C
29033,A
29035,A
29037,C
29039,B
29041,C
29043,C
29045,A
29047,C
29049,C
29051,C
29053,C
29055,A
29057,B
29059,A
29061,A
29063,C
29065,A
29067,A
29069,B
29071,C
29073,C
29075,C
29077,C
29079,C
29081,C
29083,C
29085,A
29087,C
29089,C
29091,C
29093,A
29095,C
29097,C
29099,C
29101,C
29103,A
29105,C
29107,C
29109,C
29111,A
29113,C
29115,C
29117,C
29119,B
29121,A
29123,A
29125,A
29127,C
29129,A
29131,C
29133,B
29135,A
29137,A
29139,A
29141,C
29143,B
29145,C
29147,C
29149,A
29151,A
29153,A
29155,C
29157,C
29159,C
29161,C
29163,C
29165,C
29167,B
29169,C
29171,A
29173,B
29175,C
29177,C
29179,A
29181,A
29183,B
29185,A
29186,B
29187,B
29189,B
29195,C
29197,B
29199,A
29201,C
29203,A
29205,A
29207,B
29209,C
29211,A
29213,C
29215,A
29217,B
29219,C
29221,A
29223,A
29225,B
29227,A
29229,A
29510,B
30001,C
30003,A
30005,A
30007,C
30009,C
30011,A
30013,C
30015,A
30017,C
30019,A
30021,A
30023,B
30025,A
30027,C
30029,C
30031,C
30033,A
30035,A
30037,A
30039,A
30041,C
30043,C
30045,A
30047,C
30049,C
30051,A
30053,C
30055,A
30057,A
30059,A
30061,A
30063,C
30065,A
30067,C
30069,A
30071,A
30073,A
30075,A
30077,A
30079,A
30081,C
30083,A
30085,A
30087,A
30089,A
30091,A
30093,C
30095,C
30097,A
30099,A
30101,A
30103,A
30105,A
30107,A
30109,A
30111,C
31001,C
31003,A
31005,A
31007,A
31009,A
31011,C
31013,C
31015,A
31017,A
31019,C
31021,C
31023,C
31025,C
31027,C
31029,A
31031,A
31033,C
31035,A
31037,A
31039,C
31041,C
31043,C
31045,C
31047,C
31049,A
31051,C
31053,C
31055,C
31057,A
31059,C
31061,A
31063,A
31065,A
31067,C
31069,A
31071,A
31073,A
31075,A
31077,A
31079,C
31081,C
31083,A
31085,A
31087,A
31089,A
31091,A
31093,A
31095,C
31097,A
31099,C
31101,C
31103,A
31105,A
31107,C
31109,C
31111,C
31113,A
31115,A
31117,A
31119,C
31121,C
31123,A
31125,A
31127,C
31129,A
31131,C
31133,A
31135,A
31137,C
31139,A
31141,C
31143,C
31145,C
31147,C
31149,A
31151,C
31153,C
31155,C
31157,C
31159,C
31161,C
31163,A
31165,A
31167,A
31169,C
31171,A
31173,A
31175,A
31177,C
31179,C
31181,A
31183,A
31185,C
32001,C
32003,C
32005,C
32007,C
32009,A
32011,A
32013,C
32015,A
32017,A
32019,C
32021,A
32023,A
32027,A
32029,A
32031,C
32033,C
32510,B
33001,C
33003,C
33005,C
33007,C
33009,C
33011,C
33013,C
33015,C
33017,C
33019,C
34001,C
34003,C
34005,C
34007,C
34009,C
34011,C
34013,C
34015,C
34017,B
34019,C
34021,C
34023,C
34025,C
34027,C
34029,C
34031,C
34033,C
34035,C
34037,C
34039,C
34041,C
35001,C
35003,A
35005,C
35006,A
35007,C
35009,C
35011,A
35013,C
35015,C
35017,C
35019,A
35021,A
35023,A
35025,A
35027,C
35028,B
35029,A
35031,A
35033,A
35035,A
35037,A
35039,A
35041,A
35043,C
35045,C
35047,A
35049,C
35051,A
35053,A
35055,C
35057,A
35059,A
35061,A
36001,C
36003,C
36005,B
36007,C
36009,B
36011,B
36013,B
36015,C
36017,B
36019,C
36021,C
36023,C
36025,B
36027,C
36029,B
36031,C
36033,C
36035,C
36037,B
36039,C
36041,A
36043,C
36045,B
36047,B
36049,A
36051,C
36053,C
36055,B
36057,C
36059,B
36061,B
36063,C
36065,C
36067,C
36069,C
36071,B
36073,B
36075,C
36077,B
36079,C
36081,B
36083,C
36085,B
36087,C
36089,B
36091,C
36093,C
36095,C
36097,C
36099,C
36101,C
36103,B
36105,B
36107,C
36109,C
36111,B
36113,C
36115,C
36117,C
36119,C
36121,B
36123,C
37001,C
37003,C
37005,C
37007,C
37009,C
37011,C
37013,C
37015,A
37017,A
37019,C
37021,C
37023,C
37025,C
37027,C
37029,A
37031,C
37033,C
37035,C
37037,C
37039,C
37041,C
37043,A
37045,C
37047,A
37049,C
37051,C
37053,C
37055,C
37057,C
37059,C
37061,A
37063,C
37065,C
37067,C
37069,C
37071,C
37073,A
37075,A
37077,C
37079,A
37081,C
37083,A
37085,C
37087,C
37089,C
37091,C
37093,A
37095,A
37097,C
37099,C
37101,C
37103,A
37105,C
37107,C
37109,C
37111,C
37113,C
37115,A
37117,C
37119,C
37121,C
37123,A
37125,C
37127,C
37129,C
37131,A
37133,C
37135,C
37137,A
37139,C
37141,A
37143,A
37145,C
37147,C
37149,C
37151,C
37153,C
37155,A
37157,C
37159,C
37161,C
37163,A
37165,A
37167,C
37169,C
37171,C
37173,A
37175,C
37177,A
37179,C
37181,C
37183,C
37185,A
37187,C
37189,C
37191,C
37193,C
37195,C
37197,C
37199,A
38001,B
38003,B
38005,A
38007,B
38009,B
38011,B
38013,A
38015,B
38017,B
38019,B
38021,C
38023,A
38025,A
38027,A
38029,A
38031,B
38033,A
38035,B
38037,A
38039,B
38041,A
38043,A
38045,A
38047,A
38049,A
38051,A
38053,A
38055,A
38057,C
38059,C
38061,A
38063,B
38065,A
38067,B
38069,A
38071,B
38073,A
38075,A
38077,C
38079,A
38081,B
38083,A
38085,A
38087,A
38089,B
38091,A
38093,C
38095,A
38097,B
38099,B
38101,C
38103,B
38105,B
39001,C
39003,C
39005,C
39007,C
39009,C
39011,C
39013,C
39015,C
39017,C
39019,C
39021,C
39023,C
39025,C
39027,C
39029,C
39031,C
39033,C
39035,C
39037,C
39039,C
39041,C
39043,C
39045,C
39047,C
39049,C
39051,C
39053,C
39055,C
39057,C
39059,C
39061,C
39063,C
39065,C
39067,C
39069,C
39071,C
39073,B
39075,C
39077,C
39079,C
39081,C
39083,C
39085,C
39087,C
39089,C
39091,C
39093,C
39095,C
39097,C
39099,C
39101,C
39103,C
39105,B
39107,C
39109,C
39111,C
39113,C
39115,A
39117,C
39119,C
39121,C
39123,C
39125,C
39127,C
39129,C
39131,C
39133,C
39135,C
39137,C
39139,C
39141,B
39143,C
39145,C
39147,C
39149,C
39151,C
39153,C
39155,C
39157,C
39159,C
39161,C
39163,A
39165,C
39167,C
39169,C
39171,C
39173,C
39175,C
40001,A
40003,A
40005,A
40007,A
40009,B
40011,A
40013,B
40015,A
40017,B
40019,B
40021,A
40023,A
40025,A
40027,B
40029,A
40031,B
40033,A
40035,B
40037,B
40039,B
40041,A
40043,A
40045,A
40047,B
40049,A
40051,A
40053,A
40055,A
40057,A
40059,A
40061,A
40063,A
40065,B
40067,A
40069,A
40071,B
40073,B
40075,A
40077,A
40079,A
40081,A
40083,B
40085,A
40087,B
40089,A
40091,A
40093,A
40095,A
40097,B
40099,A
40101,B
40103,A
40105,A
40107,A
40109,B
40111,B
40113,B
40115,B
40117,B
40119,C
40121,B
40123,B
40125,B
40127,A
40129,A
40131,B
40133,A
40135,A
40137,B
40139,A
40141,A
40143,B
40145,B
40147,B
40149,A
40151,B
40153,A
41001,C
