Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,F01,Vascular Dementia (VD),VD,EQI Quintile,National,46177,1518958033,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F01,Vascular Dementia (VD),VD,EQI Quintile,Q1 (best),1203,54149792,2.0793,0.06,1.9635,2.2002,2.08 ± 0.06
2006-2010,F01,Vascular Dementia (VD),VD,EQI Quintile,Q2,2670,96778284,2.3079,0.0447,2.2212,2.3971,2.31 ± 0.04
2006-2010,F01,Vascular Dementia (VD),VD,EQI Quintile,Q3,5317,180414358,2.6227,0.036,2.5527,2.6941,2.62 ± 0.04
2006-2010,F01,Vascular Dementia (VD),VD,EQI Quintile,Q4,7812,260777432,2.7006,0.0306,2.6411,2.7612,2.70 ± 0.03
2006-2010,F01,Vascular Dementia (VD),VD,EQI Quintile,Q5 (worst),29175,926838167,3.1245,0.0184,3.0887,3.1606,3.12 ± 0.02
2006-2010,F03,Unspecified Dementia (UD),UD,EQI Quintile,National,403763,1518958033,25.1473,0.0397,25.0698,25.225,25.15 ± 0.04
2006-2010,F03,Unspecified Dementia (UD),UD,EQI Quintile,Q1 (best),11774,54149792,20.4398,0.1885,20.0722,20.8123,20.44 ± 0.19
2006-2010,F03,Unspecified Dementia (UD),UD,EQI Quintile,Q2,28447,96778284,24.6292,0.1461,24.3438,24.9171,24.63 ± 0.15
2006-2010,F03,Unspecified Dementia (UD),UD,EQI Quintile,Q3,49833,180414358,24.5588,0.1101,24.3437,24.7754,24.56 ± 0.11
2006-2010,F03,Unspecified Dementia (UD),UD,EQI Quintile,Q4,73092,260777432,25.1528,0.0932,24.9707,25.3358,25.15 ± 0.09
2006-2010,F03,Unspecified Dementia (UD),UD,EQI Quintile,Q5 (worst),240617,926838167,25.6198,0.0524,25.5176,25.7224,25.62 ± 0.05
2006-2010,G10,Huntington's Disease (HD),HD,EQI Quintile,National,4408,1518958033,0.2713,0.0041,0.2634,0.2794,0.27 ± 0.00
2006-2010,G10,Huntington's Disease (HD),HD,EQI Quintile,Q1 (best),120,54149792,0.1974,0.0182,0.1637,0.2361,0.20 ± 0.02
2006-2010,G10,Huntington's Disease (HD),HD,EQI Quintile,Q2,296,96778284,0.2642,0.0156,0.235,0.2961,0.26 ± 0.02
2006-2010,G10,Huntington's Disease (HD),HD,EQI Quintile,Q3,560,180414358,0.2794,0.012,0.2567,0.3035,0.28 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,EQI Quintile,Q4,837,260777432,0.2973,0.0104,0.2775,0.3182,0.30 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,EQI Quintile,Q5 (worst),2595,926838167,0.2686,0.0053,0.2583,0.2791,0.27 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,EQI Quintile,National,31178,1518958033,1.9436,0.0111,1.9221,1.9653,1.94 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,EQI Quintile,Q1 (best),903,54149792,1.4454,0.0484,1.3526,1.5428,1.45 ± 0.05
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,EQI Quintile,Q2,2009,96778284,1.6951,0.0381,1.6217,1.7708,1.70 ± 0.04
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,EQI Quintile,Q3,3715,180414358,1.8074,0.0298,1.7497,1.8664,1.81 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,EQI Quintile,Q4,5670,260777432,1.9857,0.0265,1.9343,2.0381,1.99 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,EQI Quintile,Q5 (worst),18881,926838167,2.0308,0.0149,2.0019,2.06,2.03 ± 0.01
2006-2010,G20,Parkinson's Disease (PD),PD,EQI Quintile,National,101861,1518958033,6.5383,0.0205,6.4982,6.5786,6.54 ± 0.02
2006-2010,G20,Parkinson's Disease (PD),PD,EQI Quintile,Q1 (best),2916,54149792,4.998,0.0927,4.8182,5.1828,5.00 ± 0.09
2006-2010,G20,Parkinson's Disease (PD),PD,EQI Quintile,Q2,6575,96778284,5.6608,0.0699,5.5247,5.7993,5.66 ± 0.07
2006-2010,G20,Parkinson's Disease (PD),PD,EQI Quintile,Q3,12677,180414358,6.3268,0.0563,6.2171,6.4379,6.33 ± 0.06
2006-2010,G20,Parkinson's Disease (PD),PD,EQI Quintile,Q4,18648,260777432,6.6026,0.0485,6.5082,6.6981,6.60 ± 0.05
2006-2010,G20,Parkinson's Disease (PD),PD,EQI Quintile,Q5 (worst),61045,926838167,6.779,0.0275,6.7253,6.833,6.78 ± 0.03
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,EQI Quintile,National,974873,1518958033,61.0502,0.062,60.9291,61.1715,61.05 ± 0.06
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,EQI Quintile,Q1 (best),30578,54149792,52.8939,0.3028,52.3027,53.4901,52.89 ± 0.30
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,EQI Quintile,Q2,67239,96778284,58.1314,0.2243,57.6928,58.5725,58.13 ± 0.22
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,EQI Quintile,Q3,120676,180414358,59.6041,0.1718,59.2683,59.9413,59.60 ± 0.17
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,EQI Quintile,Q4,179183,260777432,62.0198,0.1468,61.733,62.3076,62.02 ± 0.15
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,EQI Quintile,Q5 (worst),577197,926838167,61.9269,0.0818,61.7672,62.0869,61.93 ± 0.08
2006-2010,G30,Alzheimer's Disease (AD),AD,EQI Quintile,National,391894,1518958033,24.5337,0.0393,24.457,24.6106,24.53 ± 0.04
2006-2010,G30,Alzheimer's Disease (AD),AD,EQI Quintile,Q1 (best),13782,54149792,23.9314,0.204,23.5335,24.3344,23.93 ± 0.20
2006-2010,G30,Alzheimer's Disease (AD),AD,EQI Quintile,Q2,27538,96778284,23.8385,0.1437,23.5578,24.1217,23.84 ± 0.14
2006-2010,G30,Alzheimer's Disease (AD),AD,EQI Quintile,Q3,49134,180414358,24.2884,0.1097,24.0741,24.5041,24.29 ± 0.11
2006-2010,G30,Alzheimer's Disease (AD),AD,EQI Quintile,Q4,73961,260777432,25.5781,0.0942,25.3941,25.7631,25.58 ± 0.09
2006-2010,G30,Alzheimer's Disease (AD),AD,EQI Quintile,Q5 (worst),227479,926838167,24.3728,0.0513,24.2727,24.4732,24.37 ± 0.05
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,EQI Quintile,National,841834,1518958033,52.5683,0.0574,52.456,52.6807,52.57 ± 0.06
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,EQI Quintile,Q1 (best),26759,54149792,46.4505,0.2842,45.8956,47.0105,46.45 ± 0.28
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,EQI Quintile,Q2,58655,96778284,50.7756,0.2097,50.3655,51.1882,50.78 ± 0.21
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,EQI Quintile,Q3,104284,180414358,51.4699,0.1595,51.158,51.7833,51.47 ± 0.16
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,EQI Quintile,Q4,154865,260777432,53.4315,0.136,53.1657,53.6983,53.43 ± 0.14
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,EQI Quintile,Q5 (worst),497271,926838167,53.1171,0.0756,52.9696,53.265,53.12 ± 0.08
2006-2010,I00-I99,I00-I99,I00_I99,EQI Quintile,National,4011503,1518958032,250.477,0.1256,250.232,250.7223,250.48 ± 0.13
2006-2010,I00-I99,I00-I99,I00_I99,EQI Quintile,Q1 (best),168960,54149791,284.1818,0.6946,282.8283,285.5401,284.18 ± 0.69
2006-2010,I00-I99,I00-I99,I00_I99,EQI Quintile,Q2,320961,96778284,276.1498,0.49,275.1953,277.1068,276.15 ± 0.49
2006-2010,I00-I99,I00-I99,I00_I99,EQI Quintile,Q3,538147,180414358,264.9923,0.3626,264.2848,265.7012,264.99 ± 0.36
2006-2010,I00-I99,I00-I99,I00_I99,EQI Quintile,Q4,764731,260777432,266.008,0.3054,265.4121,266.6048,266.01 ± 0.31
2006-2010,I00-I99,I00-I99,I00_I99,EQI Quintile,Q5 (worst),2218704,926838167,237.5051,0.1603,237.1927,237.8178,237.51 ± 0.16
2006-2010,I00_I99,I00_I99,CVD,EQI Quintile,National,4011503,1518958032,250.477,0.1256,250.232,250.7223,250.48 ± 0.13
2006-2010,I00_I99,I00_I99,CVD,EQI Quintile,Q1 (best),168960,54149791,284.1818,0.6946,282.8283,285.5401,284.18 ± 0.69
2006-2010,I00_I99,I00_I99,CVD,EQI Quintile,Q2,320961,96778284,276.1498,0.49,275.1953,277.1068,276.15 ± 0.49
2006-2010,I00_I99,I00_I99,CVD,EQI Quintile,Q3,538147,180414358,264.9923,0.3626,264.2848,265.7012,264.99 ± 0.36
2006-2010,I00_I99,I00_I99,CVD,EQI Quintile,Q4,764731,260777432,266.008,0.3054,265.4121,266.6048,266.01 ± 0.31
2006-2010,I00_I99,I00_I99,CVD,EQI Quintile,Q5 (worst),2218704,926838167,237.5051,0.1603,237.1927,237.8178,237.51 ± 0.16
2006-2010,I10_I15,I10_I15,HD,EQI Quintile,National,300039,1518958027,18.61,0.0341,18.5435,18.6767,18.61 ± 0.03
2006-2010,I10_I15,I10_I15,HD,EQI Quintile,Q1 (best),12133,54149786,20.4654,0.1869,20.1029,20.8329,20.47 ± 0.19
2006-2010,I10_I15,I10_I15,HD,EQI Quintile,Q2,21215,96778284,18.4311,0.1274,18.1839,18.6808,18.43 ± 0.13
