Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Non-alcoholic,1 (0.01‰),2.03 ± 2.03,2 (0.02‰),3.16 ± 2.23,0 (0.00‰),0.00 ± 0.00,1 (0.01‰),2.17 ± 2.17
Toxic & chronic,1 (0.01‰),0.87 ± 0.87,4 (0.04‰),5.32 ± 3.15,1 (0.01‰),0.75 ± 0.75,3 (0.04‰),4.19 ± 2.43
Alcoholic,0 (0.00‰),0.00 ± 0.00,3 (0.03‰),4.48 ± 3.03,11 (0.12‰),13.25 ± 4.10,13 (0.16‰),18.85 ± 5.25
HRS,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00
County Economic Typology (Farming),,,,,,,,
CLD,"4,184 (0.20‰)",17.50 ± 0.27,"5,120 (0.24‰)",20.16 ± 0.29,"6,290 (0.30‰)",23.80 ± 0.31,"6,016 (0.35‰)",35.51 ± 0.49
Non-cancer CLD,"2,994 (0.14‰)",12.69 ± 0.23,"3,599 (0.17‰)",14.45 ± 0.25,"4,435 (0.21‰)",17.29 ± 0.27,"4,364 (0.26‰)",26.73 ± 0.43
Liver cancer,"1,190 (0.06‰)",4.81 ± 0.14,"1,521 (0.07‰)",5.72 ± 0.15,"1,855 (0.09‰)",6.51 ± 0.15,"1,652 (0.10‰)",8.78 ± 0.23
Toxic & chronic,"1,134 (0.05‰)",4.75 ± 0.14,"1,408 (0.07‰)",5.55 ± 0.15,"1,609 (0.08‰)",6.04 ± 0.16,"1,567 (0.09‰)",8.94 ± 0.24
Alcoholic,"1,085 (0.05‰)",4.71 ± 0.14,"1,246 (0.06‰)",5.16 ± 0.15,"1,768 (0.08‰)",7.29 ± 0.18,"1,856 (0.11‰)",12.56 ± 0.30
Non-alcoholic,348 (0.02‰),1.47 ± 0.08,553 (0.03‰),2.19 ± 0.10,617 (0.03‰),2.30 ± 0.10,580 (0.03‰),3.14 ± 0.14
HRS,50 (0.00‰),0.22 ± 0.03,59 (0.00‰),0.25 ± 0.03,55 (0.00‰),0.21 ± 0.03,40 (0.00‰),0.23 ± 0.04
County Economic Typology (Mining),,,,,,,,
CLD,"3,562 (0.24‰)",21.95 ± 0.37,"4,507 (0.30‰)",25.93 ± 0.40,"5,465 (0.37‰)",30.25 ± 0.42,"5,089 (0.44‰)",44.20 ± 0.65
Non-cancer CLD,"2,626 (0.18‰)",16.22 ± 0.32,"3,263 (0.22‰)",19.02 ± 0.34,"3,937 (0.27‰)",22.43 ± 0.37,"3,796 (0.33‰)",34.11 ± 0.58
Toxic & chronic,"1,100 (0.08‰)",6.72 ± 0.20,"1,333 (0.09‰)",7.63 ± 0.21,"1,622 (0.11‰)",8.90 ± 0.23,"1,546 (0.13‰)",13.42 ± 0.36
Liver cancer,936 (0.06‰),5.73 ± 0.19,"1,244 (0.08‰)",6.91 ± 0.20,"1,528 (0.10‰)",7.81 ± 0.20,"1,293 (0.11‰)",10.09 ± 0.30
Alcoholic,844 (0.06‰),5.30 ± 0.19,"1,048 (0.07‰)",6.32 ± 0.20,"1,357 (0.09‰)",8.27 ± 0.23,"1,411 (0.12‰)",13.66 ± 0.38
Non-alcoholic,322 (0.02‰),1.97 ± 0.11,479 (0.03‰),2.74 ± 0.13,526 (0.04‰),2.87 ± 0.13,494 (0.04‰),4.07 ± 0.19
HRS,45 (0.00‰),0.28 ± 0.04,44 (0.00‰),0.26 ± 0.04,43 (0.00‰),0.27 ± 0.04,30 (0.00‰),0.24 ± 0.05
County Economic Typology (Manufacturing),,,,,,,,
CLD,"56,115 (0.19‰)",16.83 ± 0.07,"71,236 (0.24‰)",19.57 ± 0.07,"85,564 (0.28‰)",21.95 ± 0.08,"81,350 (0.33‰)",31.07 ± 0.11
Non-cancer CLD,"39,224 (0.13‰)",11.79 ± 0.06,"48,922 (0.16‰)",13.60 ± 0.06,"58,964 (0.19‰)",15.49 ± 0.07,"57,962 (0.24‰)",23.04 ± 0.10
Liver cancer,"16,891 (0.06‰)",5.04 ± 0.04,"22,314 (0.07‰)",5.97 ± 0.04,"26,600 (0.09‰)",6.46 ± 0.04,"23,388 (0.10‰)",8.03 ± 0.06
Toxic & chronic,"16,436 (0.06‰)",4.93 ± 0.04,"20,070 (0.07‰)",5.50 ± 0.04,"22,291 (0.07‰)",5.67 ± 0.04,"21,053 (0.09‰)",7.86 ± 0.06
Alcoholic,"12,424 (0.04‰)",3.74 ± 0.03,"15,847 (0.05‰)",4.52 ± 0.04,"21,637 (0.07‰)",5.96 ± 0.04,"22,960 (0.09‰)",10.05 ± 0.07
Non-alcoholic,"5,053 (0.02‰)",1.52 ± 0.02,"7,401 (0.02‰)",2.02 ± 0.02,"8,765 (0.03‰)",2.22 ± 0.02,"8,523 (0.03‰)",3.04 ± 0.03
HRS,489 (0.00‰),0.15 ± 0.01,525 (0.00‰),0.14 ± 0.01,506 (0.00‰),0.13 ± 0.01,418 (0.00‰),0.16 ± 0.01
County Economic Typology (Government),,,,,,,,
CLD,"34,587 (0.20‰)",19.31 ± 0.10,"43,959 (0.24‰)",21.97 ± 0.11,"51,757 (0.27‰)",23.76 ± 0.11,"48,296 (0.31‰)",32.62 ± 0.16
Non-cancer CLD,"24,142 (0.14‰)",13.42 ± 0.09,"30,083 (0.16‰)",15.13 ± 0.09,"35,570 (0.19‰)",16.67 ± 0.09,"34,453 (0.22‰)",24.13 ± 0.14
Liver cancer,"10,445 (0.06‰)",5.89 ± 0.06,"13,876 (0.07‰)",6.84 ± 0.06,"16,187 (0.08‰)",7.09 ± 0.06,"13,843 (0.09‰)",8.48 ± 0.08
Toxic & chronic,"8,883 (0.05‰)",4.99 ± 0.05,"10,672 (0.06‰)",5.34 ± 0.05,"12,288 (0.06‰)",5.60 ± 0.05,"11,734 (0.08‰)",7.84 ± 0.08
Alcoholic,"8,913 (0.05‰)",4.88 ± 0.05,"11,478 (0.06‰)",5.81 ± 0.06,"15,060 (0.08‰)",7.27 ± 0.06,"15,479 (0.10‰)",11.56 ± 0.10
Non-alcoholic,"3,344 (0.02‰)",1.86 ± 0.03,"4,846 (0.03‰)",2.42 ± 0.04,"4,797 (0.03‰)",2.20 ± 0.03,"4,355 (0.03‰)",2.82 ± 0.04
HRS,276 (0.00‰),0.16 ± 0.01,357 (0.00‰),0.18 ± 0.01,309 (0.00‰),0.14 ± 0.01,245 (0.00‰),0.17 ± 0.01
County Economic Typology (Services),,,,,,,,
CLD,"122,720 (0.19‰)",17.43 ± 0.05,"148,322 (0.22‰)",18.91 ± 0.05,"167,641 (0.24‰)",19.47 ± 0.05,"149,557 (0.27‰)",25.60 ± 0.07
Non-cancer CLD,"81,815 (0.13‰)",11.62 ± 0.04,"96,417 (0.14‰)",12.40 ± 0.04,"109,629 (0.16‰)",13.01 ± 0.04,"101,328 (0.18‰)",18.10 ± 0.06
Liver cancer,"40,905 (0.06‰)",5.81 ± 0.03,"51,905 (0.08‰)",6.51 ± 0.03,"58,012 (0.08‰)",6.47 ± 0.03,"48,229 (0.09‰)",7.51 ± 0.04
Alcoholic,"32,103 (0.05‰)",4.55 ± 0.03,"40,008 (0.06‰)",5.18 ± 0.03,"49,933 (0.07‰)",6.09 ± 0.03,"47,316 (0.08‰)",9.05 ± 0.04
Toxic & chronic,"29,643 (0.05‰)",4.22 ± 0.02,"33,966 (0.05‰)",4.34 ± 0.02,"35,815 (0.05‰)",4.13 ± 0.02,"33,467 (0.06‰)",5.64 ± 0.03
Non-alcoholic,"11,056 (0.02‰)",1.57 ± 0.01,"13,750 (0.02‰)",1.75 ± 0.02,"14,495 (0.02‰)",1.68 ± 0.01,"12,365 (0.02‰)",2.02 ± 0.02
HRS,919 (0.00‰),0.13 ± 0.00,931 (0.00‰),0.12 ± 0.00,850 (0.00‰),0.10 ± 0.00,641 (0.00‰),0.11 ± 0.00
County Economic Typology (Nonspecialized),,,,,,,,
