Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,G10,Huntington's Disease (HD),HD,Köppen-Geiger Climate Zone,Dry,385,169761951,0.2203,0.0113,0.1988,0.2434,0.22 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,Köppen-Geiger Climate Zone,Temperate,2603,962061770,0.2536,0.005,0.244,0.2636,0.25 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,Köppen-Geiger Climate Zone,Continental,1404,380838258,0.3365,0.0091,0.3191,0.3546,0.34 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,Köppen-Geiger Climate Zone,National,4392,1512661979,0.2714,0.0041,0.2634,0.2796,0.27 ± 0.00
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,Köppen-Geiger Climate Zone,Dry,2998,169761951,1.7404,0.0319,1.6787,1.8039,1.74 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,Köppen-Geiger Climate Zone,Temperate,18767,962061770,1.8595,0.0137,1.833,1.8863,1.86 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,Köppen-Geiger Climate Zone,Continental,9318,380838258,2.2352,0.0233,2.1901,2.2811,2.24 ± 0.02
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,Köppen-Geiger Climate Zone,National,31083,1512661979,1.9453,0.0111,1.9237,1.9671,1.95 ± 0.01
2006-2010,G20,Parkinson's Disease (PD),PD,Köppen-Geiger Climate Zone,Dry,11214,169761951,6.7891,0.0642,6.664,6.916,6.79 ± 0.06
2006-2010,G20,Parkinson's Disease (PD),PD,Köppen-Geiger Climate Zone,Temperate,61442,962061770,6.3879,0.0258,6.3375,6.4387,6.39 ± 0.03
2006-2010,G20,Parkinson's Disease (PD),PD,Köppen-Geiger Climate Zone,Continental,28918,380838258,6.8107,0.0403,6.7325,6.8897,6.81 ± 0.04
2006-2010,G20,Parkinson's Disease (PD),PD,Köppen-Geiger Climate Zone,National,101574,1512661979,6.5467,0.0206,6.5065,6.5871,6.55 ± 0.02
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,Köppen-Geiger Climate Zone,Dry,96198,169761951,57.6865,0.1861,57.3226,58.0522,57.69 ± 0.19
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,Köppen-Geiger Climate Zone,Temperate,599377,962061770,61.1291,0.0791,60.9745,61.2841,61.13 ± 0.08
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,Köppen-Geiger Climate Zone,Continental,275363,380838258,62.166,0.1191,61.934,62.3986,62.17 ± 0.12
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,Köppen-Geiger Climate Zone,National,970938,1512661979,61.059,0.0621,60.9376,61.1805,61.06 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),AD,Köppen-Geiger Climate Zone,Dry,40900,169761951,24.5479,0.1215,24.3106,24.787,24.55 ± 0.12
2006-2010,G30,Alzheimer's Disease (AD),AD,Köppen-Geiger Climate Zone,Temperate,246991,962061770,25.2115,0.0508,25.1122,25.3112,25.21 ± 0.05
2006-2010,G30,Alzheimer's Disease (AD),AD,Köppen-Geiger Climate Zone,Continental,102967,380838258,23.1686,0.0726,23.0273,23.3106,23.17 ± 0.07
2006-2010,G30,Alzheimer's Disease (AD),AD,Köppen-Geiger Climate Zone,National,390858,1512661979,24.5719,0.0394,24.495,24.6491,24.57 ± 0.04
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,Köppen-Geiger Climate Zone,Dry,81986,169761951,49.157,0.1718,48.8211,49.4946,49.16 ± 0.17
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,Köppen-Geiger Climate Zone,Temperate,519168,962061770,52.8817,0.0735,52.7379,53.0257,52.88 ± 0.07
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,Köppen-Geiger Climate Zone,Continental,237127,380838258,53.1201,0.1096,52.9065,53.3343,53.12 ± 0.11
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,Köppen-Geiger Climate Zone,National,838281,1512661979,52.5669,0.0575,52.4544,52.6796,52.57 ± 0.06
2006-2010,I00-I99,I00-I99,I00_I99,Köppen-Geiger Climate Zone,Dry,386034,169761950,228.3085,0.3684,227.5889,229.0299,228.31 ± 0.37
2006-2010,I00-I99,I00-I99,I00_I99,Köppen-Geiger Climate Zone,Temperate,2554664,962061770,257.0976,0.1615,256.7824,257.413,257.10 ± 0.16
2006-2010,I00-I99,I00-I99,I00_I99,Köppen-Geiger Climate Zone,Continental,1048242,380838258,242.0874,0.238,241.6242,242.5513,242.09 ± 0.24
2006-2010,I00-I99,I00-I99,I00_I99,Köppen-Geiger Climate Zone,National,3988940,1512661978,250.0934,0.1257,249.8481,250.339,250.09 ± 0.13
2006-2010,I00_I99,I00_I99,CVD,Köppen-Geiger Climate Zone,Dry,386034,169761950,228.3085,0.3684,227.5889,229.0299,228.31 ± 0.37
2006-2010,I00_I99,I00_I99,CVD,Köppen-Geiger Climate Zone,Temperate,2554664,962061770,257.0976,0.1615,256.7824,257.413,257.10 ± 0.16
2006-2010,I00_I99,I00_I99,CVD,Köppen-Geiger Climate Zone,Continental,1048242,380838258,242.0874,0.238,241.6242,242.5513,242.09 ± 0.24
2006-2010,I00_I99,I00_I99,CVD,Köppen-Geiger Climate Zone,National,3988940,1512661978,250.0934,0.1257,249.8481,250.339,250.09 ± 0.13
2006-2010,I10_I15,I10_I15,HD,Köppen-Geiger Climate Zone,Dry,30636,169761945,17.9934,0.1031,17.7924,18.196,17.99 ± 0.10
2006-2010,I10_I15,I10_I15,HD,Köppen-Geiger Climate Zone,Temperate,196140,962061770,19.5908,0.0444,19.5042,19.6777,19.59 ± 0.04
2006-2010,I10_I15,I10_I15,HD,Köppen-Geiger Climate Zone,Continental,70669,380838258,16.2284,0.0615,16.109,16.3485,16.23 ± 0.06
2006-2010,I10_I15,I10_I15,HD,Köppen-Geiger Climate Zone,National,297445,1512661973,18.526,0.0341,18.4595,18.5927,18.53 ± 0.03
2006-2010,I20_I25,I20_I25,IHD,Köppen-Geiger Climate Zone,Dry,196460,169761945,115.9506,0.2623,115.4384,116.4645,115.95 ± 0.26
2006-2010,I20_I25,I20_I25,IHD,Köppen-Geiger Climate Zone,Temperate,1277879,962061770,128.2522,0.1139,128.03,128.4748,128.25 ± 0.11
2006-2010,I20_I25,I20_I25,IHD,Köppen-Geiger Climate Zone,Continental,516634,380838258,119.4277,0.1672,119.1023,119.7538,119.43 ± 0.17
2006-2010,I20_I25,I20_I25,IHD,Köppen-Geiger Climate Zone,National,1990973,1512661973,124.5701,0.0887,124.3971,124.7433,124.57 ± 0.09
2006-2010,I50,I50,HF,Köppen-Geiger Climate Zone,Dry,23293,169761945,13.8805,0.0911,13.7028,14.0599,13.88 ± 0.09
2006-2010,I50,I50,HF,Köppen-Geiger Climate Zone,Temperate,180318,962061770,18.2433,0.0431,18.1592,18.3277,18.24 ± 0.04
2006-2010,I50,I50,HF,Köppen-Geiger Climate Zone,Continental,82824,380838258,18.7198,0.0654,18.5925,18.8477,18.72 ± 0.07
2006-2010,I50,I50,HF,Köppen-Geiger Climate Zone,National,286435,1512661973,17.9373,0.0336,17.8716,18.0031,17.94 ± 0.03
2006-2010,I60_I69,I60_I69,Stroke,Köppen-Geiger Climate Zone,Dry,64047,169761945,38.0717,0.1508,37.7774,38.3677,38.07 ± 0.15
2006-2010,I60_I69,I60_I69,Stroke,Köppen-Geiger Climate Zone,Temperate,424126,962061770,42.9732,0.0662,42.8439,43.1027,42.97 ± 0.07
2006-2010,I60_I69,I60_I69,Stroke,Köppen-Geiger Climate Zone,Continental,173154,380838258,40.0112,0.0968,39.8229,40.2001,40.01 ± 0.10
2006-2010,I60_I69,I60_I69,Stroke,Köppen-Geiger Climate Zone,National,661327,1512661973,41.6849,0.0514,41.5845,41.7855,41.68 ± 0.05
2006-2010,X60_X69,X60_X69,NVS,Köppen-Geiger Climate Zone,Dry,4488,169761945,2.6522,0.0399,2.5751,2.7309,2.65 ± 0.04
2006-2010,X60_X69,X60_X69,NVS,Köppen-Geiger Climate Zone,Temperate,19007,962061770,1.9158,0.014,1.8887,1.9432,1.92 ± 0.01
2006-2010,X60_X69,X60_X69,NVS,Köppen-Geiger Climate Zone,Continental,8096,380838258,2.0604,0.0232,2.0158,2.1058,2.06 ± 0.02
2006-2010,X60_X69,X60_X69,NVS,Köppen-Geiger Climate Zone,National,31591,1512661973,2.0312,0.0115,2.0089,2.0537,2.03 ± 0.01
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,Köppen-Geiger Climate Zone,Dry,22984,169761945,13.5645,0.09,13.3897,13.741,13.56 ± 0.09
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,Köppen-Geiger Climate Zone,Temperate,110892,962061770,11.2664,0.0341,11.2002,11.333,11.27 ± 0.03
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,Köppen-Geiger Climate Zone,Continental,41855,380838258,10.7372,0.0531,10.6346,10.8406,10.74 ± 0.05
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,Köppen-Geiger Climate Zone,National,175731,1512661973,11.3759,0.0273,11.3228,11.4293,11.38 ± 0.03
2006-2010,X70_X84,X70_X84,VS,Köppen-Geiger Climate Zone,Dry,18465,169761945,10.894,0.0806,10.7374,11.0523,10.89 ± 0.08
2006-2010,X70_X84,X70_X84,VS,Köppen-Geiger Climate Zone,Temperate,91629,962061770,9.3247,0.031,9.2644,9.3853,9.32 ± 0.03
2006-2010,X70_X84,X70_X84,VS,Köppen-Geiger Climate Zone,Continental,33689,380838258,8.6588,0.0477,8.5666,8.7518,8.66 ± 0.05
2006-2010,X70_X84,X70_X84,VS,Köppen-Geiger Climate Zone,National,143783,1512661973,9.3217,0.0248,9.2735,9.37,9.32 ± 0.02
2006-2010,Y87.0,Y87.0,SI,Köppen-Geiger Climate Zone,Dry,31,169761945,0.0183,0.0033,0.0125,0.026,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,Köppen-Geiger Climate Zone,Temperate,256,962061770,0.0259,0.0016,0.0228,0.0293,0.03 ± 0.00
2006-2010,Y87.0,Y87.0,SI,Köppen-Geiger Climate Zone,Continental,70,380838258,0.018,0.0022,0.014,0.0227,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,Köppen-Geiger Climate Zone,National,357,1512661973,0.0231,0.0012,0.0207,0.0256,0.02 ± 0.00
2011-2015,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,Dry,288221,181302973,145.8699,0.2741,145.3379,146.4035,145.87 ± 0.27
2011-2015,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,Temperate,1860802,1007091410,164.7184,0.1222,164.4818,164.9552,164.72 ± 0.12
2011-2015,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,Continental,763760,386837266,166.3461,0.1931,165.9733,166.7196,166.35 ± 0.19
2011-2015,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,National,2912783,1575231649,163.0716,0.0967,162.8844,163.259,163.07 ± 0.10
2011-2015,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,Dry,26993,181302973,13.6868,0.0841,13.524,13.8511,13.69 ± 0.08
2011-2015,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,Temperate,166153,1007091410,14.7347,0.0366,14.6639,14.8057,14.73 ± 0.04
2011-2015,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,Continental,67191,386837266,14.6252,0.0573,14.5149,14.7362,14.63 ± 0.06
2011-2015,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,National,260337,1575231649,14.5964,0.029,14.5403,14.6525,14.60 ± 0.03
2011-2015,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,Dry,13401,181302973,6.6273,0.0578,6.5156,6.7405,6.63 ± 0.06
2011-2015,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,Temperate,78533,1007091410,6.7143,0.0243,6.6675,6.7615,6.71 ± 0.02
2011-2015,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,Continental,26188,386837266,5.5805,0.035,5.5132,5.6486,5.58 ± 0.04
2011-2015,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,National,118122,1575231649,6.4148,0.0189,6.3782,6.4515,6.41 ± 0.02
2011-2015,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,Dry,19991,181302973,10.0472,0.0717,9.9084,10.1875,10.05 ± 0.07
2011-2015,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,Temperate,124440,1007091410,10.9584,0.0314,10.8976,11.0194,10.96 ± 0.03
2011-2015,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,Continental,51665,386837266,11.1634,0.0498,11.0673,11.26,11.16 ± 0.05
2011-2015,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,National,196096,1575231649,10.9092,0.0249,10.861,10.9576,10.91 ± 0.02
2011-2015,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,Dry,67425,181302973,33.9973,0.132,33.7412,34.2549,34.00 ± 0.13
2011-2015,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,Temperate,503110,1007091410,44.2533,0.0631,44.1311,44.3757,44.25 ± 0.06
2011-2015,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,Continental,204828,386837266,44.5724,0.0998,44.3796,44.7659,44.57 ± 0.10
2011-2015,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,National,775363,1575231649,43.1972,0.0496,43.1011,43.2934,43.20 ± 0.05
2011-2015,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,Dry,20836,181302973,10.5967,0.0742,10.4533,10.7416,10.60 ± 0.07
2011-2015,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,Temperate,133330,1007091410,11.8112,0.0328,11.7479,11.8747,11.81 ± 0.03
2011-2015,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,Continental,52413,386837266,11.4421,0.0509,11.3443,11.5405,11.44 ± 0.05
2011-2015,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,National,206579,1575231649,11.5857,0.0259,11.5358,11.6358,11.59 ± 0.03
2011-2015,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,Dry,7531,181302973,3.8041,0.0443,3.7187,3.891,3.80 ± 0.04
2011-2015,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,Temperate,44691,1007091410,3.9461,0.0189,3.9096,3.9828,3.95 ± 0.02
2011-2015,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,Continental,18577,386837266,4.0479,0.0301,3.9899,4.1065,4.05 ± 0.03
2011-2015,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,National,70799,1575231649,3.9565,0.0151,3.9274,3.9858,3.96 ± 0.02
2011-2015,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,Dry,15715,181302973,8.0051,0.0643,7.8804,8.1313,8.01 ± 0.06
2011-2015,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,Temperate,87317,1007091410,7.8618,0.0268,7.8097,7.9141,7.86 ± 0.03
2011-2015,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,Continental,36328,386837266,7.8588,0.0417,7.7782,7.94,7.86 ± 0.04
2011-2015,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,National,139360,1575231649,7.8777,0.0213,7.8364,7.9191,7.88 ± 0.02
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,Dry,7264,181302973,3.6394,0.0431,3.5562,3.724,3.64 ± 0.04
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,Temperate,43435,1007091410,3.8223,0.0186,3.7864,3.8584,3.82 ± 0.02
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,Continental,18247,386837266,3.9401,0.0296,3.8831,3.9977,3.94 ± 0.03
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,National,68946,1575231649,3.8322,0.0148,3.8037,3.8609,3.83 ± 0.01
2011-2015,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,Dry,10226,181302973,5.2467,0.0523,5.1455,5.3494,5.25 ± 0.05
2011-2015,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,Temperate,62815,1007091410,5.6605,0.0228,5.6163,5.7049,5.66 ± 0.02
2011-2015,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,Continental,27809,386837266,6.1232,0.0372,6.0515,6.1956,6.12 ± 0.04
2011-2015,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,National,100850,1575231649,5.7356,0.0183,5.7003,5.7711,5.74 ± 0.02
2011-2015,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,Dry,11796,181302973,6.0862,0.0565,5.9768,6.197,6.09 ± 0.06
2011-2015,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,Temperate,71972,1007091410,6.5528,0.0247,6.5051,6.6009,6.55 ± 0.02
2011-2015,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,Continental,30985,386837266,6.8704,0.0396,6.7942,6.9474,6.87 ± 0.04
2011-2015,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,National,114753,1575231649,6.5863,0.0197,6.5482,6.6245,6.59 ± 0.02
2011-2015,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,Dry,6387,181302973,3.2138,0.0404,3.1355,3.2936,3.21 ± 0.04
2011-2015,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,Temperate,41728,1007091410,3.739,0.0184,3.7032,3.775,3.74 ± 0.02
2011-2015,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,Continental,16578,386837266,3.429,0.0269,3.377,3.4816,3.43 ± 0.03
2011-2015,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,National,64693,1575231649,3.5972,0.0142,3.5695,3.625,3.60 ± 0.01
