Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
NHL,"20,145 (0.07‰)",6.39 ± 0.05,"19,246 (0.07‰)",5.69 ± 0.04,"18,719 (0.07‰)",5.10 ± 0.04,,
Leukemia,"21,424 (0.08‰)",6.87 ± 0.05,"21,821 (0.08‰)",6.52 ± 0.04,"21,123 (0.08‰)",5.83 ± 0.04,,
Census Region (Midwest),,,,,,,,
Cancer,"661,223 (2.00‰)",182.71 ± 0.23,"674,453 (2.01‰)",171.10 ± 0.21,"677,918 (2.00‰)",157.68 ± 0.19,,
Colorectal,"62,455 (0.19‰)",17.16 ± 0.07,"59,979 (0.18‰)",15.22 ± 0.06,"58,977 (0.17‰)",13.88 ± 0.06,,
Liver,"18,110 (0.05‰)",4.93 ± 0.04,"22,984 (0.07‰)",5.69 ± 0.04,"26,764 (0.08‰)",6.08 ± 0.04,,
Pancreatic,"40,622 (0.12‰)",11.18 ± 0.06,"44,598 (0.13‰)",11.24 ± 0.05,"50,838 (0.15‰)",11.70 ± 0.05,,
Lung,"190,089 (0.57‰)",52.78 ± 0.12,"188,095 (0.56‰)",47.61 ± 0.11,"171,893 (0.51‰)",39.38 ± 0.10,,
Breast,"47,455 (0.14‰)",13.04 ± 0.06,"46,575 (0.14‰)",11.85 ± 0.06,"45,930 (0.14‰)",10.94 ± 0.05,,
Ovarian,"16,678 (0.05‰)",4.60 ± 0.04,"15,744 (0.05‰)",4.00 ± 0.03,"14,859 (0.04‰)",3.47 ± 0.03,,
Prostate,"32,572 (0.10‰)",8.96 ± 0.05,"31,189 (0.09‰)",7.87 ± 0.05,"34,133 (0.10‰)",7.85 ± 0.04,,
Kidney,"15,811 (0.05‰)",4.35 ± 0.03,"16,718 (0.05‰)",4.21 ± 0.03,"16,308 (0.05‰)",3.79 ± 0.03,,
NHL,"24,871 (0.08‰)",6.90 ± 0.04,"24,155 (0.07‰)",6.19 ± 0.04,"23,643 (0.07‰)",5.55 ± 0.04,,
Leukemia,"26,960 (0.08‰)",7.53 ± 0.05,"27,185 (0.08‰)",7.03 ± 0.04,"26,744 (0.08‰)",6.36 ± 0.04,,
Census Region (South),,,,,,,,
Cancer,"1,048,346 (1.89‰)",181.38 ± 0.18,"1,106,431 (1.88‰)",167.99 ± 0.16,"1,155,538 (1.87‰)",153.74 ± 0.15,,
Colorectal,"97,260 (0.18‰)",16.89 ± 0.05,"99,003 (0.17‰)",15.10 ± 0.05,"104,235 (0.17‰)",14.04 ± 0.04,,
Liver,"34,105 (0.06‰)",5.77 ± 0.03,"45,890 (0.08‰)",6.73 ± 0.03,"54,393 (0.09‰)",6.99 ± 0.03,,
Pancreatic,"62,044 (0.11‰)",10.72 ± 0.04,"71,794 (0.12‰)",10.84 ± 0.04,"83,098 (0.13‰)",10.94 ± 0.04,,
Lung,"313,833 (0.57‰)",53.90 ± 0.10,"313,428 (0.53‰)",47.02 ± 0.08,"292,206 (0.47‰)",38.08 ± 0.07,,
Breast,"74,475 (0.13‰)",12.80 ± 0.05,"77,441 (0.13‰)",11.82 ± 0.04,"81,957 (0.13‰)",11.17 ± 0.04,,
