Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Asthma,303 (0.01‰),0.74 ± 0.04,339 (0.01‰),0.77 ± 0.04,399 (0.01‰),0.80 ± 0.04,263 (0.01‰),0.71 ± 0.05
Pneumoconiosis,37 (0.00‰),0.08 ± 0.01,22 (0.00‰),0.04 ± 0.01,28 (0.00‰),0.04 ± 0.01,14 (0.00‰),0.03 ± 0.01
Köppen-Geiger Climate Zone (Dry),,,,,,,,
CRD,"121,796 (0.90‰)",98.22 ± 0.28,"131,293 (0.91‰)",90.43 ± 0.25,"134,752 (0.88‰)",79.39 ± 0.22,"102,582 (0.81‰)",76.52 ± 0.25
COPD,"56,652 (0.42‰)",46.42 ± 0.20,"64,265 (0.45‰)",44.74 ± 0.18,"69,801 (0.46‰)",41.38 ± 0.16,"52,023 (0.41‰)",38.45 ± 0.17
Lung cancer,"51,268 (0.38‰)",40.45 ± 0.18,"51,226 (0.36‰)",34.63 ± 0.15,"47,588 (0.31‰)",27.51 ± 0.13,"35,216 (0.28‰)",26.48 ± 0.15
ILD,"6,511 (0.05‰)",5.31 ± 0.07,"7,407 (0.05‰)",5.16 ± 0.06,"8,799 (0.06‰)",5.27 ± 0.06,"8,164 (0.06‰)",6.02 ± 0.07
Asthma,"1,251 (0.01‰)",0.99 ± 0.03,"1,352 (0.01‰)",0.93 ± 0.03,"1,517 (0.01‰)",0.94 ± 0.02,"1,230 (0.01‰)",1.03 ± 0.03
Pneumoconiosis,248 (0.00‰),0.21 ± 0.01,313 (0.00‰),0.23 ± 0.01,313 (0.00‰),0.19 ± 0.01,196 (0.00‰),0.14 ± 0.01
Köppen-Geiger Climate Zone (Temperate),,,,,,,,
CRD,"1,034,140 (1.08‰)",104.19 ± 0.10,"1,084,898 (1.08‰)",96.76 ± 0.09,"1,086,692 (1.04‰)",85.29 ± 0.08,"821,414 (0.97‰)",85.05 ± 0.10
Lung cancer,"510,746 (0.53‰)",50.88 ± 0.07,"502,723 (0.50‰)",44.27 ± 0.06,"459,900 (0.44‰)",35.60 ± 0.05,"340,397 (0.40‰)",35.80 ± 0.06
COPD,"401,548 (0.42‰)",40.91 ± 0.06,"446,157 (0.44‰)",40.18 ± 0.06,"479,261 (0.46‰)",37.80 ± 0.06,"356,632 (0.42‰)",36.39 ± 0.06
ILD,"50,782 (0.05‰)",5.17 ± 0.02,"58,147 (0.06‰)",5.28 ± 0.02,"66,223 (0.06‰)",5.31 ± 0.02,"58,636 (0.07‰)",5.95 ± 0.03
Asthma,"10,083 (0.01‰)",1.02 ± 0.01,"9,866 (0.01‰)",0.91 ± 0.01,"10,157 (0.01‰)",0.87 ± 0.01,"8,072 (0.01‰)",0.95 ± 0.01
Pneumoconiosis,"2,916 (0.00‰)",0.30 ± 0.01,"2,506 (0.00‰)",0.23 ± 0.00,"2,120 (0.00‰)",0.17 ± 0.00,"1,385 (0.00‰)",0.14 ± 0.00
Köppen-Geiger Climate Zone (Continental),,,,,,,,
CRD,"434,146 (1.14‰)",103.00 ± 0.16,"450,002 (1.16‰)",97.67 ± 0.15,"439,547 (1.12‰)",86.68 ± 0.13,"327,533 (1.06‰)",87.88 ± 0.16
Lung cancer,"208,760 (0.55‰)",49.76 ± 0.11,"205,348 (0.53‰)",44.58 ± 0.10,"186,713 (0.48‰)",36.62 ± 0.09,"137,675 (0.45‰)",37.81 ± 0.11
COPD,"170,590 (0.45‰)",40.43 ± 0.10,"185,758 (0.48‰)",40.34 ± 0.09,"192,419 (0.49‰)",37.94 ± 0.09,"140,496 (0.46‰)",36.90 ± 0.10
ILD,"22,931 (0.06‰)",5.45 ± 0.04,"25,269 (0.07‰)",5.55 ± 0.04,"27,385 (0.07‰)",5.49 ± 0.03,"23,435 (0.08‰)",6.11 ± 0.04
Asthma,"4,020 (0.01‰)",0.97 ± 0.02,"4,263 (0.01‰)",0.97 ± 0.02,"4,184 (0.01‰)",0.93 ± 0.01,"3,182 (0.01‰)",0.99 ± 0.02
Pneumoconiosis,"1,127 (0.00‰)",0.27 ± 0.01,866 (0.00‰),0.19 ± 0.01,736 (0.00‰),0.15 ± 0.01,415 (0.00‰),0.11 ± 0.01
Köppen-Geiger Climate Zone (koppen_major: E),,,,,,,,
CRD,62 (0.70‰),153.87 ± 21.17,61 (0.65‰),120.50 ± 16.88,62 (0.66‰),96.53 ± 13.09,45 (0.56‰),80.67 ± 12.43
COPD,25 (0.28‰),74.31 ± 15.65,23 (0.24‰),47.22 ± 10.75,25 (0.27‰),40.22 ± 8.53,22 (0.28‰),41.05 ± 9.01
Lung cancer,33 (0.37‰),70.52 ± 13.40,35 (0.37‰),65.20 ± 12.09,33 (0.35‰),49.45 ± 9.25,17 (0.21‰),29.50 ± 7.39
