Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,Services,1670503,650908683,237.4426,0.1845,237.0827,237.803,237.44 ± 0.18
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,Nonspecialized,924144,361939164,256.9286,0.2685,256.4051,257.453,256.93 ± 0.27
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,National,4011828,1519222146,250.466,0.1256,250.221,250.7113,250.47 ± 0.13
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,Farming,66766,20793230,260.3609,1.014,258.3897,262.3434,260.36 ± 1.01
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,Mining,45959,14617184,297.8309,1.3978,295.1142,300.5665,297.83 ± 1.40
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,Manufacturing,881658,294175065,266.8511,0.2854,266.2944,267.4087,266.85 ± 0.29
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,Government,422798,176788820,252.2597,0.3901,251.4999,253.0212,252.26 ± 0.39
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,Services,1670503,650908683,237.4426,0.1845,237.0827,237.803,237.44 ± 0.18
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,Nonspecialized,924144,361939164,256.9286,0.2685,256.4051,257.453,256.93 ± 0.27
2006-2010,I00_I99,I00_I99,CVD,County Economic Typology,National,4011828,1519222146,250.466,0.1256,250.221,250.7113,250.47 ± 0.13
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,Farming,4351,20793230,16.9742,0.2596,16.4735,17.4862,16.97 ± 0.26
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,Mining,2457,14617184,15.9631,0.3243,15.3381,16.6071,15.96 ± 0.32
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,Manufacturing,58129,294175065,17.5441,0.0731,17.4018,17.6873,17.54 ± 0.07
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,Government,33625,176788820,19.8691,0.109,19.6573,20.0826,19.87 ± 0.11
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,Services,133812,650908678,18.9332,0.052,18.8319,19.0349,18.93 ± 0.05
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,Nonspecialized,67674,361939164,18.6434,0.072,18.5032,18.7844,18.64 ± 0.07
2006-2010,I10_I15,I10_I15,HD,County Economic Typology,National,300048,1519222141,18.6082,0.0341,18.5416,18.6749,18.61 ± 0.03
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,Farming,32519,20793230,127.0131,0.7084,125.6364,128.4012,127.01 ± 0.71
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,Mining,23647,14617184,151.7997,0.9938,149.871,153.747,151.80 ± 0.99
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,Manufacturing,429886,294175065,129.7341,0.1987,129.3466,130.1225,129.73 ± 0.20
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,Government,197914,176788820,117.5759,0.2659,117.0584,118.095,117.58 ± 0.27
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,Services,872437,650908678,123.8652,0.1332,123.6055,124.1254,123.87 ± 0.13
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,Nonspecialized,445458,361939164,123.3863,0.1858,123.0243,123.7492,123.39 ± 0.19
