Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
GRTI,"10,219 (0.02‰)",1.46 ± 0.01,"3,573 (0.01‰)",0.46 ± 0.01,"4,767 (0.01‰)",0.55 ± 0.01,"4,876 (0.01‰)",0.74 ± 0.01
County Economic Typology (Nonspecialized),,,,,,,,
CKD,"74,689 (0.21‰)",20.73 ± 0.08,"73,463 (0.19‰)",18.24 ± 0.07,"89,640 (0.23‰)",19.61 ± 0.07,"75,578 (0.23‰)",21.72 ± 0.08
Non-cancer CKD,"59,251 (0.16‰)",16.55 ± 0.07,"61,834 (0.16‰)",15.31 ± 0.06,"71,909 (0.18‰)",15.82 ± 0.06,"60,493 (0.19‰)",17.32 ± 0.07
RF,"41,477 (0.11‰)",11.57 ± 0.06,"45,836 (0.12‰)",11.35 ± 0.05,"51,214 (0.13‰)",11.26 ± 0.05,"41,733 (0.13‰)",11.93 ± 0.06
Kidney cancer,"15,438 (0.04‰)",4.18 ± 0.03,"11,629 (0.03‰)",2.93 ± 0.03,"17,731 (0.04‰)",3.79 ± 0.03,"15,085 (0.05‰)",4.40 ± 0.04
GRTI,"6,165 (0.02‰)",1.73 ± 0.02,"2,323 (0.01‰)",0.58 ± 0.01,"3,075 (0.01‰)",0.68 ± 0.01,"3,179 (0.01‰)",0.91 ± 0.02
EQI Quintile (Q1),,,,,,,,
CKD,"14,443 (0.27‰)",24.13 ± 0.20,"13,897 (0.25‰)",20.73 ± 0.18,"16,047 (0.29‰)",21.57 ± 0.17,"13,056 (0.30‰)",24.45 ± 0.22
Non-cancer CKD,"11,970 (0.22‰)",20.12 ± 0.18,"12,047 (0.22‰)",18.03 ± 0.17,"13,137 (0.23‰)",17.68 ± 0.16,"10,624 (0.24‰)",19.75 ± 0.20
RF,"8,816 (0.16‰)",14.79 ± 0.16,"9,085 (0.16‰)",13.59 ± 0.14,"9,229 (0.16‰)",12.42 ± 0.13,"7,188 (0.16‰)",13.33 ± 0.16
Kidney cancer,"2,473 (0.05‰)",4.01 ± 0.08,"1,850 (0.03‰)",2.70 ± 0.06,"2,910 (0.05‰)",3.90 ± 0.07,"2,432 (0.06‰)",4.69 ± 0.10
GRTI,922 (0.02‰),1.56 ± 0.05,362 (0.01‰),0.55 ± 0.03,483 (0.01‰),0.65 ± 0.03,454 (0.01‰),0.85 ± 0.04
EQI Quintile (Q2),,,,,,,,
CKD,"25,762 (0.27‰)",22.05 ± 0.14,"25,602 (0.26‰)",19.71 ± 0.12,"29,827 (0.29‰)",20.72 ± 0.12,"25,095 (0.30‰)",23.63 ± 0.16
Non-cancer CKD,"20,780 (0.21‰)",17.85 ± 0.12,"21,834 (0.22‰)",16.89 ± 0.12,"24,058 (0.24‰)",16.75 ± 0.11,"20,309 (0.24‰)",18.96 ± 0.14
RF,"14,781 (0.15‰)",12.69 ± 0.10,"16,100 (0.16‰)",12.44 ± 0.10,"16,899 (0.17‰)",11.74 ± 0.09,"13,756 (0.16‰)",12.78 ± 0.12
Kidney cancer,"4,982 (0.05‰)",4.20 ± 0.06,"3,768 (0.03‰)",2.82 ± 0.05,"5,769 (0.06‰)",3.98 ± 0.05,"4,786 (0.06‰)",4.68 ± 0.07
GRTI,"1,857 (0.02‰)",1.60 ± 0.04,647 (0.01‰),0.51 ± 0.02,851 (0.01‰),0.61 ± 0.02,957 (0.01‰),0.90 ± 0.03
EQI Quintile (Q3),,,,,,,,
CKD,"42,689 (0.24‰)",20.99 ± 0.10,"41,743 (0.22‰)",18.49 ± 0.09,"49,662 (0.26‰)",19.72 ± 0.09,"42,112 (0.27‰)",22.21 ± 0.11
Non-cancer CKD,"33,943 (0.19‰)",16.75 ± 0.09,"35,363 (0.19‰)",15.69 ± 0.08,"39,883 (0.21‰)",15.88 ± 0.08,"33,827 (0.21‰)",17.73 ± 0.10
RF,"23,686 (0.13‰)",11.69 ± 0.08,"25,812 (0.14‰)",11.44 ± 0.07,"28,091 (0.15‰)",11.18 ± 0.07,"22,970 (0.15‰)",12.00 ± 0.08
Kidney cancer,"8,746 (0.05‰)",4.24 ± 0.05,"6,380 (0.03‰)",2.81 ± 0.04,"9,779 (0.05‰)",3.84 ± 0.04,"8,285 (0.05‰)",4.48 ± 0.05
GRTI,"3,423 (0.02‰)",1.69 ± 0.03,"1,145 (0.01‰)",0.52 ± 0.02,"1,561 (0.01‰)",0.63 ± 0.02,"1,689 (0.01‰)",0.89 ± 0.02
EQI Quintile (Q4),,,,,,,,
CKD,"60,969 (0.23‰)",21.30 ± 0.09,"58,185 (0.21‰)",18.45 ± 0.08,"69,009 (0.25‰)",19.76 ± 0.08,"58,490 (0.26‰)",22.36 ± 0.10
Non-cancer CKD,"48,840 (0.19‰)",17.09 ± 0.08,"49,343 (0.18‰)",15.62 ± 0.07,"55,777 (0.20‰)",16.01 ± 0.07,"47,375 (0.21‰)",18.01 ± 0.09
RF,"34,213 (0.13‰)",11.98 ± 0.07,"36,421 (0.13‰)",11.53 ± 0.06,"39,816 (0.14‰)",11.42 ± 0.06,"32,809 (0.14‰)",12.46 ± 0.07
Kidney cancer,"12,129 (0.05‰)",4.21 ± 0.04,"8,842 (0.03‰)",2.83 ± 0.03,"13,232 (0.05‰)",3.75 ± 0.03,"11,115 (0.05‰)",4.35 ± 0.04
