Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Colorectal,"19,288 (0.14‰)",15.29 ± 0.11,"20,466 (0.14‰)",13.94 ± 0.10,"22,025 (0.14‰)",13.01 ± 0.09,"19,253 (0.15‰)",15.59 ± 0.12
Breast,"14,881 (0.11‰)",11.54 ± 0.10,"15,941 (0.11‰)",10.78 ± 0.09,"17,612 (0.12‰)",10.47 ± 0.08,"14,846 (0.12‰)",12.05 ± 0.10
Pancreatic,"12,750 (0.09‰)",10.01 ± 0.09,"14,804 (0.10‰)",9.95 ± 0.08,"17,484 (0.11‰)",10.09 ± 0.08,"15,777 (0.13‰)",12.20 ± 0.10
Prostate,"11,410 (0.08‰)",9.43 ± 0.09,"11,912 (0.08‰)",8.33 ± 0.08,"14,127 (0.09‰)",8.42 ± 0.07,"12,339 (0.10‰)",9.04 ± 0.08
Köppen-Geiger Climate Zone (Temperate),,,,,,,,
Cancer,"1,788,897 (1.86‰)",178.41 ± 0.13,"1,859,232 (1.85‰)",164.76 ± 0.12,"1,908,121 (1.83‰)",150.20 ± 0.11,"1,561,504 (1.84‰)",166.98 ± 0.14
Lung,"510,746 (0.53‰)",50.88 ± 0.07,"502,723 (0.50‰)",44.27 ± 0.06,"459,900 (0.44‰)",35.60 ± 0.05,"340,397 (0.40‰)",35.80 ± 0.06
Colorectal,"167,445 (0.17‰)",16.71 ± 0.04,"166,047 (0.17‰)",14.74 ± 0.04,"169,640 (0.16‰)",13.50 ± 0.03,"141,060 (0.17‰)",15.63 ± 0.04
Breast,"130,775 (0.14‰)",12.92 ± 0.04,"133,255 (0.13‰)",11.82 ± 0.03,"137,289 (0.13‰)",11.02 ± 0.03,"111,584 (0.13‰)",12.43 ± 0.04
Pancreatic,"109,477 (0.11‰)",10.90 ± 0.03,"124,333 (0.12‰)",10.96 ± 0.03,"141,154 (0.14‰)",11.00 ± 0.03,"124,015 (0.15‰)",13.15 ± 0.04
Prostate,"88,580 (0.09‰)",9.05 ± 0.03,"87,215 (0.09‰)",7.86 ± 0.03,"97,742 (0.09‰)",7.73 ± 0.02,"84,808 (0.10‰)",8.49 ± 0.03
Köppen-Geiger Climate Zone (Continental),,,,,,,,
Cancer,"753,102 (1.97‰)",178.43 ± 0.21,"765,548 (1.98‰)",166.36 ± 0.19,"767,842 (1.96‰)",152.81 ± 0.18,"616,354 (2.00‰)",170.95 ± 0.23
Lung,"208,760 (0.55‰)",49.76 ± 0.11,"205,348 (0.53‰)",44.58 ± 0.10,"186,713 (0.48‰)",36.62 ± 0.09,"137,675 (0.45‰)",37.81 ± 0.11
Colorectal,"70,448 (0.18‰)",16.59 ± 0.06,"67,357 (0.17‰)",14.63 ± 0.06,"65,889 (0.17‰)",13.27 ± 0.05,"52,470 (0.17‰)",15.10 ± 0.07
Breast,"53,921 (0.14‰)",12.68 ± 0.06,"52,566 (0.14‰)",11.45 ± 0.05,"51,886 (0.13‰)",10.57 ± 0.05,"40,608 (0.13‰)",11.79 ± 0.06
Pancreatic,"47,408 (0.12‰)",11.19 ± 0.05,"51,831 (0.13‰)",11.17 ± 0.05,"58,691 (0.15‰)",11.56 ± 0.05,"51,113 (0.17‰)",14.08 ± 0.07
Prostate,"38,058 (0.10‰)",8.94 ± 0.05,"36,450 (0.09‰)",7.87 ± 0.04,"39,933 (0.10‰)",7.85 ± 0.04,"33,328 (0.11‰)",8.56 ± 0.05
Köppen-Geiger Climate Zone (koppen_major: E),,,,,,,,
Cancer,105 (1.18‰),200.85 ± 22.32,107 (1.14‰),168.44 ± 18.53,98 (1.05‰),147.13 ± 16.00,83 (1.04‰),137.08 ± 15.47
Lung,33 (0.37‰),70.52 ± 13.40,35 (0.37‰),65.20 ± 12.09,33 (0.35‰),49.45 ± 9.25,17 (0.21‰),29.50 ± 7.39
