Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,F01,Vascular Dementia (VD),VD,RUCC,Thinly populated,685,23771547,1.9887,0.0761,1.8425,2.1433,1.99 ± 0.08
2006-2010,F01,Vascular Dementia (VD),VD,RUCC,National,46181,1519147926,2.8873,0.0135,2.861,2.9138,2.89 ± 0.01
2006-2010,F03,Unspecified Dementia (UD),UD,RUCC,Metropolitan urbanized,335501,1288964259,25.5234,0.0442,25.4371,25.6099,25.52 ± 0.04
2006-2010,F03,Unspecified Dementia (UD),UD,RUCC,Non-metropolitan urbanized,27362,91640982,25.1055,0.1521,24.8089,25.4048,25.11 ± 0.15
2006-2010,F03,Unspecified Dementia (UD),UD,RUCC,Less urbanized,34124,114771138,23.0832,0.1252,22.8389,23.3294,23.08 ± 0.13
2006-2010,F03,Unspecified Dementia (UD),UD,RUCC,Thinly populated,6819,23771547,19.8304,0.2405,19.3625,20.3067,19.83 ± 0.24
2006-2010,F03,Unspecified Dementia (UD),UD,RUCC,National,403806,1519147926,25.148,0.0397,25.0705,25.2256,25.15 ± 0.04
2006-2010,G10,Huntington's Disease (HD),HD,RUCC,Metropolitan urbanized,3527,1288964259,0.2603,0.0044,0.2518,0.269,0.26 ± 0.00
2006-2010,G10,Huntington's Disease (HD),HD,RUCC,Non-metropolitan urbanized,342,91640982,0.3324,0.0183,0.2981,0.3696,0.33 ± 0.02
2006-2010,G10,Huntington's Disease (HD),HD,RUCC,Less urbanized,455,114771138,0.336,0.0161,0.3058,0.3683,0.34 ± 0.02
2006-2010,G10,Huntington's Disease (HD),HD,RUCC,Thinly populated,85,23771547,0.2799,0.0312,0.2235,0.3461,0.28 ± 0.03
2006-2010,G10,Huntington's Disease (HD),HD,RUCC,National,4409,1519147926,0.2713,0.0041,0.2634,0.2795,0.27 ± 0.00
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,RUCC,Metropolitan urbanized,25526,1288964259,1.9349,0.0122,1.9113,1.9588,1.93 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,RUCC,Non-metropolitan urbanized,2230,91640982,2.086,0.0445,2.0003,2.1744,2.09 ± 0.04
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,RUCC,Less urbanized,2836,114771138,1.9695,0.0373,1.8976,2.0433,1.97 ± 0.04
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,RUCC,Thinly populated,591,23771547,1.7788,0.0741,1.6382,1.9281,1.78 ± 0.07
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,RUCC,National,31183,1519147926,1.9438,0.0111,1.9222,1.9655,1.94 ± 0.01
2006-2010,G20,Parkinson's Disease (PD),PD,RUCC,Metropolitan urbanized,84097,1288964259,6.6016,0.0228,6.5571,6.6464,6.60 ± 0.02
2006-2010,G20,Parkinson's Disease (PD),PD,RUCC,Non-metropolitan urbanized,7259,91640982,6.8469,0.0805,6.6903,7.0063,6.85 ± 0.08
2006-2010,G20,Parkinson's Disease (PD),PD,RUCC,Less urbanized,8640,114771138,5.9827,0.0645,5.8572,6.1102,5.98 ± 0.06
2006-2010,G20,Parkinson's Disease (PD),PD,RUCC,Thinly populated,1872,23771547,5.5589,0.1287,5.3099,5.8165,5.56 ± 0.13
2006-2010,G20,Parkinson's Disease (PD),PD,RUCC,National,101868,1519147926,6.5382,0.0205,6.4981,6.5785,6.54 ± 0.02
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,RUCC,Metropolitan urbanized,798048,1288964259,61.0426,0.0685,60.9087,61.1767,61.04 ± 0.07
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,RUCC,Non-metropolitan urbanized,69731,91640982,64.3617,0.2442,63.8848,64.8412,64.36 ± 0.24
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,RUCC,Less urbanized,88665,114771138,60.3115,0.203,59.9151,60.7098,60.31 ± 0.20
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,RUCC,Thinly populated,18545,23771547,54.1562,0.3985,53.3795,54.9413,54.16 ± 0.40
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,RUCC,National,974989,1519147926,61.0524,0.062,60.9313,61.1737,61.05 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),AD,RUCC,Metropolitan urbanized,313794,1288964259,23.9932,0.0429,23.9094,24.0773,23.99 ± 0.04
2006-2010,G30,Alzheimer's Disease (AD),AD,RUCC,Non-metropolitan urbanized,29856,91640982,27.5417,0.1597,27.2301,27.8559,27.54 ± 0.16
2006-2010,G30,Alzheimer's Disease (AD),AD,RUCC,Less urbanized,39723,114771138,27.0089,0.1357,26.744,27.2759,27.01 ± 0.14
2006-2010,G30,Alzheimer's Disease (AD),AD,RUCC,Thinly populated,8578,23771547,24.9995,0.2703,24.4732,25.5342,25.00 ± 0.27
2006-2010,G30,Alzheimer's Disease (AD),AD,RUCC,National,391951,1519147926,24.5352,0.0393,24.4585,24.6121,24.54 ± 0.04
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,RUCC,Metropolitan urbanized,688425,1288964259,52.5061,0.0634,52.3821,52.6302,52.51 ± 0.06
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,RUCC,Non-metropolitan urbanized,60242,91640982,55.4287,0.2263,54.987,55.8731,55.43 ± 0.23
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,RUCC,Less urbanized,77189,114771138,52.3593,0.1888,51.9905,52.73,52.36 ± 0.19
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,RUCC,Thinly populated,16082,23771547,46.8185,0.3698,46.0977,47.5478,46.82 ± 0.37
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,RUCC,National,841938,1519147926,52.5705,0.0574,52.4582,52.6829,52.57 ± 0.06
2006-2010,I00-I99,I00-I99,I00_I99,RUCC,Metropolitan urbanized,3219048,1288964264,244.7638,0.137,244.4965,245.0313,244.76 ± 0.14
2006-2010,I00-I99,I00-I99,I00_I99,RUCC,Non-metropolitan urbanized,291744,91640982,271.4475,0.5052,270.4634,272.4344,271.45 ± 0.51
2006-2010,I00-I99,I00-I99,I00_I99,RUCC,Less urbanized,410439,114771138,283.248,0.4451,282.3821,284.1159,283.25 ± 0.45
2006-2010,I00-I99,I00-I99,I00_I99,RUCC,Thinly populated,90456,23771541,269.3641,0.9036,267.6115,271.1252,269.36 ± 0.90
2006-2010,I00-I99,I00-I99,I00_I99,RUCC,National,4011687,1519147925,250.4666,0.1256,250.2216,250.7118,250.47 ± 0.13
2006-2010,I00_I99,I00_I99,CVD,RUCC,Metropolitan urbanized,3219048,1288964264,244.7638,0.137,244.4965,245.0313,244.76 ± 0.14
2006-2010,I00_I99,I00_I99,CVD,RUCC,Non-metropolitan urbanized,291744,91640982,271.4475,0.5052,270.4634,272.4344,271.45 ± 0.51
2006-2010,I00_I99,I00_I99,CVD,RUCC,Less urbanized,410439,114771138,283.248,0.4451,282.3821,284.1159,283.25 ± 0.45
2006-2010,I00_I99,I00_I99,CVD,RUCC,Thinly populated,90456,23771541,269.3641,0.9036,267.6115,271.1252,269.36 ± 0.90
2006-2010,I00_I99,I00_I99,CVD,RUCC,National,4011687,1519147925,250.4666,0.1256,250.2216,250.7118,250.47 ± 0.13
2006-2010,I10_I15,I10_I15,HD,RUCC,Metropolitan urbanized,252885,1288964259,19.0455,0.0381,18.9713,19.1199,19.05 ± 0.04
2006-2010,I10_I15,I10_I15,HD,RUCC,Non-metropolitan urbanized,18399,91640982,17.1022,0.1269,16.8559,17.3511,17.10 ± 0.13
2006-2010,I10_I15,I10_I15,HD,RUCC,Less urbanized,23893,114771138,16.5713,0.1081,16.3619,16.7828,16.57 ± 0.11
2006-2010,I10_I15,I10_I15,HD,RUCC,Thinly populated,4861,23771541,14.6117,0.2124,14.2038,15.0283,14.61 ± 0.21
2006-2010,I10_I15,I10_I15,HD,RUCC,National,300038,1519147920,18.6083,0.0341,18.5417,18.675,18.61 ± 0.03
2006-2010,I20_I25,I20_I25,IHD,RUCC,Metropolitan urbanized,1615352,1288964259,122.6382,0.0969,122.4492,122.8275,122.64 ± 0.10
2006-2010,I20_I25,I20_I25,IHD,RUCC,Non-metropolitan urbanized,142821,91640982,132.5436,0.3526,131.8571,133.2328,132.54 ± 0.35
2006-2010,I20_I25,I20_I25,IHD,RUCC,Less urbanized,199711,114771138,137.6498,0.3101,137.0468,138.2549,137.65 ± 0.31
2006-2010,I20_I25,I20_I25,IHD,RUCC,Thinly populated,43911,23771541,130.8134,0.6299,129.5927,132.0427,130.81 ± 0.63
2006-2010,I20_I25,I20_I25,IHD,RUCC,National,2001795,1519147920,124.7248,0.0885,124.5521,124.8977,124.72 ± 0.09
2006-2010,I50,I50,HF,RUCC,Metropolitan urbanized,219672,1288964259,16.7207,0.0358,16.6509,16.7908,16.72 ± 0.04
2006-2010,I50,I50,HF,RUCC,Non-metropolitan urbanized,22464,91640982,20.7215,0.1387,20.4514,20.9943,20.72 ± 0.14
2006-2010,I50,I50,HF,RUCC,Less urbanized,36565,114771138,24.8938,0.1306,24.6393,25.1503,24.89 ± 0.13
2006-2010,I50,I50,HF,RUCC,Thinly populated,9068,23771541,26.573,0.2802,26.0289,27.1257,26.57 ± 0.28
2006-2010,I50,I50,HF,RUCC,National,287769,1519147920,17.9445,0.0335,17.879,18.0102,17.94 ± 0.03
2006-2010,I60_I69,I60_I69,Stroke,RUCC,Metropolitan urbanized,528490,1288964259,40.4288,0.0558,40.3198,40.5379,40.43 ± 0.06
2006-2010,I60_I69,I60_I69,Stroke,RUCC,Non-metropolitan urbanized,50305,91640982,46.8881,0.21,46.4793,47.2997,46.89 ± 0.21
2006-2010,I60_I69,I60_I69,Stroke,RUCC,Less urbanized,70753,114771138,48.7493,0.1842,48.3908,49.1099,48.75 ± 0.18
2006-2010,I60_I69,I60_I69,Stroke,RUCC,Thinly populated,15484,23771541,45.9997,0.3723,45.2779,46.73,46.00 ± 0.37
2006-2010,I60_I69,I60_I69,Stroke,RUCC,National,665032,1519147920,41.7426,0.0514,41.6423,41.843,41.74 ± 0.05
2006-2010,X60_X69,X60_X69,NVS,RUCC,Metropolitan urbanized,27151,1288964259,2.0499,0.0125,2.0256,2.0744,2.05 ± 0.01
2006-2010,X60_X69,X60_X69,NVS,RUCC,Non-metropolitan urbanized,2080,91640982,2.2493,0.0503,2.1537,2.3481,2.25 ± 0.05
2006-2010,X60_X69,X60_X69,NVS,RUCC,Less urbanized,2145,114771138,1.8494,0.0409,1.7719,1.9293,1.85 ± 0.04
2006-2010,X60_X69,X60_X69,NVS,RUCC,Thinly populated,332,23771541,1.3024,0.0742,1.166,1.4503,1.30 ± 0.07
2006-2010,X60_X69,X60_X69,NVS,RUCC,National,31708,1519147920,2.0302,0.0115,2.008,2.0527,2.03 ± 0.01
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,RUCC,Metropolitan urbanized,144668,1288964259,11.0141,0.0291,10.9574,11.071,11.01 ± 0.03
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,RUCC,Non-metropolitan urbanized,12938,91640982,13.8688,0.1241,13.6309,14.1099,13.87 ± 0.12
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,RUCC,Less urbanized,15865,114771138,13.4145,0.1091,13.2066,13.6249,13.41 ± 0.11
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,RUCC,Thinly populated,2983,23771541,11.3313,0.2163,10.9283,11.7454,11.33 ± 0.22
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,RUCC,National,176454,1519147920,11.3741,0.0273,11.3211,11.4273,11.37 ± 0.03
2006-2010,X70_X84,X70_X84,VS,RUCC,Metropolitan urbanized,117206,1288964259,8.9405,0.0263,8.8894,8.9919,8.94 ± 0.03
2006-2010,X70_X84,X70_X84,VS,RUCC,Non-metropolitan urbanized,10838,91640982,11.599,0.1134,11.3817,11.8195,11.60 ± 0.11
2006-2010,X70_X84,X70_X84,VS,RUCC,Less urbanized,13692,114771138,11.5408,0.1011,11.3482,11.7357,11.54 ± 0.10
2006-2010,X70_X84,X70_X84,VS,RUCC,Thinly populated,2649,23771541,10.0227,0.2032,9.6446,10.4117,10.02 ± 0.20
2006-2010,X70_X84,X70_X84,VS,RUCC,National,144385,1519147920,9.3206,0.0247,9.2726,9.3688,9.32 ± 0.02
2006-2010,Y87.0,Y87.0,SI,RUCC,Metropolitan urbanized,311,1288964259,0.0237,0.0013,0.0211,0.0264,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,RUCC,Non-metropolitan urbanized,20,91640982,0.0205,0.0047,0.0125,0.0317,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,RUCC,Less urbanized,28,114771138,0.0244,0.0047,0.0162,0.0352,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,RUCC,Thinly populated,2,23771541,0.0063,0.0045,0.0008,0.0228,0.01 ± 0.00
2006-2010,Y87.0,Y87.0,SI,RUCC,National,361,1519147920,0.0232,0.0012,0.0209,0.0258,0.02 ± 0.00
2011-2015,C00_C97,All-site Cancer,Cancer,RUCC,Metropolitan urbanized,2383759,1350766445,160.4857,0.1052,160.2821,160.6896,160.49 ± 0.11
2011-2015,C00_C97,All-site Cancer,Cancer,RUCC,Non-metropolitan urbanized,204708,92864210,175.5012,0.3937,174.7417,176.2631,175.50 ± 0.39
2011-2015,C00_C97,All-site Cancer,Cancer,RUCC,Less urbanized,277719,114653464,179.4879,0.3462,178.8209,180.1567,179.49 ± 0.35
2011-2015,C00_C97,All-site Cancer,Cancer,RUCC,Thinly populated,60571,23581363,169.8999,0.7036,168.5496,171.2584,169.90 ± 0.70
2011-2015,C00_C97,All-site Cancer,Cancer,RUCC,National,2926757,1581865482,163.2308,0.0966,163.0438,163.4179,163.23 ± 0.10
2011-2015,C18_C21,Colorectal Cancer,Colorectal,RUCC,Metropolitan urbanized,211222,1350766445,14.2139,0.0313,14.1533,14.2746,14.21 ± 0.03
2011-2015,C18_C21,Colorectal Cancer,Colorectal,RUCC,Non-metropolitan urbanized,18587,92864210,16.0942,0.12,15.8636,16.3273,16.09 ± 0.12
2011-2015,C18_C21,Colorectal Cancer,Colorectal,RUCC,Less urbanized,26156,114653464,17.0671,0.1075,16.8609,17.2752,17.07 ± 0.11
2011-2015,C18_C21,Colorectal Cancer,Colorectal,RUCC,Thinly populated,5683,23581363,16.0897,0.2181,15.6741,16.5136,16.09 ± 0.22
2011-2015,C18_C21,Colorectal Cancer,Colorectal,RUCC,National,261648,1581865482,14.6139,0.0289,14.558,14.67,14.61 ± 0.03
2011-2015,C22,Liver Cancer,Liver,RUCC,Metropolitan urbanized,100380,1350766445,6.5395,0.0209,6.4991,6.58,6.54 ± 0.02
2011-2015,C22,Liver Cancer,Liver,RUCC,Non-metropolitan urbanized,7246,92864210,6.0579,0.0723,5.9192,6.1991,6.06 ± 0.07
2011-2015,C22,Liver Cancer,Liver,RUCC,Less urbanized,9437,114653464,6.0034,0.0628,5.8828,6.1257,6.00 ± 0.06
2011-2015,C22,Liver Cancer,Liver,RUCC,Thinly populated,1858,23581363,5.1795,0.1225,4.9467,5.4205,5.18 ± 0.12
2011-2015,C22,Liver Cancer,Liver,RUCC,National,118921,1581865482,6.4322,0.0189,6.3957,6.4688,6.43 ± 0.02
2011-2015,C25,Pancreatic Cancer,Pancreatic,RUCC,Metropolitan urbanized,162972,1350766445,10.9177,0.0274,10.8648,10.9709,10.92 ± 0.03
2011-2015,C25,Pancreatic Cancer,Pancreatic,RUCC,Non-metropolitan urbanized,12901,92864210,10.935,0.0975,10.7471,11.1254,10.94 ± 0.10
2011-2015,C25,Pancreatic Cancer,Pancreatic,RUCC,Less urbanized,17292,114653464,11.0738,0.0854,10.9094,11.2401,11.07 ± 0.09
2011-2015,C25,Pancreatic Cancer,Pancreatic,RUCC,Thinly populated,3826,23581363,10.6532,0.175,10.3182,10.9962,10.65 ± 0.18
2011-2015,C25,Pancreatic Cancer,Pancreatic,RUCC,National,196991,1581865482,10.9177,0.0249,10.8695,10.966,10.92 ± 0.02
2011-2015,C34,Lung Cancer,Lung,RUCC,Metropolitan urbanized,619799,1350766445,41.6522,0.0535,41.5485,41.756,41.65 ± 0.05
2011-2015,C34,Lung Cancer,Lung,RUCC,Non-metropolitan urbanized,58866,92864210,49.7936,0.2078,49.3922,50.1975,49.79 ± 0.21
2011-2015,C34,Lung Cancer,Lung,RUCC,Less urbanized,82247,114653464,52.295,0.1847,51.9382,52.6536,52.29 ± 0.18
2011-2015,C34,Lung Cancer,Lung,RUCC,Thinly populated,18348,23581363,50.703,0.3797,49.972,51.442,50.70 ± 0.38
2011-2015,C34,Lung Cancer,Lung,RUCC,National,779260,1581865482,43.2507,0.0496,43.1548,43.3469,43.25 ± 0.05
2011-2015,C50,Breast Cancer,Breast,RUCC,Metropolitan urbanized,173422,1350766445,11.6393,0.0283,11.5846,11.6942,11.64 ± 0.03
2011-2015,C50,Breast Cancer,Breast,RUCC,Non-metropolitan urbanized,13313,92864210,11.5987,0.1026,11.4025,11.7974,11.60 ± 0.10
2011-2015,C50,Breast Cancer,Breast,RUCC,Less urbanized,17308,114653464,11.4729,0.0894,11.3026,11.6451,11.47 ± 0.09
2011-2015,C50,Breast Cancer,Breast,RUCC,Thinly populated,3574,23581363,10.3029,0.1775,9.9679,10.6464,10.30 ± 0.18
2011-2015,C50,Breast Cancer,Breast,RUCC,National,207617,1581865482,11.5995,0.0258,11.5497,11.6495,11.60 ± 0.03
2011-2015,C56,Ovary Cancer,Ovarian,RUCC,Metropolitan urbanized,59120,1350766445,3.9652,0.0165,3.9333,3.9973,3.97 ± 0.02
2011-2015,C56,Ovary Cancer,Ovarian,RUCC,Non-metropolitan urbanized,4693,92864210,4.0401,0.0599,3.9253,4.1574,4.04 ± 0.06
2011-2015,C56,Ovary Cancer,Ovarian,RUCC,Less urbanized,5920,114653464,3.855,0.051,3.7574,3.9545,3.86 ± 0.05
2011-2015,C56,Ovary Cancer,Ovarian,RUCC,Thinly populated,1334,23581363,3.8089,0.1067,3.6072,4.0189,3.81 ± 0.11
