Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
ALS,"7,832 (0.02‰)",1.81 ± 0.02,"9,012 (0.02‰)",1.88 ± 0.02,"8,745 (0.02‰)",1.62 ± 0.02,"7,317 (0.02‰)",1.90 ± 0.02
HD,"1,064 (0.00‰)",0.24 ± 0.01,"1,189 (0.00‰)",0.24 ± 0.01,"1,353 (0.00‰)",0.26 ± 0.01,"1,065 (0.00‰)",0.30 ± 0.01
Land Use Cluster (Unclassified),,,,,,,,
NDD,59 (0.28‰),37.12 ± 4.86,54 (0.31‰),45.50 ± 6.22,24 (0.21‰),56.01 ± 11.69,18 (0.00‰),0.00 ± 0.00
Dementia,50 (0.24‰),31.16 ± 4.43,47 (0.27‰),40.05 ± 5.86,21 (0.19‰),51.13 ± 11.31,17 (0.00‰),0.00 ± 0.00
PD,9 (0.04‰),5.96 ± 2.00,3 (0.02‰),2.31 ± 1.35,3 (0.03‰),4.88 ± 2.93,1 (0.00‰),0.00 ± 0.00
HD,0 (0.00‰),0.00 ± 0.00,1 (0.01‰),0.89 ± 0.89,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00
ALS,0 (0.00‰),0.00 ± 0.00,3 (0.02‰),2.26 ± 1.32,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00
County Economic Typology (Farming),,,,,,,,
NDD,"14,397 (0.69‰)",54.33 ± 0.45,"18,011 (0.85‰)",64.28 ± 0.48,"20,202 (0.95‰)",68.13 ± 0.48,"16,150 (0.95‰)",71.63 ± 0.57
Dementia,"12,376 (0.60‰)",46.33 ± 0.42,"15,788 (0.75‰)",55.93 ± 0.45,"17,480 (0.82‰)",58.55 ± 0.45,"13,748 (0.81‰)",60.56 ± 0.52
PD,"1,513 (0.07‰)",5.91 ± 0.15,"1,694 (0.08‰)",6.29 ± 0.15,"2,205 (0.10‰)",7.68 ± 0.16,"1,992 (0.12‰)",8.87 ± 0.20
ALS,438 (0.02‰),1.80 ± 0.09,446 (0.02‰),1.71 ± 0.08,428 (0.02‰),1.56 ± 0.08,334 (0.02‰),1.72 ± 0.10
HD,70 (0.00‰),0.29 ± 0.04,83 (0.00‰),0.34 ± 0.04,89 (0.00‰),0.35 ± 0.04,76 (0.00‰),0.48 ± 0.06
County Economic Typology (Mining),,,,,,,,
NDD,"9,632 (0.66‰)",65.11 ± 0.66,"12,371 (0.83‰)",76.67 ± 0.69,"13,812 (0.94‰)",78.04 ± 0.67,"11,220 (0.97‰)",80.97 ± 0.77
Dementia,"8,382 (0.57‰)",56.92 ± 0.62,"10,900 (0.73‰)",67.73 ± 0.65,"11,981 (0.81‰)",67.87 ± 0.62,"9,485 (0.82‰)",68.41 ± 0.71
PD,926 (0.06‰),6.18 ± 0.20,"1,089 (0.07‰)",6.75 ± 0.21,"1,464 (0.10‰)",8.25 ± 0.22,"1,409 (0.12‰)",9.90 ± 0.27
ALS,277 (0.02‰),1.71 ± 0.10,341 (0.02‰),1.94 ± 0.11,307 (0.02‰),1.59 ± 0.09,276 (0.02‰),2.16 ± 0.14
HD,47 (0.00‰),0.30 ± 0.04,41 (0.00‰),0.24 ± 0.04,60 (0.00‰),0.33 ± 0.04,50 (0.00‰),0.50 ± 0.07
County Economic Typology (Manufacturing),,,,,,,,
NDD,"219,778 (0.75‰)",66.48 ± 0.14,"287,321 (0.96‰)",78.80 ± 0.15,"322,099 (1.06‰)",81.17 ± 0.14,"246,750 (1.01‰)",79.10 ± 0.16
Dementia,"190,112 (0.65‰)",57.35 ± 0.13,"251,665 (0.84‰)",68.76 ± 0.14,"277,167 (0.91‰)",69.70 ± 0.13,"205,824 (0.84‰)",65.88 ± 0.15
PD,"21,765 (0.07‰)",6.73 ± 0.05,"26,542 (0.09‰)",7.52 ± 0.05,"36,041 (0.12‰)",9.24 ± 0.05,"33,363 (0.14‰)",10.47 ± 0.06
ALS,"6,842 (0.02‰)",2.07 ± 0.03,"7,836 (0.03‰)",2.15 ± 0.02,"7,455 (0.02‰)",1.85 ± 0.02,"6,353 (0.03‰)",2.25 ± 0.03
HD,"1,059 (0.00‰)",0.32 ± 0.01,"1,278 (0.00‰)",0.37 ± 0.01,"1,436 (0.00‰)",0.39 ± 0.01,"1,210 (0.00‰)",0.50 ± 0.01
County Economic Typology (Government),,,,,,,,
NDD,"106,391 (0.60‰)",65.50 ± 0.20,"140,005 (0.75‰)",75.06 ± 0.20,"154,301 (0.80‰)",73.12 ± 0.19,"125,091 (0.80‰)",72.21 ± 0.21
Dementia,"91,532 (0.52‰)",56.43 ± 0.19,"122,216 (0.66‰)",65.45 ± 0.19,"131,363 (0.68‰)",62.25 ± 0.17,"103,776 (0.66‰)",59.89 ± 0.19
