ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
"I20_I25","2000_2005","2021_2024",20,"EQI_Land+SM+PA+OB","0.00","-1.36(-4.77,2.10)","-0.45(-3.95,3.09)","0.01(-3.69,3.98)","2.94(-1.14,7.19)","0.4231","0.8120","0.9815","0.1717","1.0017","1.0016","1.0024","1.0016",3235,2483,1964,1970,3028,3171,2253,2656,"4.33(3.83,4.82)","0.0002","1.0002",2689,2500,"-0.73(-0.92,-0.54)","0.0002","1.0024",1952,2292,"1.17(0.77,1.59)","0.0002","1.0000",2828,3002
"I20_I25","2000_2005","2021_2024",20,"EQI_Built+SM+PA+OB","0.00","3.36(-0.13,6.76)","6.10(2.63,9.44)","7.86(4.22,11.32)","7.90(4.13,11.63)","0.0577","0.0002","0.0002","0.0002","1.0001","1.0006","1.0015","1.0026",3226,2718,2613,2454,2935,3063,2837,2802,"4.33(3.83,4.82)","0.0002","1.0002",2689,2500,"-0.73(-0.92,-0.54)","0.0002","1.0024",1952,2292,"1.17(0.77,1.59)","0.0002","1.0000",2828,3002
"I20_I25","2000_2005","2021_2024",20,"EQI_Social+SM+PA+OB","0.00","-0.31(-3.64,3.08)","-5.45(-8.98,-1.72)","-9.37(-13.31,-5.31)","-11.68(-16.11,-7.04)","0.8515","0.0082","0.0002","0.0002","1.0005","0.9998","1.0010","1.0012",3206,2487,2228,1972,2696,2452,2498,2302,"4.33(3.83,4.82)","0.0002","1.0002",2689,2500,"-0.73(-0.92,-0.54)","0.0002","1.0024",1952,2292,"1.17(0.77,1.59)","0.0002","1.0000",2828,3002
"I20_I25","2006_2010","2011_2015",5,"EQI+SM+PA+OB","0.00","2.14(-0.92,5.20)","1.22(-2.02,4.38)","-0.12(-3.36,3.27)","-2.22(-5.68,1.38)","0.1762","0.4691","0.9490","0.1992","1.0012","1.0012","1.0010","1.0015",2055,2032,2036,1768,2718,2611,2515,2596,"3.41(3.03,3.81)","0.0002","1.0008",2831,2733,"-0.50(-0.63,-0.36)","0.0002","1.0017",2146,2340,"1.30(0.99,1.61)","0.0002","1.0021",2657,2490
"I20_I25","2006_2010","2011_2015",5,"EQI_Air+SM+PA+OB","0.00","1.78(-1.40,4.90)","3.36(0.16,6.57)","3.45(0.13,6.89)","4.07(0.47,7.72)","0.2597","0.0407","0.0427","0.0257","1.0002","0.9999","1.0007","0.9998",3272,2950,2778,2598,3130,3182,3007,2809,"3.57(3.17,3.98)","0.0002","1.0002",3615,3109,"-0.54(-0.70,-0.39)","0.0002","1.0003",2478,2772,"1.23(0.88,1.57)","0.0002","1.0008",2577,2618
"I20_I25","2006_2010","2011_2015",5,"EQI_Water+SM+PA+OB","0.00","-3.29(-6.62,0.11)","0.31(-3.26,3.88)","0.75(-2.79,4.25)","2.63(-1.06,6.38)","0.0572","0.8525","0.6666","0.1752","1.0015","1.0022","1.0020","1.0013",2825,2735,2655,2897,3368,2958,3043,2660,"3.57(3.17,3.98)","0.0002","1.0002",3615,3109,"-0.54(-0.70,-0.39)","0.0002","1.0003",2478,2772,"1.23(0.88,1.57)","0.0002","1.0008",2577,2618
"I20_I25","2006_2010","2011_2015",5,"EQI_Land+SM+PA+OB","0.00","1.76(-1.15,4.76)","2.94(0.01,6.00)","3.02(0.02,6.16)","5.17(1.84,8.51)","0.2567","0.0482","0.0482","0.0022","1.0002","1.0004","1.0006","1.0016",3946,3641,3049,3179,3218,2719,3106,3333,"3.57(3.17,3.98)","0.0002","1.0002",3615,3109,"-0.54(-0.70,-0.39)","0.0002","1.0003",2478,2772,"1.23(0.88,1.57)","0.0002","1.0008",2577,2618
"I20_I25","2006_2010","2011_2015",5,"EQI_Built+SM+PA+OB","0.00","1.41(-1.44,4.33)","-0.21(-3.18,2.79)","-1.97(-5.09,1.02)","-6.60(-9.79,-3.32)","0.3442","0.8940","0.2097","0.0002","1.0003","1.0002","1.0011","1.0016",3189,3365,2949,3071,3049,3168,3160,3099,"3.57(3.17,3.98)","0.0002","1.0002",3615,3109,"-0.54(-0.70,-0.39)","0.0002","1.0003",2478,2772,"1.23(0.88,1.57)","0.0002","1.0008",2577,2618
"I20_I25","2006_2010","2011_2015",5,"EQI_Social+SM+PA+OB","0.00","-3.23(-6.15,-0.32)","-0.05(-3.28,3.15)","-0.40(-3.93,3.08)","-0.59(-4.60,3.30)","0.0297","0.9870","0.8155","0.7851","1.0008","1.0007","1.0005","1.0005",3027,2507,2330,2298,2948,3131,2915,2817,"3.57(3.17,3.98)","0.0002","1.0002",3615,3109,"-0.54(-0.70,-0.39)","0.0002","1.0003",2478,2772,"1.23(0.88,1.57)","0.0002","1.0008",2577,2618
"I20_I25","2006_2010","2016_2020",10,"EQI+SM+PA+OB","0.00","2.27(-0.71,5.35)","-0.46(-3.63,2.74)","-2.18(-5.59,1.05)","-5.69(-9.23,-2.33)","0.1362","0.7661","0.2017","0.0022","1.0035","1.0012","1.0007","1.0010",2451,2058,1986,2016,2754,2489,2785,2654,"3.22(2.83,3.60)","0.0002","1.0020",2438,2309,"-0.43(-0.56,-0.31)","0.0002","1.0003",2183,2739,"1.20(0.89,1.52)","0.0002","1.0013",2341,2569
"I20_I25","2006_2010","2016_2020",10,"EQI_Air+SM+PA+OB","0.00","-0.82(-3.93,2.24)","2.54(-0.73,5.69)","2.12(-1.24,5.43)","1.66(-1.86,5.08)","0.6066","0.1142","0.2122","0.3457","1.0017","1.0008","1.0012","1.0007",3022,2635,2222,2276,3240,3023,2967,2909,"3.43(3.05,3.82)","0.0002","1.0006",3453,3023,"-0.50(-0.65,-0.35)","0.0002","1.0020",2207,2846,"1.20(0.86,1.55)","0.0002","1.0013",2570,2665
"I20_I25","2006_2010","2016_2020",10,"EQI_Water+SM+PA+OB","0.00","-2.95(-6.45,0.57)","-0.14(-3.63,3.40)","0.47(-3.14,4.02)","1.55(-2.14,5.19)","0.0957","0.9225","0.7896","0.4126","0.9995","0.9998","1.0010","1.0016",2987,2264,2288,2265,2824,2836,2900,2848,"3.43(3.05,3.82)","0.0002","1.0006",3453,3023,"-0.50(-0.65,-0.35)","0.0002","1.0020",2207,2846,"1.20(0.86,1.55)","0.0002","1.0013",2570,2665
"I20_I25","2006_2010","2016_2020",10,"EQI_Land+SM+PA+OB","0.00","2.47(-0.37,5.29)","3.06(0.14,5.99)","3.53(0.44,6.63)","5.00(1.81,8.27)","0.0887","0.0417","0.0227","0.0037","0.9996","1.0007","1.0005","1.0000",3312,3230,3223,3291,3187,2897,3169,3443,"3.43(3.05,3.82)","0.0002","1.0006",3453,3023,"-0.50(-0.65,-0.35)","0.0002","1.0020",2207,2846,"1.20(0.86,1.55)","0.0002","1.0013",2570,2665
"I20_I25","2006_2010","2016_2020",10,"EQI_Built+SM+PA+OB","0.00","-0.68(-3.64,2.27)","-3.49(-6.61,-0.20)","-4.96(-8.14,-1.73)","-9.92(-13.16,-6.60)","0.6671","0.0357","0.0037","0.0002","1.0028","1.0024","1.0018","1.0032",2615,2447,2434,2533,3189,2561,2813,2206,"3.43(3.05,3.82)","0.0002","1.0006",3453,3023,"-0.50(-0.65,-0.35)","0.0002","1.0020",2207,2846,"1.20(0.86,1.55)","0.0002","1.0013",2570,2665
"I20_I25","2006_2010","2016_2020",10,"EQI_Social+SM+PA+OB","0.00","-3.22(-6.12,-0.26)","-0.29(-3.48,2.96)","-0.74(-4.43,2.91)","-2.23(-6.31,1.76)","0.0332","0.8675","0.6861","0.2887","1.0020","1.0022","1.0042","1.0036",2825,2206,2117,2212,3070,2886,2655,3212,"3.43(3.05,3.82)","0.0002","1.0006",3453,3023,"-0.50(-0.65,-0.35)","0.0002","1.0020",2207,2846,"1.20(0.86,1.55)","0.0002","1.0013",2570,2665
"I20_I25","2006_2010","2021_2024",15,"EQI+SM+PA+OB","0.00","2.03(-1.54,5.59)","2.39(-1.21,6.00)","-1.60(-5.36,2.09)","-7.70(-11.72,-3.89)","0.2502","0.2117","0.4136","0.0002","1.0001","1.0005","1.0006","1.0010",2384,2284,2090,2041,2914,2736,2689,2659,"3.93(3.48,4.39)","0.0002","1.0006",2458,2710,"-0.69(-0.83,-0.54)","0.0002","1.0002",2578,2772,"1.48(1.12,1.83)","0.0002","1.0014",2337,2464
"I20_I25","2006_2010","2021_2024",15,"EQI_Air+SM+PA+OB","0.00","-0.62(-4.28,2.80)","2.09(-1.71,5.85)","2.11(-1.68,5.83)","2.11(-1.88,6.13)","0.7396","0.2682","0.2667","0.3002","1.0002","1.0004","1.0002","1.0003",3116,2995,2756,2980,3276,3164,2883,3344,"4.13(3.65,4.58)","0.0002","1.0014",3262,2948,"-0.73(-0.89,-0.56)","0.0002","1.0012",2068,2632,"1.38(0.98,1.78)","0.0002","1.0006",2736,2947
"I20_I25","2006_2010","2021_2024",15,"EQI_Water+SM+PA+OB","0.00","-5.76(-9.65,-1.78)","1.09(-2.82,5.18)","0.23(-3.78,4.19)","2.49(-1.58,6.65)","0.0047","0.5866","0.9075","0.2402","1.0012","1.0005","1.0000","1.0003",3022,2531,2468,2527,2828,2885,2774,2819,"4.13(3.65,4.58)","0.0002","1.0014",3262,2948,"-0.73(-0.89,-0.56)","0.0002","1.0012",2068,2632,"1.38(0.98,1.78)","0.0002","1.0006",2736,2947
"I20_I25","2006_2010","2021_2024",15,"EQI_Land+SM+PA+OB","0.00","1.27(-2.04,4.48)","2.07(-1.16,5.39)","3.35(-0.11,6.91)","5.15(1.38,8.69)","0.4536","0.2292","0.0592","0.0087","1.0003","1.0011","1.0004","1.0009",3228,2843,3021,2990,3213,2995,3053,2579,"4.13(3.65,4.58)","0.0002","1.0014",3262,2948,"-0.73(-0.89,-0.56)","0.0002","1.0012",2068,2632,"1.38(0.98,1.78)","0.0002","1.0006",2736,2947
"I20_I25","2006_2010","2021_2024",15,"EQI_Built+SM+PA+OB","0.00","1.13(-2.23,4.53)","-1.92(-5.54,1.62)","-4.49(-8.03,-0.69)","-11.30(-15.04,-7.64)","0.5171","0.2867","0.0202","0.0002","1.0002","1.0015","1.0002","1.0002",3594,3278,3272,3207,3140,3110,3088,3249,"4.13(3.65,4.58)","0.0002","1.0014",3262,2948,"-0.73(-0.89,-0.56)","0.0002","1.0012",2068,2632,"1.38(0.98,1.78)","0.0002","1.0006",2736,2947
"I20_I25","2006_2010","2021_2024",15,"EQI_Social+SM+PA+OB","0.00","-2.72(-6.18,0.72)","2.80(-0.88,6.52)","1.30(-2.96,5.33)","-0.33(-4.96,4.06)","0.1222","0.1497","0.5146","0.8965","1.0003","1.0007","1.0009","1.0020",3016,2584,2224,2321,3124,2963,2907,2893,"4.13(3.65,4.58)","0.0002","1.0014",3262,2948,"-0.73(-0.89,-0.56)","0.0002","1.0012",2068,2632,"1.38(0.98,1.78)","0.0002","1.0006",2736,2947
