COUNTY_FIPS,RUCC,EQI_Air,EQI_Water,EQI_Land,EQI_Built,EQI_Social,Cluster
05099,3,-0.8771,0.8463,-1.1551,-0.7374,-1.0409,0
05101,4,-1.6242,0.1158,-0.6637,-1.2229,-0.8894,0
05103,3,0.1078,0.0548,-2.0183,0.3129,-0.5378,0
05105,1,-0.845,0.0571,-0.3566,-0.9585,-0.2916,0
05107,3,-0.0256,0.8753,0.6928,0.4191,-1.9675,2
05109,4,-1.2285,0.8428,-1.0255,0.0776,-0.8149,2
05111,1,-0.0427,0.8733,0.5686,-0.4095,-1.0953,0
05113,3,-0.9014,0.062,-0.5111,0.4254,-0.8249,0
05115,2,-0.3083,-0.031,-0.0735,0.2809,-0.2358,0
05117,4,-0.8598,0.8885,-0.033,-0.8158,-0.566,2
05119,1,0.8265,0.078,0.1397,1.214,0.2766,2
05121,3,-0.6167,0.8757,0.0214,-0.7566,-0.7296,0
05123,3,0.0992,-1.5406,0.5466,0.3846,-1.3343,1
05125,1,0.378,-0.0179,-0.6096,-0.2635,0.8139,0
05127,3,-0.817,-0.0819,-0.3125,-0.8839,-0.891,0
05129,4,-1.5959,-0.0073,-0.2877,-0.3755,-1.2078,0
05131,1,0.7106,0.071,-0.0705,1.1664,-0.0872,2
05133,3,-0.2186,0.8427,-0.5795,0.0274,-0.9031,0
05135,3,-0.5082,0.8466,-0.6286,0.1942,-0.9821,0
05137,4,-0.9986,0.0804,-0.7561,-0.2621,-1.0017,2
05139,2,1.1114,0.8615,-1.5949,0.527,-0.7223,0
05141,4,-1.3013,0.0652,-0.7386,-0.293,-0.8201,2
05143,1,0.745,-0.2928,0.0492,0.7978,-0.1905,1
05145,2,-0.0984,0.893,-0.2961,0.3282,-0.514,0
05147,4,-1.0779,-0.3709,0.2596,-0.2446,-1.5576,1
05149,3,-0.9328,0.0663,0.0975,-0.7548,-0.8015,0
06001,1,1.2488,1.2726,1.1076,1.1973,1.2716,2
06003,4,-1.2538,0.2371,0.7463,1.6288,-0.4651,2
06005,3,-0.5078,1.2281,1.1416,0.5978,0.7078,2
06007,1,0.1388,0.8614,1.0383,0.9192,-0.3758,2
06009,3,-0.6783,0.9406,0.6265,0.0311,0.4919,2
06011,3,-0.6509,0.0775,1.1736,-0.0892,-1.0185,2
06013,1,0.7766,1.2805,0.9595,0.9104,2.0122,2
06015,3,-0.1061,0.0725,0.6538,0.7072,-0.9915,2
06017,1,0.2189,1.2815,1.0272,0.9125,1.2973,2
06019,1,0.7954,1.3542,1.2514,0.3016,-1.1644,2
06021,3,-0.2505,0.0415,0.9527,-0.6262,-0.7853,2
06023,2,-0.0681,0.1703,0.7486,0.9483,-0.4284,2
06025,1,0.4573,1.2416,0.4373,-0.149,-1.858,0
06027,3,-0.6708,1.301,0.6372,1.4106,0.0255,2
06029,1,0.9999,1.4248,1.1516,0.2174,-1.0778,2
06031,1,0.4992,1.285,1.0549,-0.2828,-0.9841,0
06033,2,-0.3252,1.2729,1.1386,0.3937,-0.9896,0
06035,3,-1.232,0.2459,0.912,-0.5727,-0.4229,0
06037,1,2.2634,1.4782,1.326,0.9283,-0.5168,2
06039,1,0.2537,0.867,0.9569,-0.0583,-1.0535,0
06041,1,0.4148,1.2104,0.8112,1.9287,3.1862,2
06043,4,-1.1214,0.4722,0.5141,0.6304,-0.5186,2
06045,2,-0.1811,1.068,0.6751,0.546,-0.1565,2
06047,1,0.4323,1.3519,0.9934,-0.0331,-1.2795,0
06049,3,-1.5567,0.159,0.9147,0.2337,-1.1645,0
06051,3,-1.2873,1.1516,0.5534,1.6252,0.2511,2
06053,1,0.4248,1.315,1.015,0.8358,0.0914,2
06055,1,0.3647,1.3041,1.2187,1.2872,1.2525,2
06057,2,0.1054,1.3062,0.822,0.9909,1.2149,2
06059,1,1.9873,1.3284,0.7701,1.0222,1.2683,2
06061,1,0.7404,1.3183,0.9582,0.8396,1.9115,2
06063,3,-1.242,0.0934,0.8626,1.0402,-0.1799,2
06065,1,1.098,1.3543,0.8785,0.3167,0.0654,2
06067,1,1.038,1.2982,1.0209,0.7553,0.4087,2
06069,1,0.1984,1.1952,1.098,-0.0584,1.2153,2
06071,1,1.3421,1.3645,0.8859,0.1699,-0.1584,2
06073,1,1.0909,1.3333,0.8442,0.8639,0.6564,2
06075,1,1.3613,1.2453,0.9586,1.9723,1.0056,2
06077,1,0.889,1.2282,1.1953,0.3532,-0.3377,2
06079,1,0.282,1.2884,0.8209,1.0467,0.7028,2
06081,1,0.9876,1.2734,0.9515,1.1095,2.6711,2
06083,1,0.7755,1.2561,0.9223,1.1365,0.6839,2
06085,1,1.0903,1.3273,1.0152,0.7993,2.4403,2
06087,1,0.6009,1.3073,0.6325,1.3682,1.3115,2
06089,1,0.192,0.4637,0.9787,0.913,-0.108,2
06091,4,-1.4453,0.2075,0.7139,0.1263,-0.1202,2
06093,3,-0.5206,0.1156,0.9925,0.8732,-0.5973,2
06095,1,0.5753,1.2707,0.9706,0.3871,1.2732,2
06097,1,0.6011,1.2932,0.7847,1.1584,1.4969,2
06099,1,0.7607,1.3317,1.0409,0.3277,-0.4583,2
06101,1,0.5522,0.131,1.0684,0.545,-0.2719,2
06103,2,-0.2979,0.0845,0.9249,-0.0317,-0.6523,0
06105,4,-1.8576,0.1282,0.6068,-0.1473,-1.3567,2
06107,1,0.7551,1.2925,1.1103,-0.0898,-1.5044,0
06109,2,-0.4422,0.9466,0.6359,0.718,0.3756,2
06111,1,1.1368,1.2376,0.9621,0.6983,1.499,2
06113,1,0.8723,1.2948,1.123,1.1286,0.036,2
06115,1,0.0854,0.5627,0.9342,0.141,-1.0361,0
08001,1,0.983,0.8949,0.7866,0.0575,1.1075,2
08003,3,-1.2412,0.6944,1.0868,0.8242,-0.709,2
08005,1,0.6892,0.9595,0.6334,0.6639,1.9464,2
08007,3,-1.4355,-1.1896,0.2984,0.7499,0.1787,1
08009,4,-2.819,0.9483,0.4096,-1.022,-0.5226,0
08011,3,-2.4153,0.8569,0.3321,0.1815,-0.5979,0
08013,1,0.6664,0.905,1.4702,1.1113,1.9467,2
08015,3,-1.3412,0.9072,0.7961,1.396,0.3439,2
08017,4,-2.6459,0.9109,0.397,-1.5729,0.4322,2
08019,1,-0.6279,0.8675,0.9027,0.933,1.7267,2
08021,4,-2.1696,0.9329,0.817,-1.2141,-1.3037,0
08023,4,-2.4651,0.8661,0.8572,-0.9635,-2.5872,0
08025,4,-2.2885,-1.0778,0.7427,-2.3284,-0.7133,0
08027,4,-2.0103,-1.1713,0.6321,-0.3857,-0.0829,1
08029,3,-1.3154,0.9261,1.018,0.5122,0.0664,2
08031,1,1.1279,0.5475,0.5733,1.3977,0.1915,2
08033,4,-2.5669,-1.1353,0.3358,-1.1135,-0.8535,0
08035,1,0.0665,0.9429,0.6902,0.1063,3.9795,2
08037,2,-1.5529,0.8927,0.4902,2.016,2.1651,2
08039,1,-1.221,0.8928,0.3879,-0.5482,2.6418,2
08041,1,0.05,1.0094,0.3409,0.4298,1.3968,2
08043,2,-0.802,0.8408,0.8875,0.2046,0.2326,2
08045,2,-1.0551,0.9103,0.6444,1.5242,1.2673,2
08047,1,-0.7714,-0.0789,0.4129,-0.8649,1.4736,0
08049,4,-1.6883,0.9077,0.7054,1.7792,0.7679,2
08051,3,-1.3749,0.8822,0.8016,1.4972,0.1539,2
08053,4,-2.7717,-1.1702,1.1351,1.3789,0.0713,1
08055,3,-1.6873,0.9121,0.5184,1.112,-1.177,2
08057,4,-2.2991,0.3163,0.7209,0.2671,-0.4519,2
08059,1,0.7943,0.9466,0.6275,0.8025,2.3725,2
08061,4,-2.8071,0.8513,0.5186,-2.4972,0.0115,0
08063,3,-2.3453,0.9952,0.4998,0.4785,0.2909,2
08065,3,-1.4949,0.9312,0.6574,0.558,0.0368,2
08067,3,-0.3851,0.9633,0.4766,1.8295,0.6872,2
08069,1,-0.2066,0.9704,0.8187,0.9804,1.4613,2
08071,3,-1.0805,-0.409,0.3812,0.4418,-0.6288,1
08073,4,-2.4052,0.8158,0.4655,0.2207,0.1972,2
08075,3,-1.0482,1.0858,0.4596,0.4197,0.2477,2
08077,1,-0.2947,0.9446,0.3333,0.7947,0.4657,2
08079,4,-2.7317,-1.2155,0.3538,-0.5679,-0.1821,1
08081,3,-0.9763,0.8775,0.3057,0.9956,0.5786,2
08083,3,-0.975,0.905,0.1959,0.748,-0.3021,2
08085,3,-0.9878,-1.0913,0.3402,0.3975,0.2482,1
08087,3,-0.8047,-1.1415,0.524,0.0964,-0.0257,1
