ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
"C30_C39","2006_2010","2011_2015",5,"Air_Disadvantaged","6.44(3.60,9.19)***","0.000","0.00","2.76(0.69,4.88)**","4.49(2.31,6.72)***","4.99(2.73,7.18)***","7.17(4.55,9.82)***"
"C30_C39","2006_2010","2011_2015",5,"Built_Unbalanced","-0.80(-3.58,1.98)","0.565","0.00","-0.14(-2.35,2.04)","0.46(-1.94,2.81)","0.41(-1.89,2.72)","-0.12(-2.60,2.31)"
"C30_C39","2006_2010","2011_2015",5,"Built_Disadvantaged","-1.44(-4.33,1.37)","0.323","0.00","2.74(-0.30,5.82)","1.19(-1.69,3.96)","1.86(-0.92,4.62)","-0.75(-3.38,1.88)"
"C30_C39","2006_2010","2011_2015",5,"Water_Unbalanced","0.07(-9.53,9.81)","0.987","0.00","-0.75(-2.37,0.91)","-0.76(-6.16,4.78)","-0.48(-5.86,4.98)","-1.48(-11.67,8.62)"
"C30_C39","2006_2010","2011_2015",5,"Water_Disadvantaged","-1.61(-4.85,1.61)","0.352","0.00","-5.17(-7.90,-2.43)***","-3.03(-5.85,-0.20)*","-2.28(-5.12,0.56)","-3.16(-6.05,-0.21)*"
"C30_C39","2006_2010","2011_2015",5,"Land_Unbalanced","0.47(-2.03,2.98)","0.717","0.00","0.62(-1.49,2.73)","2.82(0.77,4.85)**","2.45(0.29,4.60)*","1.45(-0.71,3.60)"
"C30_C39","2006_2010","2011_2015",5,"Land_Disadvantaged","0.26(-2.55,3.09)","0.855","0.00","2.94(1.00,4.92)**","0.18(-1.86,2.23)","2.56(0.17,4.95)*","1.25(-1.29,3.77)"
"C30_C39","2006_2010","2011_2015",5,"Social_Unbalanced","-0.64(-3.67,2.47)","0.685","0.00","-0.58(-2.39,1.23)","0.09(-1.81,2.03)","-0.35(-2.59,1.85)","-0.73(-3.22,1.82)"
"C30_C39","2006_2010","2011_2015",5,"Social_Disadvantaged","-0.70(-4.05,2.73)","0.687","0.00","4.71(1.65,7.79)**","3.19(0.16,6.21)*","1.49(-1.47,4.45)","-0.79(-3.70,2.13)"
"C30_C39","2006_2010","2016_2020",10,"EQI_Unbalanced","-1.58(-4.10,1.02)","0.234","0.00","0.08(-1.75,1.95)","0.19(-1.71,2.09)","-0.33(-2.38,1.77)","0.08(-2.31,2.47)"
"C30_C39","2006_2010","2016_2020",10,"EQI_Disadvantaged","3.28(0.98,5.63)**","0.004","0.00","5.59(3.59,7.57)***","4.28(2.24,6.27)***","3.99(1.95,6.01)***","4.93(2.82,7.04)***"
"C30_C39","2006_2010","2016_2020",10,"Air_Unbalanced","-0.78(-3.25,1.70)","0.527","0.00","0.56(-1.51,2.66)","-0.42(-2.42,1.61)","-0.49(-2.61,1.63)","-0.59(-2.84,1.71)"
"C30_C39","2006_2010","2016_2020",10,"Air_Disadvantaged","3.48(0.99,5.98)**","0.005","0.00","2.18(0.36,3.97)*","2.89(0.95,4.82)**","2.63(0.67,4.60)*","3.66(1.35,5.96)**"
"C30_C39","2006_2010","2016_2020",10,"Built_Unbalanced","-1.35(-3.78,1.04)","0.261","0.00","0.29(-1.58,2.16)","-0.18(-2.19,1.84)","-0.49(-2.45,1.49)","-0.44(-2.57,1.65)"
"C30_C39","2006_2010","2016_2020",10,"Built_Disadvantaged","1.08(-1.38,3.57)","0.387","0.00","3.70(1.07,6.40)**","4.44(1.91,6.91)***","3.11(0.68,5.56)*","1.99(-0.32,4.27)"
"C30_C39","2006_2010","2016_2020",10,"Water_Unbalanced","0.03(-9.87,9.84)","0.993","0.00","-0.15(-1.53,1.24)","-1.50(-6.27,3.42)","0.36(-4.26,4.95)","-0.98(-11.12,9.05)"
"C30_C39","2006_2010","2016_2020",10,"Water_Disadvantaged","-0.12(-3.19,2.82)","0.944","0.00","-4.96(-7.27,-2.65)***","-1.36(-3.78,1.09)","-2.23(-4.57,0.11)","-1.14(-3.67,1.40)"
"C30_C39","2006_2010","2016_2020",10,"Land_Unbalanced","1.12(-1.11,3.28)","0.322","0.00","0.72(-1.10,2.52)","2.40(0.61,4.19)**","1.98(0.12,3.90)*","2.43(0.54,4.32)*"
"C30_C39","2006_2010","2016_2020",10,"Land_Disadvantaged","1.78(-0.68,4.26)","0.153","0.00","1.83(0.15,3.49)*","1.10(-0.63,2.88)","2.33(0.19,4.46)*","3.09(0.93,5.33)**"
"C30_C39","2006_2010","2016_2020",10,"Social_Unbalanced","-0.33(-3.00,2.46)","0.810","0.00","0.62(-0.92,2.17)","1.98(0.28,3.68)*","2.62(0.77,4.49)**","2.21(-0.01,4.46)"
"C30_C39","2006_2010","2016_2020",10,"Social_Disadvantaged","-0.90(-3.87,2.11)","0.548","0.00","4.23(1.41,7.00)**","4.26(1.53,6.97)**","2.56(-0.11,5.23)","1.63(-0.95,4.26)"
