ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PD","0.00","1.97(1.24,2.70)","4.48(3.81,5.14)","3.24(2.55,3.93)","0.0002","1.0015",2980,3657,"0.0002","1.0009",2945,3622,"0.0002","1.0008",2583,3275,"0.64(0.57,0.72)","0.0002","1.0010",2419,3271,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0011",4204,4101,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+DB","0.00","3.94(3.16,4.73)","5.01(4.37,5.63)","5.10(4.40,5.79)","0.0002","1.0037",2222,3431,"0.0002","1.0011",2279,3036,"0.0002","1.0030",2081,3047,"0.71(0.64,0.78)","0.0002","1.0009",2415,2701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.06(-1.24,-0.88)","0.0002","1.0012",1787,2729
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+OB","0.00","4.19(3.44,4.95)","3.74(3.07,4.43)","4.57(3.90,5.26)","0.0002","1.0011",3415,3498,"0.0002","1.0003",3170,3229,"0.0002","1.0009",2836,3028,"",NA,"NA",NA,NA,"0.07(-0.00,0.13)","0.0598","1.0029",1884,2685,"-0.00(-0.08,0.07)","0.9404","1.0014",2119,3029,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+UN","0.00","4.54(3.76,5.32)","3.39(2.73,4.10)","4.66(3.98,5.34)","0.0002","1.0014",2929,3180,"0.0002","1.0008",2794,3474,"0.0002","1.0011",2522,3232,"",NA,"NA",NA,NA,"0.03(-0.03,0.09)","0.3214","1.0020",2053,2831,"",NA,"NA",NA,NA,"-0.21(-0.30,-0.13)","0.0002","1.0012",2346,3097,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+PD","0.00","4.35(3.58,5.12)","3.95(3.27,4.63)","4.91(4.20,5.67)","0.0002","1.0007",2334,3247,"0.0002","1.0024",2559,3505,"0.0002","1.0010",2219,3001,"",NA,"NA",NA,NA,"0.10(0.04,0.16)","0.0002","1.0007",2036,2647,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0019","1.0019",4630,3430,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+DB","0.00","4.81(4.02,5.60)","3.99(3.32,4.68)","5.23(4.50,5.94)","0.0002","1.0017",2701,3418,"0.0002","1.0017",2611,3254,"0.0002","1.0010",2352,3231,"",NA,"NA",NA,NA,"-0.03(-0.10,0.04)","0.3435","1.0012",1551,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.57(-0.78,-0.35)","0.0002","1.0035",1765,2285
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB+UN","0.00","4.44(3.68,5.17)","3.41(2.75,4.09)","4.61(3.95,5.28)","0.0002","1.0010",2660,3380,"0.0002","1.0014",2347,3012,"0.0002","1.0014",2314,3240,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.01(-0.07,0.05)","0.7242","1.0035",1701,2204,"-0.22(-0.30,-0.14)","0.0002","1.0014",2024,2682,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB+PD","0.00","4.15(3.39,4.90)","4.01(3.33,4.69)","4.83(4.09,5.54)","0.0002","1.0004",2397,3191,"0.0002","1.0024",2210,2595,"0.0002","1.0015",1941,3219,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.09(-0.15,-0.02)","0.0123","1.0010",1765,2631,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0019","1.0000",3169,3802,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB+DB","0.00","5.02(4.25,5.81)","4.28(3.62,4.95)","5.57(4.85,6.33)","0.0002","1.0013",2751,3187,"0.0002","1.0007",2617,3121,"0.0002","1.0021",2406,3145,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.16(0.07,0.25)","0.0006","1.0037",2284,2520,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.86(-1.10,-0.60)","0.0002","1.0020",2489,3111
"X60_X84_Y87.0","2011_2015",10,"AirSVI+UN+PD","0.00","4.47(3.74,5.19)","3.67(3.02,4.33)","4.89(4.19,5.57)","0.0002","1.0010",3344,3627,"0.0002","1.0007",2722,3285,"0.0002","1.0018",2803,3298,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.24(-0.32,-0.16)","0.0002","1.0007",2396,2869,"-0.00(-0.00,-0.00)","0.0073","0.9998",5589,4471,"",NA,"NA",NA,NA
