ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+UN+DB","0.00","5.91(4.91,6.87)","2.92(2.08,3.74)","5.59(4.68,6.49)","0.0002","1.0014",3438,3186,"0.0002","1.0005",3473,3890,"0.0002","1.0032",3024,3077,"",NA,"NA",NA,NA,"0.01(-0.07,0.08)","0.8184","1.0036",2814,2843,"0.03(-0.07,0.13)","0.5064","1.0001",3091,3676,"-0.07(-0.16,0.03)","0.1706","1.0001",3108,3491,"",NA,"NA",NA,NA,"1.32(1.02,1.60)","0.0002","1.0007",3143,3451
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+PD+DB","0.00","5.60(4.57,6.55)","2.85(2.01,3.70)","5.15(4.20,6.10)","0.0002","1.0003",4223,3966,"0.0002","1.0020",3684,3917,"0.0002","1.0015",3389,3468,"",NA,"NA",NA,NA,"-0.02(-0.09,0.06)","0.6442","1.0014",3495,3333,"0.11(-0.00,0.21)","0.0619","1.0021",4157,3658,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","0.9998",5651,4460,"1.22(0.91,1.54)","0.0002","1.0009",3409,3876
"K70_K76_C22","2011_2015",10,"AirSVI+PA+UN+PD+DB","0.00","5.63(4.60,6.65)","2.63(1.78,3.47)","5.07(4.13,6.00)","0.0002","0.9998",3050,3639,"0.0002","1.0003",3078,3299,"0.0002","1.0000",2883,3341,"",NA,"NA",NA,NA,"-0.03(-0.11,0.05)","0.4789","1.0013",2353,2630,"",NA,"NA",NA,NA,"-0.06(-0.15,0.04)","0.2389","1.0029",2754,3400,"0.00(0.00,0.01)","0.0006","1.0006",4908,4118,"1.43(1.19,1.67)","0.0002","1.0008",2741,3384
"K70_K76_C22","2011_2015",10,"AirSVI+OB+UN+PD+DB","0.00","5.72(4.71,6.69)","2.73(1.91,3.55)","5.18(4.22,6.12)","0.0002","1.0024",3346,3518,"0.0002","0.9998",3208,3746,"0.0002","1.0013",3153,3548,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(0.00,0.22)","0.0494","1.0010",2535,3033,"-0.05(-0.15,0.04)","0.3022","1.0013",2577,3454,"0.00(0.00,0.01)","0.0006","1.0006",5048,4535,"1.27(0.97,1.56)","0.0002","1.0015",2700,2806
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+UN+PD","0.00","6.08(5.14,7.09)","3.54(2.74,4.37)","5.71(4.82,6.59)","0.0002","1.0016",3070,3450,"0.0002","1.0014",2945,3612,"0.0002","1.0014",2856,3551,"0.71(0.61,0.81)","0.0002","0.9994",4168,3533,"-0.03(-0.11,0.05)","0.4185","1.0015",2797,3480,"0.12(0.03,0.21)","0.0119","1.0016",3618,3757,"-0.07(-0.17,0.02)","0.1389","1.0012",3118,3545,"0.01(0.00,0.01)","0.0002","1.0015",5626,4286,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+UN+DB","0.00","4.70(3.71,5.67)","2.65(1.84,3.48)","4.30(3.40,5.22)","0.0002","1.0011",3490,3536,"0.0002","1.0006",3460,3383,"0.0002","1.0015",2988,3591,"0.82(0.72,0.92)","0.0002","1.0006",3789,3562,"0.14(0.06,0.22)","0.0010","1.0010",3238,3585,"-0.41(-0.52,-0.29)","0.0002","1.0004",2742,3462,"-0.18(-0.27,-0.08)","0.0006","1.0007",3239,3392,"",NA,"NA",NA,NA,"1.96(1.65,2.26)","0.0002","1.0025",2813,3087
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+PD+DB","0.00","4.13(3.13,5.12)","2.68(1.86,3.50)","3.67(2.72,4.63)","0.0002","1.0003",3277,3255,"0.0002","0.9996",3624,3932,"0.0002","1.0005",2842,3150,"0.82(0.72,0.92)","0.0002","1.0000",3253,3318,"0.11(0.03,0.19)","0.0069","1.0007",3148,3484,"-0.30(-0.42,-0.18)","0.0002","1.0033",2737,3359,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0005",5229,4465,"1.77(1.42,2.10)","0.0002","1.0014",2206,3315
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+UN+PD+DB","0.00","4.70(3.73,5.65)","2.84(2.03,3.61)","4.24(3.36,5.11)","0.0002","0.9998",3225,3752,"0.0002","0.9998",3567,3924,"0.0002","1.0011",3207,3738,"0.72(0.63,0.81)","0.0002","1.0007",3782,3390,"0.10(0.02,0.18)","0.0135","1.0014",2717,3526,"",NA,"NA",NA,NA,"-0.14(-0.23,-0.04)","0.0023","1.0019",3263,3752,"0.01(0.01,0.01)","0.0002","1.0002",5218,4197,"1.27(1.03,1.53)","0.0002","1.0011",3093,3156
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB+UN+PD+DB","0.00","4.18(3.19,5.19)","2.56(1.75,3.38)","3.68(2.72,4.62)","0.0002","1.0010",2288,3120,"0.0002","1.0010",2173,3029,"0.0002","1.0020",1889,2624,"0.82(0.72,0.92)","0.0002","1.0012",2450,3210,"",NA,"NA",NA,NA,"-0.32(-0.44,-0.20)","0.0002","1.0017",1787,2543,"-0.17(-0.27,-0.07)","0.0010","1.0018",2217,3295,"0.01(0.00,0.01)","0.0002","1.0006",4723,4125,"1.74(1.40,2.05)","0.0002","1.0018",1776,2914
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+UN+PD+DB","0.00","5.67(4.69,6.69)","2.77(1.92,3.58)","5.17(4.24,6.08)","0.0002","1.0004",4583,3823,"0.0002","1.0006",4422,4059,"0.0002","1.0009",3812,3762,"",NA,"NA",NA,NA,"-0.02(-0.10,0.06)","0.5959","1.0009",3923,3560,"0.10(-0.00,0.22)","0.0614","1.0030",3618,3513,"-0.06(-0.15,0.04)","0.2568","1.0020",3131,3627,"0.00(0.00,0.01)","0.0006","0.9997",5724,4711,"1.25(0.95,1.56)","0.0002","1.0006",3411,3408
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+UN+PD+DB","0.00","4.33(3.35,5.31)","2.40(1.57,3.23)","3.66(2.72,4.60)","0.0002","1.0018",2928,3226,"0.0002","1.0024",2895,3380,"0.0002","1.0027",2370,3241,"0.84(0.74,0.94)","0.0002","0.9997",3530,3773,"0.11(0.03,0.18)","0.0085","1.0014",2599,3098,"-0.32(-0.44,-0.20)","0.0002","1.0011",2697,3315,"-0.16(-0.25,-0.07)","0.0006","1.0005",3148,3320,"0.01(0.00,0.01)","0.0002","1.0005",4731,4131,"1.87(1.54,2.18)","0.0002","1.0018",2052,2409
