ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+PD+DB","0.00","1.42(0.55,2.23)","1.61(0.92,2.28)","2.16(1.34,2.92)","0.0019","1.0020",2609,3329,"0.0002","1.0009",2773,3329,"0.0002","1.0020",2198,3250,"0.36(0.29,0.44)","0.0002","1.0005",3576,3587,"-0.07(-0.15,-0.00)","0.0448","1.0014",2637,3182,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0652","0.9999",4423,3699,"1.02(0.82,1.23)","0.0002","1.0014",2764,3074
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+OB+UN+PD","0.00","3.28(2.47,4.09)","1.62(0.91,2.33)","3.58(2.85,4.33)","0.0002","1.0021",3033,3060,"0.0002","1.0005",3133,3584,"0.0002","1.0018",2723,3404,"0.32(0.24,0.40)","0.0002","1.0014",3507,3365,"",NA,"NA",NA,NA,"0.39(0.31,0.47)","0.0002","1.0019",2857,2962,"-0.28(-0.36,-0.20)","0.0002","1.0007",2834,3268,"0.00(0.00,0.00)","0.0340","1.0001",4096,4240,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+OB+UN+DB","0.00","2.18(1.32,3.01)","1.03(0.35,1.73)","2.48(1.71,3.25)","0.0002","1.0019",2766,3411,"0.0060","1.0015",2509,3514,"0.0002","1.0022",2361,3261,"0.36(0.27,0.43)","0.0002","1.0011",3646,3455,"",NA,"NA",NA,NA,"0.09(-0.00,0.19)","0.0539","1.0007",2350,3090,"-0.36(-0.43,-0.27)","0.0002","1.0020",2510,2846,"",NA,"NA",NA,NA,"1.10(0.84,1.35)","0.0002","1.0004",2512,3230
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+OB+PD+DB","0.00","1.67(0.85,2.54)","1.68(0.98,2.38)","2.36(1.58,3.18)","0.0002","1.0010",2794,3356,"0.0002","1.0005",3100,3665,"0.0002","1.0006",2617,3364,"0.33(0.24,0.41)","0.0002","1.0008",3680,3387,"",NA,"NA",NA,NA,"0.16(0.06,0.26)","0.0031","1.0023",2376,2895,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0190","1.0002",4713,3794,"0.86(0.61,1.11)","0.0002","1.0010",2791,3318
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+UN+PD+DB","0.00","1.98(1.14,2.82)","0.80(0.11,1.49)","2.15(1.34,2.94)","0.0002","1.0027",2128,2758,"0.0256","1.0021",2327,3221,"0.0002","1.0038",1827,2438,"0.40(0.33,0.48)","0.0002","1.0005",2556,3105,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.36(-0.44,-0.28)","0.0002","1.0022",2010,2781,"0.00(-0.00,0.00)","0.3514","1.0029",3744,3893,"1.27(1.07,1.46)","0.0002","1.0016",2527,3083
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA+OB+UN+PD","0.00","3.31(2.46,4.16)","1.79(1.08,2.51)","3.74(2.96,4.53)","0.0002","1.0009",2982,3496,"0.0002","1.0015",3044,3219,"0.0002","1.0019",2573,3313,"",NA,"NA",NA,NA,"-0.20(-0.27,-0.13)","0.0002","1.0011",2177,2992,"0.44(0.37,0.52)","0.0002","1.0011",2747,3239,"-0.29(-0.37,-0.21)","0.0002","1.0012",2583,3060,"0.00(-0.00,0.00)","0.0614","1.0014",4953,4182,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA+OB+UN+DB","0.00","2.66(1.84,3.48)","1.27(0.55,2.01)","2.99(2.22,3.77)","0.0002","1.0000",3094,3328,"0.0010","1.0014",3133,3418,"0.0002","1.0012",2877,3098,"",NA,"NA",NA,NA,"-0.14(-0.20,-0.07)","0.0002","1.0006",2726,3184,"0.25(0.16,0.33)","0.0002","1.0011",2947,3014,"-0.34(-0.42,-0.26)","0.0002","1.0017",2569,3286,"",NA,"NA",NA,NA,"0.85(0.58,1.11)","0.0002","1.0024",3175,3288
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA+OB+PD+DB","0.00","2.18(1.32,3.03)","1.87(1.16,2.56)","2.87(2.08,3.68)","0.0002","1.0016",3294,3586,"0.0002","1.0017",2659,3066,"0.0002","1.0007",2739,3294,"",NA,"NA",NA,NA,"-0.11(-0.18,-0.04)","0.0010","1.0008",2601,3045,"0.30(0.21,0.39)","0.0002","1.0019",2785,3350,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0581","1.0005",5394,4351,"0.65(0.40,0.92)","0.0002","1.0022",2899,3308
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA+UN+PD+DB","0.00","2.43(1.62,3.28)","0.86(0.15,1.57)","2.56(1.80,3.35)","0.0002","1.0018",2383,3211,"0.0169","1.0040",2590,2879,"0.0002","1.0030",2083,2953,"",NA,"NA",NA,NA,"-0.18(-0.25,-0.11)","0.0002","1.0029",2054,2551,"",NA,"NA",NA,NA,"-0.35(-0.43,-0.27)","0.0002","1.0028",1793,2822,"-0.00(-0.00,0.00)","0.4643","1.0001",4830,4005,"1.27(1.06,1.49)","0.0002","1.0020",2042,2804
"N00_N29_C64_C65","2011_2015",10,"AirSVI+OB+UN+PD+DB","0.00","2.83(1.98,3.66)","1.04(0.32,1.74)","2.92(2.11,3.74)","0.0002","1.0015",3296,3425,"0.0060","1.0003",3253,3720,"0.0002","1.0008",2908,3352,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.30(0.21,0.40)","0.0002","1.0027",2562,3122,"-0.32(-0.40,-0.24)","0.0002","1.0040",2872,3275,"0.00(-0.00,0.00)","0.5722","1.0011",4665,3934,"0.95(0.69,1.21)","0.0002","1.0022",2862,3435
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+UN+PD","0.00","2.91(2.07,3.74)","1.75(1.04,2.47)","3.41(2.64,4.17)","0.0002","1.0006",3000,2885,"0.0002","1.0013",2947,3633,"0.0002","1.0015",2475,3050,"0.29(0.21,0.37)","0.0002","1.0009",3422,3204,"-0.16(-0.23,-0.09)","0.0002","1.0023",1898,2774,"0.33(0.25,0.41)","0.0002","1.0009",2407,2753,"-0.31(-0.39,-0.23)","0.0002","1.0015",2491,3026,"0.00(0.00,0.00)","0.0077","1.0000",4569,3985,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+UN+DB","0.00","2.10(1.24,2.95)","1.14(0.42,1.87)","2.51(1.73,3.30)","0.0002","1.0000",2903,3252,"0.0023","1.0002",2728,3496,"0.0002","1.0000",2431,3225,"0.34(0.25,0.42)","0.0002","1.0008",3550,2970,"-0.08(-0.15,-0.01)","0.0256","1.0010",2663,3242,"0.07(-0.02,0.17)","0.1348","1.0003",2588,2796,"-0.37(-0.45,-0.29)","0.0002","1.0012",2811,3582,"",NA,"NA",NA,NA,"1.02(0.77,1.28)","0.0002","1.0004",2711,3428
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+PD+DB","0.00","1.60(0.73,2.46)","1.78(1.03,2.50)","2.36(1.55,3.18)","0.0006","1.0012",2641,3329,"0.0002","1.0025",2676,3316,"0.0002","1.0017",2283,3350,"0.31(0.23,0.40)","0.0002","1.0016",3169,3226,"-0.06(-0.14,0.01)","0.0935","1.0002",2039,2860,"0.15(0.05,0.25)","0.0048","1.0013",2555,3334,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0135","1.0004",4845,4154,"0.80(0.52,1.06)","0.0002","1.0010",2146,2631
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+UN+PD+DB","0.00","1.87(1.02,2.72)","0.94(0.21,1.68)","2.16(1.36,2.96)","0.0002","1.0020",2753,3337,"0.0131","1.0020",2868,3324,"0.0002","1.0017",2452,3108,"0.38(0.30,0.46)","0.0002","1.0013",4265,3614,"-0.10(-0.17,-0.02)","0.0119","1.0012",2792,3400,"",NA,"NA",NA,NA,"-0.37(-0.45,-0.29)","0.0002","1.0025",2770,3402,"0.00(-0.00,0.00)","0.1335","1.0004",4980,4182,"1.15(0.93,1.37)","0.0002","1.0014",3478,3565
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+OB+UN+PD+DB","0.00","2.09(1.26,2.95)","0.95(0.25,1.67)","2.31(1.54,3.11)","0.0002","1.0007",2160,3320,"0.0085","1.0026",2156,2980,"0.0002","1.0010",1896,2784,"0.36(0.28,0.45)","0.0002","1.0000",3190,3464,"",NA,"NA",NA,NA,"0.11(0.01,0.21)","0.0240","1.0015",2288,2955,"-0.35(-0.43,-0.27)","0.0002","1.0010",2170,3127,"0.00(-0.00,0.00)","0.1135","1.0001",4738,4188,"1.08(0.83,1.33)","0.0002","1.0017",2415,3187
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA+OB+UN+PD+DB","0.00","2.58(1.74,3.43)","1.22(0.48,1.94)","2.86(2.04,3.65)","0.0002","1.0005",3319,3557,"0.0010","1.0008",3224,3498,"0.0002","0.9998",2963,3312,"",NA,"NA",NA,NA,"-0.14(-0.22,-0.07)","0.0002","1.0013",2508,2909,"0.27(0.17,0.36)","0.0002","1.0018",3374,3934,"-0.33(-0.41,-0.25)","0.0002","1.0022",2537,3122,"0.00(-0.00,0.00)","0.2164","1.0011",5378,4418,"0.83(0.57,1.08)","0.0002","1.0001",3034,3245
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+UN+PD+DB","0.00","1.97(1.09,2.81)","1.06(0.34,1.79)","2.30(1.47,3.09)","0.0002","1.0003",2696,3495,"0.0048","1.0000",2725,3493,"0.0002","0.9997",2488,3104,"0.34(0.26,0.43)","0.0002","1.0005",3736,3483,"-0.09(-0.16,-0.02)","0.0119","1.0009",2530,3068,"0.10(0.00,0.20)","0.0381","1.0009",2665,3205,"-0.36(-0.44,-0.28)","0.0002","1.0019",2663,3168,"0.00(-0.00,0.00)","0.0552","1.0004",4509,4040,"0.99(0.73,1.25)","0.0002","1.0000",2764,3583
