ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"I00_I99","2011_2015",10,"AirSVI+SM+OB+UN+PD","0.00","23.40(20.01,26.74)","4.95(1.91,8.13)","21.72(18.42,25.15)","0.0002","1.0038",2106,3055,"0.0010","1.0033",2127,3244,"0.0002","1.0025",1907,3068,"5.95(5.54,6.35)","0.0002","1.0009",2203,2695,"",NA,"NA",NA,NA,"2.77(2.45,3.08)","0.0002","1.0022",1541,2682,"-2.51(-2.89,-2.12)","0.0002","1.0022",1823,3017,"0.03(0.02,0.04)","0.0002","1.0019",3691,3656,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+OB+UN+DB","0.00","18.39(14.77,21.96)","4.98(2.01,8.12)","18.68(15.25,22.12)","0.0002","1.0016",2907,3321,"0.0019","1.0010",3122,3133,"0.0002","1.0009",2856,3278,"6.13(5.74,6.54)","0.0002","1.0009",3812,3463,"",NA,"NA",NA,NA,"1.02(0.58,1.47)","0.0002","1.0015",1977,3022,"-2.75(-3.14,-2.37)","0.0002","1.0009",3094,3445,"",NA,"NA",NA,NA,"6.19(4.94,7.42)","0.0002","1.0010",2751,3340
"I00_I99","2011_2015",10,"AirSVI+SM+OB+PD+DB","0.00","14.77(11.16,18.28)","6.67(3.50,9.83)","16.12(12.62,19.74)","0.0002","1.0001",2645,3342,"0.0002","1.0020",2818,3425,"0.0002","1.0006",2436,3286,"5.77(5.37,6.18)","0.0002","1.0019",2950,2975,"",NA,"NA",NA,NA,"1.09(0.62,1.56)","0.0002","1.0049",1551,2006,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0004",4229,3155,"4.73(3.52,5.94)","0.0002","1.0033",1989,2658
"I00_I99","2011_2015",10,"AirSVI+SM+UN+PD+DB","0.00","16.23(12.90,19.67)","2.16(-0.90,5.26)","13.94(10.60,17.17)","0.0002","1.0035",2451,3322,"0.1681","1.0034",2412,3085,"0.0002","1.0018",2224,3192,"6.80(6.46,7.15)","0.0002","1.0038",2307,3046,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.74(-3.12,-2.36)","0.0002","1.0071",2019,2704,"0.02(0.02,0.03)","0.0002","1.0005",4657,3545,"8.35(7.47,9.21)","0.0002","1.0020",2143,2915
"I00_I99","2011_2015",10,"AirSVI+PA+OB+UN+PD","0.00","27.73(24.06,31.37)","6.62(3.30,9.97)","26.79(23.23,30.33)","0.0002","1.0002",2593,2980,"0.0006","1.0007",3425,3281,"0.0002","1.0000",2526,3430,"",NA,"NA",NA,NA,"-0.26(-0.44,-0.08)","0.0081","1.0023",1742,2621,"6.02(5.72,6.32)","0.0002","1.0025",1795,2804,"-1.63(-2.03,-1.21)","0.0002","1.0012",2252,2837,"0.03(0.02,0.04)","0.0002","1.0008",3868,3383,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+OB+UN+DB","0.00","26.06(22.41,29.79)","5.61(2.28,9.03)","25.98(22.33,29.43)","0.0002","1.0021",2904,3078,"0.0006","1.0009",2647,3096,"0.0002","1.0009",2472,2940,"",NA,"NA",NA,NA,"0.04(-0.13,0.20)","0.6526","1.0018",1758,2447,"4.72(4.29,5.13)","0.0002","1.0022",2208,2866,"-1.89(-2.30,-1.48)","0.0002","1.0011",2380,2758,"",NA,"NA",NA,NA,"4.02(2.73,5.30)","0.0002","1.0011",2288,2663
"I00_I99","2011_2015",10,"AirSVI+PA+OB+PD+DB","0.00","22.46(18.80,26.19)","8.15(4.82,11.49)","23.45(19.68,27.14)","0.0002","1.0006",3271,3515,"0.0002","1.0010",3377,3306,"0.0002","1.0008",3005,3456,"",NA,"NA",NA,NA,"-0.29(-0.47,-0.11)","0.0031","1.0028",1910,3132,"5.03(4.57,5.49)","0.0002","1.0007",2147,2652,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0009",4993,3611,"2.59(1.30,3.86)","0.0006","1.0014",2338,2802
"I00_I99","2011_2015",10,"AirSVI+PA+UN+PD+DB","0.00","24.38(20.64,28.23)","-1.78(-5.16,1.85)","20.01(16.46,23.69)","0.0002","1.0006",2235,3062,"0.3181","1.0008",2418,3154,"0.0002","1.0021",1993,2922,"",NA,"NA",NA,NA,"0.84(0.67,1.01)","0.0002","1.0155",588,1608,"",NA,"NA",NA,NA,"-1.63(-2.05,-1.20)","0.0002","1.0020",1696,2714,"-0.02(-0.03,-0.01)","0.0006","1.0009",3876,3604,"14.60(13.69,15.52)","0.0002","1.0028",1627,2307
"I00_I99","2011_2015",10,"AirSVI+OB+UN+PD+DB","0.00","25.71(22.19,29.36)","4.37(1.11,7.67)","24.29(20.65,27.88)","0.0002","1.0016",2630,3227,"0.0073","1.0001",2560,3408,"0.0002","1.0007",2565,3204,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.91(4.51,5.32)","0.0002","1.0011",1419,2394,"-1.88(-2.29,-1.48)","0.0002","1.0012",2202,2850,"0.02(0.01,0.03)","0.0002","1.0013",4372,3568,"3.84(2.53,5.09)","0.0002","1.0011",2177,2848
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+UN+PD","0.00","21.17(17.63,24.61)","6.71(3.59,9.79)","20.74(17.39,23.96)","0.0002","0.9997",2974,3234,"0.0002","1.0017",3195,3365,"0.0002","1.0020",2792,3331,"6.02(5.62,6.42)","0.0002","1.0014",2810,3284,"-0.41(-0.58,-0.24)","0.0002","1.0028",2341,2885,"3.02(2.69,3.37)","0.0002","1.0015",2402,2808,"-2.37(-2.76,-1.99)","0.0002","1.0022",2746,3455,"0.04(0.03,0.05)","0.0002","1.0023",4823,4086,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+UN+DB","0.00","18.41(14.98,21.99)","5.00(1.80,8.26)","18.70(15.27,22.25)","0.0002","1.0014",2997,3556,"0.0010","1.0011",2873,3701,"0.0002","1.0014",2496,2944,"6.13(5.71,6.55)","0.0002","1.0013",3068,3022,"0.00(-0.16,0.15)","0.9992","1.0010",1611,2766,"1.03(0.56,1.50)","0.0002","1.0008",2027,2726,"-2.76(-3.15,-2.37)","0.0002","1.0010",2982,3567,"",NA,"NA",NA,NA,"6.17(4.85,7.49)","0.0002","1.0003",2268,2933
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+PD+DB","0.00","13.19(9.60,16.74)","8.63(5.43,11.77)","15.75(12.28,19.23)","0.0002","1.0008",2671,3397,"0.0002","1.0001",3048,3714,"0.0002","1.0011",2472,3249,"5.84(5.43,6.24)","0.0002","1.0011",3337,3688,"-0.45(-0.61,-0.29)","0.0002","1.0003",2121,3241,"1.59(1.12,2.05)","0.0002","1.0039",1929,2192,"",NA,"NA",NA,NA,"0.04(0.03,0.05)","0.0002","1.0018",4402,3670,"4.10(2.88,5.32)","0.0002","1.0026",2061,2651
"I00_I99","2011_2015",10,"AirSVI+SM+PA+UN+PD+DB","0.00","15.89(12.30,19.47)","2.41(-0.72,5.65)","13.73(10.22,17.26)","0.0002","1.0002",2885,2962,"0.1194","1.0004",3607,3418,"0.0002","1.0006",2786,3264,"6.84(6.48,7.19)","0.0002","1.0017",2722,3284,"-0.06(-0.22,0.10)","0.4426","1.0029",1624,2860,"",NA,"NA",NA,NA,"-2.71(-3.10,-2.33)","0.0002","1.0010",2810,3263,"0.02(0.02,0.03)","0.0002","1.0014",4217,3833,"8.38(7.53,9.24)","0.0002","0.9998",3041,3448
"I00_I99","2011_2015",10,"AirSVI+SM+OB+UN+PD+DB","0.00","17.92(14.55,21.30)","2.90(-0.11,6.01)","16.11(12.59,19.62)","0.0002","1.0010",3005,3674,"0.0589","1.0016",3201,3807,"0.0002","1.0022",2901,3348,"6.21(5.80,6.63)","0.0002","1.0015",3345,3511,"",NA,"NA",NA,NA,"1.21(0.75,1.65)","0.0002","1.0016",1998,3038,"-2.77(-3.15,-2.38)","0.0002","1.0010",2955,3399,"0.03(0.02,0.04)","0.0002","1.0016",5137,3689,"6.02(4.80,7.28)","0.0002","1.0008",2786,3386
"I00_I99","2011_2015",10,"AirSVI+PA+OB+UN+PD+DB","0.00","25.20(21.47,28.88)","5.08(1.68,8.40)","24.17(20.50,27.70)","0.0002","1.0004",3528,3244,"0.0040","1.0010",3395,3437,"0.0002","1.0022",2969,3230,"",NA,"NA",NA,NA,"-0.13(-0.32,0.05)","0.1652","1.0049",1713,2633,"5.09(4.65,5.54)","0.0002","1.0003",2225,3372,"-1.81(-2.24,-1.39)","0.0002","1.0029",2522,3057,"0.02(0.01,0.03)","0.0002","1.0005",4953,3889,"3.57(2.27,4.85)","0.0002","1.0018",2470,3343
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+UN+PD+DB","0.00","16.95(13.47,20.58)","4.01(0.87,7.18)","15.71(12.24,19.24)","0.0002","1.0004",2472,3193,"0.0098","1.0021",2482,3756,"0.0002","1.0010",2053,3383,"6.24(5.84,6.64)","0.0002","1.0026",2447,3293,"-0.25(-0.42,-0.08)","0.0052","1.0021",1408,2884,"1.46(0.98,1.96)","0.0002","1.0049",1783,2412,"-2.67(-3.06,-2.28)","0.0002","1.0039",2292,2612,"0.03(0.02,0.04)","0.0002","1.0005",4440,3373,"5.69(4.37,6.98)","0.0002","1.0030",1851,2482
