Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI_Water,C34,Lung Cancer,2000_2005,5,0.0,"-0.59(-2.47,1.38)","1.68(-0.23,3.72)","1.90(-0.03,3.86)","2.26(0.25,4.36)*"
EQI_Water,C34,Lung Cancer,2000_2005,10,0.0,"-1.09(-2.82,0.74)","0.52(-1.27,2.36)","0.73(-1.05,2.53)","0.56(-1.32,2.45)"
EQI_Water,C34,Lung Cancer,2000_2005,15,0.0,"-0.19(-1.63,1.29)","1.40(-0.09,2.90)","1.47(-0.02,3.00)","2.12(0.53,3.70)**"
EQI_Water,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"-1.01(-1.78,-0.23)*","-0.03(-0.81,0.78)","-0.03(-0.81,0.77)","-0.34(-1.14,0.48)"
EQI_Water,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"-0.84(-1.59,-0.13)*","-0.11(-0.83,0.64)","0.33(-0.39,1.09)","0.22(-0.55,1.02)"
EQI_Water,C18_C21,Colorectal Cancer,2000_2005,15,0.0,"-1.00(-1.71,-0.28)**","0.25(-0.47,0.97)","0.25(-0.47,1.00)","0.09(-0.68,0.87)"
EQI_Water,C50,Breast Cancer,2000_2005,5,0.0,"-0.24(-0.84,0.36)","0.51(-0.09,1.13)","0.85(0.25,1.47)**","0.46(-0.17,1.12)"
EQI_Water,C50,Breast Cancer,2000_2005,10,0.0,"-0.27(-0.84,0.31)","-0.10(-0.70,0.50)","0.50(-0.10,1.12)","0.61(-0.01,1.24)"
EQI_Water,C50,Breast Cancer,2000_2005,15,0.0,"-0.69(-1.25,-0.15)*","0.18(-0.40,0.75)","0.34(-0.25,0.92)","0.29(-0.32,0.94)"
EQI_Water,C25,Pancreatic Cancer,2000_2005,5,0.0,"-0.67(-1.19,-0.13)*","-0.18(-0.71,0.35)","0.06(-0.49,0.60)","-0.12(-0.64,0.42)"
EQI_Water,C25,Pancreatic Cancer,2000_2005,10,0.0,"-0.62(-1.17,-0.09)*","0.03(-0.52,0.59)","0.42(-0.13,0.99)","0.36(-0.20,0.94)"
