ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q4,3.78,3.15,4.6
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q5,4.53,3.75,5.57
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q5,4.53,3.75,5.57
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q2,2.24,1.8,2.83
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q2,2.24,1.8,2.83
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q3,3.26,2.63,4.06
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q3,3.26,2.63,4.06
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q4,3.84,3.12,4.79
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q4,3.84,3.12,4.79
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q5,4.59,3.72,5.69
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q5,4.59,3.72,5.69
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q2,1.78,1.4,2.24
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q2,1.78,1.4,2.24
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q3,2.56,2.05,3.2
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q3,2.56,2.05,3.2
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q4,3.13,2.52,3.9
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q4,3.13,2.52,3.9
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q5,3.79,3.07,4.72
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q5,3.79,3.07,4.72
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,2.49,1.34,8.78
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,2.49,1.34,8.78
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,2.49,1.34,8.78
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,2.49,1.34,8.78
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,4.64,2.4,18.01
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,4.64,2.4,18.01
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,4.64,2.4,18.01
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,4.64,2.4,18.01
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,6.72,3.43,26.5
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,6.72,3.43,26.5
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,6.72,3.43,26.5
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,6.72,3.43,26.5
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,10.93,5.39,45.76
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,10.93,5.39,45.76
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,10.93,5.39,45.76
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,10.93,5.39,45.76
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,2.59,1.1,11.17
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,2.59,1.1,11.17
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,3.49,1.48,15.05
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,3.49,1.48,15.05
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,3.8,1.75,16.07
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,3.8,1.75,16.07
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,5.11,2.35,21.65
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,5.11,2.35,21.65
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,5.92,2.75,24.08
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,5.92,2.75,24.08
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,7.97,3.7,32.45
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,7.97,3.7,32.45
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,10.27,4.86,41.53
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,10.27,4.86,41.53
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,13.83,6.54,55.95
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,13.83,6.54,55.95
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,2.35,1.11,10.25
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,2.35,1.11,10.25
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,3.25,1.54,14.22
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,3.25,1.54,14.22
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,4.1,1.9,17.02
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,4.1,1.9,17.02
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,5.69,2.63,23.61
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,5.69,2.63,23.61
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,6.24,2.96,25.04
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,6.24,2.96,25.04
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,8.66,4.1,34.74
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,8.66,4.1,34.74
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,10.41,4.95,41.44
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,10.41,4.95,41.44
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,14.44,6.86,57.49
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,14.44,6.86,57.49
