Model	Lag	Q1	Q2	Q3	Q4	Q5
Social	15	0.0	1.12(-1.27,3.50)	-1.29(-3.85,1.21)	1.59(-1.12,4.35)	0.04(-2.96,3.14)
Race (Asian)
EQI	5	0.0	0.10(-0.30,0.49)	0.43(0.03,0.84)	0.74(0.30,1.17)	3.48(2.98,3.97)
EQI	10	0.0	0.39(-0.27,1.04)	0.83(0.18,1.48)	1.75(1.04,2.47)	6.97(6.16,7.76)
EQI	15	0.0	0.68(-0.09,1.45)	1.37(0.60,2.17)	2.74(1.92,3.62)	10.17(9.17,11.16)
Air	5	0.0	0.69(0.26,1.13)	1.20(0.74,1.68)	1.91(1.38,2.40)	4.70(4.12,5.25)
Air	10	0.0	1.18(0.48,1.88)	2.23(1.49,2.99)	3.50(2.69,4.32)	9.14(8.26,10.06)
Air	15	0.0	1.55(0.72,2.37)	2.70(1.76,3.59)	4.31(3.33,5.27)	11.35(10.24,12.45)
Water	5	0.0	-0.30(-0.88,0.25)	-0.17(-0.77,0.44)	-0.48(-1.08,0.10)	0.08(-0.57,0.74)
Water	10	0.0	-0.24(-1.15,0.69)	0.22(-0.74,1.21)	-0.35(-1.31,0.66)	0.53(-0.55,1.59)
Water	15	0.0	-0.24(-1.33,0.86)	0.23(-0.94,1.42)	-0.40(-1.59,0.82)	1.32(0.07,2.57)
Land	5	0.0	-0.09(-0.49,0.31)	0.06(-0.39,0.50)	-0.35(-0.86,0.16)	0.22(-0.32,0.77)
Land	10	0.0	-0.29(-0.96,0.37)	-0.24(-0.99,0.50)	-0.84(-1.67,0.01)	-0.16(-1.06,0.74)
Land	15	0.0	0.01(-0.78,0.78)	0.05(-0.84,0.93)	-0.67(-1.66,0.31)	0.29(-0.82,1.34)
Built	5	0.0	-0.43(-0.83,-0.06)	-0.46(-0.86,-0.07)	-0.13(-0.55,0.30)	0.21(-0.25,0.66)
Built	10	0.0	-0.66(-1.27,-0.03)	-0.67(-1.31,-0.03)	-0.33(-0.98,0.37)	0.69(-0.02,1.41)
Built	15	0.0	-0.61(-1.37,0.14)	-0.68(-1.43,0.09)	0.26(-0.53,1.08)	1.22(0.34,2.10)
Social	5	0.0	-0.54(-0.92,-0.14)	-0.71(-1.15,-0.29)	-0.85(-1.32,-0.36)	-0.38(-0.95,0.18)
Social	10	0.0	-0.93(-1.55,-0.30)	-1.28(-1.96,-0.59)	-0.91(-1.70,-0.15)	-0.40(-1.30,0.48)
Social	15	0.0	-0.97(-1.73,-0.21)	-1.24(-2.08,-0.41)	-0.50(-1.42,0.43)	0.35(-0.70,1.41)
Race (Indian)
EQI	5	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)
EQI	10	0.0	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
EQI	15	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Air	5	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Air	10	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Air	15	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Water	5	0.0	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Water	10	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Water	15	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)
Land	5	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Land	10	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Land	15	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Built	5	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Built	10	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Built	15	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Social	5	0.0	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Social	10	0.0	0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Social	15	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)
RUCC: Metropolitan urbanized
EQI	5	0.0	1.58(-2.21,5.36)	5.26(1.79,8.72)	9.72(6.15,13.21)	14.84(11.33,18.15)
EQI	10	0.0	0.18(-3.61,4.07)	5.88(2.25,9.49)	10.36(7.00,13.84)	15.41(11.98,18.87)
EQI	15	0.0	-0.62(-4.60,3.31)	3.97(0.36,7.60)	8.92(5.49,12.45)	13.11(9.69,16.67)
Air	5	0.0	2.50(-2.28,7.25)	4.80(0.50,9.04)	7.00(2.74,11.50)	8.52(4.19,12.87)
Air	10	0.0	1.20(-3.76,5.86)	5.17(0.94,9.40)	7.33(3.11,11.40)	8.95(4.71,13.17)
Air	15	0.0	1.21(-3.62,5.84)	3.63(-0.66,7.93)	7.38(3.22,11.53)	7.85(3.56,12.04)
Water	5	0.0	4.53(1.02,8.14)	3.62(0.09,7.24)	2.33(-1.20,5.95)	3.18(-0.43,6.89)
Water	10	0.0	4.59(0.68,8.32)	3.48(-0.05,7.15)	3.44(-0.03,7.05)	2.54(-1.04,6.28)
Water	15	0.0	4.34(0.58,8.10)	4.27(0.55,7.99)	4.14(0.39,7.71)	4.69(0.84,8.46)
Land	5	0.0	1.73(-1.24,4.69)	1.56(-1.38,4.50)	0.14(-3.24,3.35)	1.42(-1.97,4.71)
Land	10	0.0	2.50(-0.47,5.38)	4.16(1.24,7.09)	2.35(-1.05,5.66)	3.06(-0.26,6.31)
Land	15	0.0	2.71(-0.05,5.64)	4.23(1.24,7.14)	3.25(-0.04,6.55)	4.07(0.64,7.59)
Built	5	0.0	2.98(0.07,5.84)	3.77(0.76,6.89)	3.92(0.83,6.95)	4.64(1.48,7.82)
Built	10	0.0	4.10(1.15,7.03)	2.85(-0.23,5.85)	3.50(0.57,6.43)	3.72(0.64,6.69)
Built	15	0.0	3.43(0.57,6.33)	1.20(-1.91,4.27)	1.88(-1.10,4.97)	3.34(0.18,6.51)
Social	5	0.0	3.22(-0.52,6.90)	5.23(1.78,8.69)	7.56(4.22,11.03)	12.92(9.60,16.37)
Social	10	0.0	3.31(-0.36,7.05)	6.29(2.89,9.69)	7.84(4.48,11.17)	12.99(9.74,16.32)
Social	15	0.0	2.16(-1.67,5.82)	3.43(-0.11,7.07)	5.35(1.84,8.80)	9.44(5.99,12.88)
RUCC: Non-metropolitan urbanized
EQI	5	0.0	-0.36(-5.91,5.30)	7.76(2.63,12.67)	7.37(2.50,12.32)	10.33(5.49,15.31)
EQI	10	0.0	1.35(-4.63,7.07)	5.33(0.08,10.54)	7.46(2.32,12.57)	12.96(7.65,18.22)
