Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
I00-I99,"1,483,767 (2.67‰)",264.06 ± 0.22,"1,514,648 (2.58‰)",235.44 ± 0.19,"1,699,424 (2.75‰)",231.72 ± 0.18
I20_I25,"708,881 (1.28‰)",125.49 ± 0.15,"672,830 (1.15‰)",103.84 ± 0.13,"689,683 (1.12‰)",93.12 ± 0.11
Lung Cancer,"313,833 (0.57‰)",53.90 ± 0.10,"313,428 (0.53‰)",47.02 ± 0.08,"292,206 (0.47‰)",38.08 ± 0.07
I60_I69,"255,386 (0.46‰)",45.85 ± 0.09,"259,305 (0.44‰)",40.68 ± 0.08,"306,685 (0.50‰)",42.09 ± 0.08
I10_I15,"114,187 (0.21‰)",20.19 ± 0.06,"138,339 (0.24‰)",21.40 ± 0.06,"201,016 (0.33‰)",27.49 ± 0.06
Census Region: West,,,,,,
All-site Cancer,"548,747 (1.56‰)",161.21 ± 0.22,"583,236 (1.57‰)",148.56 ± 0.20,"611,319 (1.57‰)",136.16 ± 0.18
I00-I99,"763,875 (2.17‰)",226.95 ± 0.26,"778,771 (2.09‰)",199.36 ± 0.23,"868,664 (2.23‰)",195.47 ± 0.21
I20_I25,"378,412 (1.07‰)",112.21 ± 0.18,"357,581 (0.96‰)",91.19 ± 0.15,"364,551 (0.94‰)",81.38 ± 0.14
Lung Cancer,"136,193 (0.39‰)",40.34 ± 0.11,"133,149 (0.36‰)",34.03 ± 0.09,"121,101 (0.31‰)",26.73 ± 0.08
I60_I69,"134,581 (0.38‰)",40.33 ± 0.11,"134,397 (0.36‰)",34.77 ± 0.10,"159,636 (0.41‰)",36.21 ± 0.09
I10_I15,"66,098 (0.19‰)",19.44 ± 0.08,"81,048 (0.22‰)",20.57 ± 0.07,"109,675 (0.28‰)",24.62 ± 0.08
Climate National,,,,,,
All-site Cancer,"2,810,555 (1.86‰)",176.13 ± 0.11,"2,912,572 (1.85‰)",163.07 ± 0.10,"2,981,057 (1.83‰)",149.03 ± 0.09
I00-I99,"3,988,661 (2.64‰)",250.09 ± 0.13,"3,991,342 (2.53‰)",223.07 ± 0.11,"4,347,500 (2.67‰)",218.52 ± 0.11
I20_I25,"1,990,833 (1.32‰)",124.57 ± 0.09,"1,838,320 (1.17‰)",102.38 ± 0.08,"1,829,717 (1.12‰)",91.40 ± 0.07
Lung Cancer,"787,175 (0.52‰)",49.35 ± 0.06,"775,309 (0.49‰)",43.20 ± 0.05,"708,787 (0.44‰)",34.87 ± 0.04
I60_I69,"661,271 (0.44‰)",41.68 ± 0.05,"655,878 (0.42‰)",36.92 ± 0.05,"742,555 (0.46‰)",37.49 ± 0.04
I10_I15,"297,429 (0.20‰)",18.53 ± 0.03,"354,479 (0.23‰)",19.72 ± 0.03,"487,458 (0.30‰)",24.54 ± 0.04
Köppen-Geiger Climate Zone: Dry,,,,,,
All-site Cancer,"268,960 (1.58‰)",157.27 ± 0.30,"288,128 (1.59‰)",145.85 ± 0.27,"305,293 (1.60‰)",134.22 ± 0.25
I00-I99,"385,931 (2.27‰)",228.29 ± 0.37,"400,606 (2.21‰)",202.63 ± 0.32,"462,182 (2.41‰)",203.23 ± 0.30
I20_I25,"196,403 (1.16‰)",115.94 ± 0.26,"190,227 (1.05‰)",95.90 ± 0.22,"205,380 (1.07‰)",89.79 ± 0.20
Lung Cancer,"67,938 (0.40‰)",39.71 ± 0.15,"67,402 (0.37‰)",33.99 ± 0.13,"62,230 (0.33‰)",26.97 ± 0.11
I60_I69,"64,025 (0.38‰)",38.07 ± 0.15,"66,505 (0.37‰)",33.85 ± 0.13,"84,708 (0.44‰)",37.33 ± 0.13
I10_I15,"30,632 (0.18‰)",17.99 ± 0.10,"39,565 (0.22‰)",19.96 ± 0.10,"56,397 (0.29‰)",24.86 ± 0.11
Köppen-Geiger Climate Zone: Temperate,,,,,,
All-site Cancer,"1,790,458 (1.86‰)",178.38 ± 0.13,"1,860,778 (1.85‰)",164.72 ± 0.12,"1,909,754 (1.83‰)",150.17 ± 0.11
I00-I99,"2,554,619 (2.66‰)",257.10 ± 0.16,"2,554,715 (2.54‰)",227.83 ± 0.14,"2,798,327 (2.68‰)",222.68 ± 0.13
I20_I25,"1,277,863 (1.33‰)",128.25 ± 0.11,"1,172,960 (1.16‰)",104.12 ± 0.10,"1,172,381 (1.12‰)",92.60 ± 0.09
Lung Cancer,"511,128 (0.53‰)",50.87 ± 0.07,"503,100 (0.50‰)",44.25 ± 0.06,"460,270 (0.44‰)",35.59 ± 0.05
I60_I69,"424,116 (0.44‰)",42.97 ± 0.07,"423,752 (0.42‰)",38.11 ± 0.06,"483,155 (0.46‰)",38.67 ± 0.06
I10_I15,"196,136 (0.20‰)",19.59 ± 0.04,"233,465 (0.23‰)",20.69 ± 0.04,"324,384 (0.31‰)",25.83 ± 0.05
Köppen-Geiger Climate Zone: Continental,,,,,,
All-site Cancer,"751,137 (1.97‰)",178.38 ± 0.21,"763,666 (1.97‰)",166.34 ± 0.19,"766,010 (1.96‰)",152.80 ± 0.18
I00-I99,"1,048,111 (2.75‰)",242.09 ± 0.24,"1,036,021 (2.68‰)",219.83 ± 0.22,"1,086,991 (2.78‰)",214.59 ± 0.21
I20_I25,"516,567 (1.36‰)",119.43 ± 0.17,"475,133 (1.23‰)",100.83 ± 0.15,"451,956 (1.16‰)",89.03 ± 0.13
Lung Cancer,"208,109 (0.55‰)",49.72 ± 0.11,"204,807 (0.53‰)",44.57 ± 0.10,"186,287 (0.48‰)",36.62 ± 0.09
I60_I69,"173,130 (0.45‰)",40.01 ± 0.10,"165,621 (0.43‰)",35.28 ± 0.09,"174,692 (0.45‰)",34.55 ± 0.08
I10_I15,"70,661 (0.19‰)",16.23 ± 0.06,"81,449 (0.21‰)",17.22 ± 0.06,"106,677 (0.27‰)",21.09 ± 0.07
DOE National,,,,,,
All-site Cancer,"2,810,555 (1.86‰)",176.13 ± 0.11,"2,912,572 (1.85‰)",163.07 ± 0.10,"2,981,057 (1.83‰)",149.03 ± 0.09
I00-I99,"3,988,661 (2.64‰)",250.09 ± 0.13,"3,991,342 (2.53‰)",223.07 ± 0.11,"4,347,500 (2.67‰)",218.52 ± 0.11
I20_I25,"1,990,833 (1.32‰)",124.57 ± 0.09,"1,838,320 (1.17‰)",102.38 ± 0.08,"1,829,717 (1.12‰)",91.40 ± 0.07
Lung Cancer,"787,175 (0.52‰)",49.35 ± 0.06,"775,309 (0.49‰)",43.20 ± 0.05,"708,787 (0.44‰)",34.87 ± 0.04
I60_I69,"661,271 (0.44‰)",41.68 ± 0.05,"655,878 (0.42‰)",36.92 ± 0.05,"742,555 (0.46‰)",37.49 ± 0.04
