ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,MRD_mean,MRD_lower,MRD_upper
C22,Liver,2000_2005,2011_2015,10,Q2,1.54,1.41,1.68,1.8,1.49,2.11
C22,Liver,2000_2005,2011_2015,10,Q3,1.73,1.59,1.9,2.46,2.14,2.76
C22,Liver,2000_2005,2011_2015,10,Q4,1.85,1.69,2.03,2.84,2.53,3.16
C22,Liver,2000_2005,2011_2015,10,Q5,1.97,1.8,2.17,3.24,2.91,3.57
C22,Liver,2000_2005,2016_2020,15,Q2,1.46,1.36,1.58,1.92,1.59,2.25
C22,Liver,2000_2005,2016_2020,15,Q3,1.53,1.43,1.65,2.21,1.89,2.54
C22,Liver,2000_2005,2016_2020,15,Q4,1.56,1.45,1.69,2.34,2.01,2.67
C22,Liver,2000_2005,2016_2020,15,Q5,1.66,1.54,1.8,2.75,2.41,3.09
C25,Pancreas,2000_2005,2006_2010,5,Q2,1.47,1.38,1.56,3.19,2.71,3.65
C25,Pancreas,2000_2005,2006_2010,5,Q3,1.54,1.45,1.63,3.65,3.2,4.08
C25,Pancreas,2000_2005,2006_2010,5,Q4,1.63,1.53,1.73,4.26,3.8,4.69
C25,Pancreas,2000_2005,2006_2010,5,Q5,1.72,1.61,1.82,4.86,4.39,5.33
C25,Pancreas,2000_2005,2011_2015,10,Q2,1.42,1.34,1.49,3.02,2.58,3.45
C25,Pancreas,2000_2005,2011_2015,10,Q3,1.48,1.4,1.56,3.48,3.05,3.91
C25,Pancreas,2000_2005,2011_2015,10,Q4,1.54,1.46,1.63,3.93,3.52,4.36
C25,Pancreas,2000_2005,2011_2015,10,Q5,1.62,1.53,1.71,4.46,4.0,4.91
C25,Pancreas,2000_2005,2016_2020,15,Q2,1.38,1.31,1.45,2.86,2.41,3.3
C25,Pancreas,2000_2005,2016_2020,15,Q3,1.45,1.38,1.52,3.45,3.03,3.86
C25,Pancreas,2000_2005,2016_2020,15,Q4,1.49,1.42,1.57,3.74,3.31,4.16
C25,Pancreas,2000_2005,2016_2020,15,Q5,1.57,1.49,1.66,4.39,3.92,4.84
C34,Lung,2000_2005,2006_2010,5,Q2,1.17,1.13,1.21,7.66,6.23,9.07
C34,Lung,2000_2005,2006_2010,5,Q3,1.18,1.14,1.21,7.98,6.6,9.39
C34,Lung,2000_2005,2006_2010,5,Q4,1.2,1.16,1.24,9.08,7.55,10.49
C34,Lung,2000_2005,2006_2010,5,Q5,1.24,1.2,1.28,10.96,9.38,12.47
C34,Lung,2000_2005,2011_2015,10,Q2,1.15,1.12,1.18,6.18,4.92,7.47
C34,Lung,2000_2005,2011_2015,10,Q3,1.15,1.11,1.18,6.16,4.89,7.43
C34,Lung,2000_2005,2011_2015,10,Q4,1.17,1.13,1.2,6.93,5.61,8.27
C34,Lung,2000_2005,2011_2015,10,Q5,1.18,1.14,1.22,7.39,5.95,8.86
C34,Lung,2000_2005,2016_2020,15,Q2,1.13,1.1,1.17,4.81,3.68,5.94
C34,Lung,2000_2005,2016_2020,15,Q3,1.13,1.1,1.17,4.66,3.58,5.77
C34,Lung,2000_2005,2016_2020,15,Q4,1.14,1.1,1.17,4.84,3.7,5.95
C34,Lung,2000_2005,2016_2020,15,Q5,1.15,1.11,1.19,5.39,4.18,6.61
C50,Breast,2000_2005,2006_2010,5,Q2,1.42,1.34,1.51,3.27,2.78,3.76
C50,Breast,2000_2005,2006_2010,5,Q3,1.51,1.43,1.6,3.94,3.46,4.43
C50,Breast,2000_2005,2006_2010,5,Q4,1.65,1.55,1.75,4.99,4.51,5.48
C50,Breast,2000_2005,2006_2010,5,Q5,1.75,1.65,1.86,5.79,5.28,6.31
C50,Breast,2000_2005,2011_2015,10,Q2,1.53,1.44,1.63,3.61,3.15,4.07
C50,Breast,2000_2005,2011_2015,10,Q3,1.59,1.5,1.69,4.05,3.6,4.49
C50,Breast,2000_2005,2011_2015,10,Q4,1.68,1.58,1.79,4.68,4.22,5.13
C50,Breast,2000_2005,2011_2015,10,Q5,1.82,1.7,1.94,5.58,5.1,6.06
C50,Breast,2000_2005,2016_2020,15,Q2,1.38,1.3,1.47,2.66,2.19,3.12
C50,Breast,2000_2005,2016_2020,15,Q3,1.46,1.37,1.55,3.2,2.74,3.65
C50,Breast,2000_2005,2016_2020,15,Q4,1.57,1.48,1.68,3.99,3.53,4.44
C50,Breast,2000_2005,2016_2020,15,Q5,1.67,1.57,1.78,4.67,4.17,5.13
C56,Ovary,2000_2005,2006_2010,5,Q2,1.62,1.47,1.79,1.21,0.98,1.44
C56,Ovary,2000_2005,2006_2010,5,Q3,2.01,1.82,2.24,1.97,1.74,2.21
C56,Ovary,2000_2005,2006_2010,5,Q4,2.35,2.12,2.63,2.64,2.4,2.88
C56,Ovary,2000_2005,2006_2010,5,Q5,2.55,2.29,2.87,3.03,2.77,3.28
C56,Ovary,2000_2005,2011_2015,10,Q2,1.55,1.41,1.71,1.0,0.81,1.19
C56,Ovary,2000_2005,2011_2015,10,Q3,1.96,1.77,2.17,1.73,1.52,1.93
C56,Ovary,2000_2005,2011_2015,10,Q4,2.32,2.1,2.59,2.38,2.17,2.59
C56,Ovary,2000_2005,2011_2015,10,Q5,2.44,2.2,2.73,2.59,2.37,2.81
