ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q3,1.3075,1.2515,1.3657,30.7459,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q4,1.4098,1.3477,1.4762,40.9819,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q5,1.5427,1.4696,1.6186,54.2667,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q2,1.1887,1.1431,1.2374,18.8662,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q3,1.2603,1.2111,1.313,26.0274,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q4,1.3578,1.3034,1.4167,35.7804,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q5,1.4929,1.4312,1.5613,49.2948,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q2,1.1465,1.1047,1.1911,14.6536,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q3,1.1856,1.142,1.2323,18.5644,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q4,1.2686,1.2211,1.3214,26.8635,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q5,1.3713,1.3179,1.4316,37.1324,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q2,1.2237,1.1484,1.3023,22.3661,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q3,1.272,1.1944,1.3573,27.1965,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q4,1.3787,1.2932,1.471,37.8699,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q5,1.4293,1.3363,1.5308,42.9267,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q2,1.1755,1.1078,1.25,17.552,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q3,1.2114,1.1418,1.2872,21.1411,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.2933,1.2181,1.3809,29.333,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.3497,1.2647,1.4434,34.9727,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q2,1.1682,1.1044,1.2386,16.8155,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q3,1.1916,1.1275,1.2623,19.1636,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q4,1.2952,1.2224,1.3789,29.525,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q5,1.3941,1.3076,1.4869,39.411,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q2,1.8534,1.6824,2.0455,85.3382,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q3,2.2267,2.0202,2.4615,122.6685,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q4,2.4538,2.2171,2.7188,145.3818,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q5,2.6839,2.4195,2.991,168.3853,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q2,1.738,1.5907,1.9065,73.7995,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q3,2.0098,1.8437,2.2051,100.9783,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q4,2.2633,2.0756,2.4941,126.3341,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q5,2.4594,2.2406,2.7225,145.9424,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q2,1.6209,1.4953,1.7528,62.0915,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q3,1.7614,1.6287,1.9035,76.1433,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q4,1.9463,1.7969,2.1094,94.6258,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q5,2.1355,1.9645,2.3229,113.5542,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q2,1.901,1.5969,2.2768,90.104,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q3,2.7418,2.2857,3.3246,174.1785,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q4,3.7658,3.1168,4.6172,276.576,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q5,4.5171,3.7243,5.5312,351.7101,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q2,1.9587,1.6955,2.2963,95.8734,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q3,2.8462,2.4369,3.3822,184.6169,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q4,3.3634,2.8492,4.0285,236.3376,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q5,4.0139,3.3837,4.8414,301.3906,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q2,1.9411,1.6597,2.2929,94.1081,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q3,2.8033,2.3709,3.3727,180.3315,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q4,3.4246,2.8801,4.1537,242.4638,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q5,4.1551,3.4633,5.0759,315.5052,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,3.0475,1.4465,10.0364,204.7466,0.0267
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,5.6699,2.5884,20.5018,466.9938,0.0267
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,8.2055,3.6473,30.8274,720.5497,0.0267
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,13.3344,5.795,51.2042,1233.4439,0.0267
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,-0.1173,1.6842,10.5828,-111.7304,0.0192
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,-1.7714,2.4777,16.5627,-277.1352,0.0192
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,-3.7268,3.6494,26.51,-472.6766,0.0192
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,-7.5322,6.2205,47.2104,-853.2205,0.0192
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,3.3315,1.682,7.3234,233.1533,0.0022
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,5.5728,2.7034,13.2641,457.2836,0.0022
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,8.6565,3.9882,20.5494,765.6487,0.0022
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,14.3314,6.4685,34.6177,1333.142,0.0022
