Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2016-2020,C61,Prostate Cancer,RUCC,3,14131,113762539,8.3075,0.0704,8.1711,8.4457,8.31 ± 0.07
2016-2020,C61,Prostate Cancer,RUCC,4,3251,23379649,8.2347,0.1455,7.954,8.5227,8.23 ± 0.15
2016-2020,C61,Prostate Cancer,RUCC,National,156629,1633728425,7.7977,0.0199,7.7591,7.8364,7.80 ± 0.02
2016-2020,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,1,56232,1403347391,3.3476,0.0143,3.32,3.3754,3.35 ± 0.01
2016-2020,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,2,5309,93238846,4.1718,0.0585,4.0603,4.2856,4.17 ± 0.06
2016-2020,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,3,7203,113762539,4.3526,0.0526,4.2527,4.4543,4.35 ± 0.05
2016-2020,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,4,1540,23379649,4.024,0.1057,3.8255,4.2301,4.02 ± 0.11
2016-2020,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,National,70284,1633728425,3.4932,0.0134,3.4674,3.5191,3.49 ± 0.01
2016-2020,C82_C85,Non-Hodgkin Lymphoma,RUCC,1,83468,1403347391,5.058,0.0177,5.0237,5.0924,5.06 ± 0.02
2016-2020,C82_C85,Non-Hodgkin Lymphoma,RUCC,2,6821,93238846,5.4293,0.0669,5.3012,5.5597,5.43 ± 0.07
2016-2020,C82_C85,Non-Hodgkin Lymphoma,RUCC,3,9155,113762539,5.5208,0.0588,5.4083,5.6351,5.52 ± 0.06
2016-2020,C82_C85,Non-Hodgkin Lymphoma,RUCC,4,1914,23379649,4.988,0.1168,4.767,5.2166,4.99 ± 0.12
2016-2020,C82_C85,Non-Hodgkin Lymphoma,RUCC,National,101358,1633728425,5.1192,0.0163,5.0878,5.1509,5.12 ± 0.02
2016-2020,C91_C95,Leukemia,RUCC,1,95548,1403347391,5.8651,0.0192,5.828,5.9024,5.87 ± 0.02
2016-2020,C91_C95,Leukemia,RUCC,2,7707,93238846,6.2231,0.0724,6.0849,6.3636,6.22 ± 0.07
2016-2020,C91_C95,Leukemia,RUCC,3,10384,113762539,6.414,0.0646,6.2912,6.5386,6.41 ± 0.06
2016-2020,C91_C95,Leukemia,RUCC,4,2310,23379649,6.0612,0.1294,5.8165,6.3135,6.06 ± 0.13
2016-2020,C91_C95,Leukemia,RUCC,National,115949,1633728425,5.9396,0.0177,5.9054,5.9739,5.94 ± 0.02
2016-2020,F01,Vascular Dementia (VD),RUCC,1,73047,1403347391,4.3762,0.0163,4.3446,4.4081,4.38 ± 0.02
2016-2020,F01,Vascular Dementia (VD),RUCC,2,5043,93238846,3.9475,0.0558,3.8393,4.058,3.95 ± 0.06
2016-2020,F01,Vascular Dementia (VD),RUCC,3,5997,113762539,3.5513,0.046,3.4619,3.6423,3.55 ± 0.05
2016-2020,F01,Vascular Dementia (VD),RUCC,4,1362,23379649,3.4515,0.0939,3.2706,3.6398,3.45 ± 0.09
2016-2020,F01,Vascular Dementia (VD),RUCC,National,85449,1633728425,4.2617,0.0147,4.2332,4.2904,4.26 ± 0.01
2016-2020,F03,Unspecified Dementia (UD),RUCC,1,411915,1403347391,24.6478,0.0386,24.5726,24.7232,24.65 ± 0.04
2016-2020,F03,Unspecified Dementia (UD),RUCC,2,37309,93238846,29.2092,0.1517,28.9136,29.5071,29.21 ± 0.15
2016-2020,F03,Unspecified Dementia (UD),RUCC,3,46857,113762539,27.7368,0.1285,27.4862,27.9891,27.74 ± 0.13
2016-2020,F03,Unspecified Dementia (UD),RUCC,4,9608,23379649,24.3256,0.2488,23.8416,24.8169,24.33 ± 0.25
2016-2020,F03,Unspecified Dementia (UD),RUCC,National,505689,1633728425,25.1961,0.0356,25.1267,25.2657,25.20 ± 0.04
2016-2020,G10,Huntington's Disease (HD),RUCC,1,4541,1403347391,0.2796,0.0042,0.2715,0.2878,0.28 ± 0.00
2016-2020,G10,Huntington's Disease (HD),RUCC,2,448,93238846,0.4036,0.02,0.367,0.4427,0.40 ± 0.02
2016-2020,G10,Huntington's Disease (HD),RUCC,3,552,113762539,0.3942,0.0178,0.362,0.4285,0.39 ± 0.02
2016-2020,G10,Huntington's Disease (HD),RUCC,4,100,23379649,0.3055,0.0329,0.2486,0.3716,0.31 ± 0.03
2016-2020,G10,Huntington's Disease (HD),RUCC,National,5641,1633728425,0.2947,0.004,0.2871,0.3025,0.29 ± 0.00
2016-2020,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,1,28949,1403347391,1.705,0.0102,1.6854,1.7247,1.70 ± 0.01
2016-2020,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,2,2387,93238846,1.9049,0.0401,1.8293,1.9829,1.90 ± 0.04
2016-2020,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,3,2791,113762539,1.6921,0.033,1.6299,1.7561,1.69 ± 0.03
2016-2020,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,4,637,23379649,1.7014,0.0704,1.5718,1.8388,1.70 ± 0.07
2016-2020,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,National,34764,1633728425,1.7133,0.0094,1.6954,1.7314,1.71 ± 0.01
2016-2020,G20,Parkinson's Disease (PD),RUCC,1,141497,1403347391,8.7514,0.0235,8.7058,8.7971,8.75 ± 0.02
2016-2020,G20,Parkinson's Disease (PD),RUCC,2,11239,93238846,8.9713,0.0851,8.8062,9.1388,8.97 ± 0.09
2016-2020,G20,Parkinson's Disease (PD),RUCC,3,14306,113762539,8.5904,0.0722,8.4502,8.7323,8.59 ± 0.07
2016-2020,G20,Parkinson's Disease (PD),RUCC,4,2875,23379649,7.3937,0.1384,7.1258,7.669,7.39 ± 0.14
2016-2020,G20,Parkinson's Disease (PD),RUCC,National,169917,1633728425,8.7249,0.0213,8.6834,8.7665,8.72 ± 0.02
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,1,1158736,1403347391,69.796,0.0653,69.6689,69.9232,69.80 ± 0.07
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,2,99035,93238846,77.9438,0.2488,77.4591,78.4307,77.94 ± 0.25
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,3,126963,113762539,75.4529,0.2125,75.0384,75.8691,75.45 ± 0.21
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,4,26309,23379649,66.9433,0.4143,66.1368,67.7572,66.94 ± 0.41
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,National,1411043,1633728425,70.7444,0.0599,70.6277,70.8612,70.74 ± 0.06
2016-2020,G30,Alzheimer's Disease (AD),RUCC,1,503328,1403347391,30.3156,0.043,30.2319,30.3995,30.32 ± 0.04
2016-2020,G30,Alzheimer's Disease (AD),RUCC,2,43057,93238846,33.9108,0.164,33.5913,34.2327,33.91 ± 0.16
2016-2020,G30,Alzheimer's Disease (AD),RUCC,3,57012,113762539,33.8823,0.1423,33.6047,34.1616,33.88 ± 0.14
2016-2020,G30,Alzheimer's Disease (AD),RUCC,4,11827,23379649,30.0712,0.2772,29.5317,30.6181,30.07 ± 0.28
2016-2020,G30,Alzheimer's Disease (AD),RUCC,National,615224,1633728425,30.8483,0.0395,30.7713,30.9255,30.85 ± 0.04
