Model	Lag	Q1	Q2	Q3	Q4	Q5
Land	15	0.0	2.71(-0.05,5.64)	4.23(1.24,7.14)**	3.25(-0.04,6.55)	4.07(0.64,7.59)*
Built	5	0.0	2.98(0.07,5.84)*	3.77(0.76,6.89)*	3.92(0.83,6.95)*	4.64(1.48,7.82)**
Built	10	0.0	4.10(1.15,7.03)**	2.85(-0.23,5.85)	3.50(0.57,6.43)*	3.72(0.64,6.69)*
Built	15	0.0	3.43(0.57,6.33)*	1.20(-1.91,4.27)	1.88(-1.10,4.97)	3.34(0.18,6.51)*
Social	5	0.0	3.22(-0.52,6.90)	5.23(1.78,8.69)**	7.56(4.22,11.03)***	12.92(9.60,16.37)***
Social	10	0.0	3.31(-0.36,7.05)	6.29(2.89,9.69)***	7.84(4.48,11.17)***	12.99(9.74,16.32)***
Social	15	0.0	2.16(-1.67,5.82)	3.43(-0.11,7.07)	5.35(1.84,8.80)**	9.44(5.99,12.88)***
RUCC: Non-metropolitan urbanized
EQI	5	0.0	-0.36(-5.91,5.30)	7.76(2.63,12.67)**	7.37(2.50,12.32)**	10.33(5.49,15.31)***
EQI	10	0.0	1.35(-4.63,7.07)	5.33(0.08,10.54)*	7.46(2.32,12.57)**	12.96(7.65,18.22)***
EQI	15	0.0	0.06(-5.53,5.74)	3.21(-1.91,8.35)	3.64(-1.53,8.76)	11.89(6.53,17.34)***
Air	5	0.0	-1.73(-7.69,4.17)	0.71(-4.69,6.03)	7.14(2.14,12.22)**	4.72(-0.70,10.47)
Air	10	0.0	-1.44(-7.42,4.75)	-0.06(-5.49,5.37)	8.49(2.98,13.75)**	9.06(3.32,14.74)***
Air	15	0.0	1.39(-4.63,7.60)	-0.94(-6.60,4.35)	6.24(0.80,11.57)*	8.28(2.29,13.87)**
Water	5	0.0	3.33(-2.07,8.68)	3.50(-1.36,8.35)	2.43(-2.30,6.97)	5.00(0.52,9.62)*
Water	10	0.0	0.86(-5.01,6.72)	4.22(-1.07,9.44)	3.16(-1.93,7.89)	7.47(2.49,12.45)**
Water	15	0.0	2.72(-3.51,8.76)	2.73(-2.51,8.08)	3.35(-1.80,8.30)	6.36(1.22,11.52)*
Land	5	0.0	2.66(-1.71,7.29)	3.73(-0.83,8.21)	1.13(-3.40,5.57)	2.26(-2.74,7.12)
Land	10	0.0	2.39(-2.05,6.86)	2.76(-1.93,7.41)	0.82(-3.72,5.27)	0.48(-4.60,5.54)
Land	15	0.0	0.23(-4.08,4.64)	1.47(-2.94,5.97)	2.02(-2.60,6.68)	2.36(-2.79,7.65)
Built	5	0.0	0.46(-5.80,6.70)	4.36(-0.92,9.73)	4.77(-0.50,9.83)	4.30(-0.96,9.61)
Built	10	0.0	-0.69(-6.88,5.45)	5.24(-0.10,10.71)	4.17(-1.08,9.37)	5.90(0.71,11.30)*
Built	15	0.0	0.06(-6.44,6.19)	5.88(0.36,11.28)*	3.94(-1.26,9.01)	6.07(0.65,11.36)*
Social	5	0.0	3.76(-0.77,8.44)	4.37(-0.38,8.97)	4.18(-0.34,8.77)	5.94(0.92,10.99)*
Social	10	0.0	0.28(-4.21,4.74)	2.78(-1.86,7.56)	3.08(-1.69,7.79)	6.22(0.91,11.27)*
Social	15	0.0	-0.25(-4.74,4.38)	3.41(-1.21,8.13)	2.15(-2.49,6.73)	5.56(0.35,10.74)*
RUCC: Less urbanized
EQI	5	0.0	5.93(3.00,8.84)***	7.44(4.41,10.49)***	10.47(7.17,13.79)***	12.03(7.65,16.40)***
EQI	10	0.0	7.50(4.36,10.50)***	7.63(4.35,10.92)***	10.67(7.24,14.04)***	13.30(8.67,17.80)***
EQI	15	0.0	6.05(2.94,9.33)**	5.71(2.39,9.11)**	10.45(6.71,14.09)***	11.78(7.11,16.46)***
Air	5	0.0	2.27(-0.66,5.23)	3.36(0.25,6.44)*	8.63(5.18,12.10)***	6.48(0.58,12.37)*
Air	10	0.0	3.74(0.60,6.77)*	7.17(3.72,10.54)***	10.95(7.08,14.79)***	9.20(3.02,15.02)**
Air	15	0.0	4.27(1.17,7.43)**	6.83(3.44,10.32)***	9.82(6.02,13.69)***	8.84(2.86,15.11)**
Water	5	0.0	0.62(-3.01,4.42)	2.03(-1.55,5.63)	5.17(1.71,8.76)**	2.72(-0.98,6.39)
Water	10	0.0	2.69(-1.32,6.60)	3.05(-0.81,6.77)	4.41(0.51,8.18)*	2.64(-1.48,6.60)
Water	15	0.0	3.16(-0.92,7.35)	2.94(-1.18,7.14)	3.04(-1.03,7.20)	2.84(-1.42,7.37)
Land	5	0.0	-0.51(-3.30,2.51)	-0.44(-3.39,2.64)	0.27(-3.19,3.61)	0.06(-3.68,3.78)
Land	10	0.0	-1.23(-4.28,1.81)	0.62(-2.64,3.87)	-1.11(-4.66,2.57)	-0.44(-4.40,3.71)
Land	15	0.0	0.74(-2.39,3.88)	2.00(-1.25,5.25)	2.98(-0.63,6.75)	2.03(-2.10,6.34)
Built	5	0.0	3.78(0.67,6.81)*	4.77(1.67,7.84)**	5.53(2.17,8.74)***	5.17(1.61,8.62)**
Built	10	0.0	3.78(0.53,6.99)*	4.68(1.47,7.86)**	5.65(2.12,9.15)**	3.94(0.21,7.58)*
Built	15	0.0	4.41(1.09,7.85)**	4.92(1.60,8.21)**	6.35(2.95,9.85)***	2.30(-1.35,5.96)
Social	5	0.0	4.62(2.06,7.25)***	4.83(1.83,7.88)**	4.06(0.81,7.39)*	5.06(0.90,9.24)*
Social	10	0.0	4.47(1.69,7.11)**	3.98(0.63,7.18)*	3.67(0.05,7.28)*	5.94(1.33,10.29)**
Social	15	0.0	1.98(-0.78,4.71)	1.13(-2.20,4.38)	2.36(-1.37,5.99)	5.62(0.89,10.12)*
RUCC: Thinly populated
EQI	5	0.0	8.70(4.67,12.73)***	10.61(5.96,15.20)***	10.67(3.95,17.28)**	2.44(-6.42,11.41)
EQI	10	0.0	8.47(4.07,12.93)***	11.13(6.23,15.98)***	10.67(3.78,17.68)**	2.40(-6.57,11.66)
EQI	15	0.0	8.63(4.46,12.80)***	11.03(6.08,15.92)***	9.10(2.05,16.16)*	1.61(-7.96,10.69)
Air	5	0.0	4.54(-0.06,8.98)	8.84(3.19,14.44)**	4.88(-3.01,13.05)	0.01(-9.57,9.79)
Air	10	0.0	5.53(0.35,10.42)*	10.94(4.65,17.01)**	4.80(-3.16,12.73)	0.01(-9.64,9.66)
Air	15	0.0	5.25(0.36,10.36)*	10.31(3.90,16.38)**	3.79(-4.49,11.69)	-0.14(-9.90,9.66)
Water	5	0.0	0.16(-4.34,4.63)	0.14(-4.79,5.06)	4.64(-0.74,10.11)	3.72(-2.00,9.21)
Water	10	0.0	-0.16(-4.92,4.49)	-0.65(-5.78,4.50)	6.20(0.68,11.87)*	5.00(-1.05,10.95)
Water	15	0.0	0.35(-4.21,4.86)	0.96(-4.21,6.15)	2.09(-3.35,7.55)	3.83(-1.92,9.81)
Land	5	0.0	2.32(-2.42,7.23)	4.07(-0.97,8.92)	3.49(-1.83,8.62)	3.89(-1.54,9.46)
Land	10	0.0	2.05(-2.75,6.92)	-0.21(-5.09,4.70)	1.48(-3.93,6.81)	5.50(-0.31,11.21)
Land	15	0.0	2.41(-2.59,7.26)	0.23(-4.76,5.31)	1.52(-3.75,6.88)	7.04(1.54,12.90)*
Built	5	0.0	2.93(-1.29,6.99)	4.11(-0.68,8.85)	4.63(-1.08,10.47)	0.15(-5.75,6.12)
Built	10	0.0	4.24(-0.22,8.55)	5.91(0.92,10.77)*	4.19(-1.57,10.03)	1.73(-4.68,7.98)
Built	15	0.0	3.12(-1.25,7.52)	5.47(0.52,10.50)*	3.57(-2.33,9.43)	2.08(-4.10,8.12)
Social	5	0.0	5.19(0.92,9.48)*	4.56(0.08,9.10)*	7.16(1.99,12.34)**	8.53(1.63,15.67)*
Social	10	0.0	2.34(-2.14,6.67)	4.36(-0.55,9.26)	9.97(4.67,15.30)**	7.95(1.05,14.87)*
Social	15	0.0	2.89(-1.46,7.24)	6.82(2.19,11.48)**	10.46(5.23,15.67)***	6.90(0.58,13.64)*
Census Region: Northeast
EQI	5	0.0	-2.76(-9.70,4.37)	-0.37(-5.88,5.51)	4.54(-0.92,9.78)	9.81(4.70,14.75)***
EQI	10	0.0	-3.34(-10.26,3.82)	-0.90(-6.94,5.11)	2.95(-2.37,8.53)	11.01(5.83,16.14)***
EQI	15	0.0	-5.07(-12.24,1.93)	-1.49(-7.54,4.75)	4.72(-0.71,10.39)	13.86(8.56,19.08)***
Air	5	0.0	5.31(-1.49,12.31)	-0.02(-5.74,5.84)	2.11(-3.72,7.82)	0.58(-5.05,6.24)
Air	10	0.0	4.71(-1.91,11.19)	-1.10(-6.91,4.67)	4.09(-1.44,9.98)	4.10(-1.44,9.67)
Air	15	0.0	2.05(-4.56,8.81)	-2.02(-8.00,4.05)	4.08(-1.85,9.84)	5.66(-0.03,11.53)
Water	5	0.0	-4.75(-10.35,0.83)	6.78(0.71,12.91)*	4.41(-0.72,9.36)	5.92(0.56,11.39)*
Water	10	0.0	-3.79(-9.57,1.90)	8.11(1.94,14.18)**	5.71(0.51,10.81)*	4.01(-1.47,9.61)
Water	15	0.0	-2.27(-8.14,3.77)	8.54(2.20,14.84)*	8.44(3.09,13.66)**	5.71(0.17,11.16)*
Land	5	0.0	-2.30(-8.24,3.68)	1.81(-3.59,7.05)	4.51(-0.70,9.69)	4.31(-1.29,9.66)
Land	10	0.0	0.42(-5.74,6.38)	2.40(-2.94,7.83)	3.99(-1.25,9.35)	3.92(-1.70,9.60)
Land	15	0.0	1.64(-4.22,7.67)	2.80(-2.26,8.01)	4.39(-0.78,9.52)	3.27(-2.24,8.85)
Built	5	0.0	2.72(-3.85,9.22)	-1.02(-6.46,4.45)	3.70(-1.72,8.86)	3.63(-1.51,8.73)
Built	10	0.0	2.69(-3.90,9.27)	-2.82(-8.05,2.50)	1.68(-3.29,6.71)	1.18(-3.74,6.16)
Built	15	0.0	-0.74(-7.53,5.76)	-1.71(-7.16,3.76)	5.60(0.16,11.03)*	3.54(-1.61,8.65)
Social	5	0.0	1.48(-4.58,7.43)	3.42(-1.86,8.69)	4.13(-0.92,9.19)	8.80(3.86,13.94)***
Social	10	0.0	1.06(-5.21,7.18)	4.58(-0.84,9.98)	3.60(-1.60,8.72)	10.03(4.96,15.17)***
Social	15	0.0	-1.40(-7.58,4.55)	4.53(-0.74,9.75)	3.43(-1.75,8.48)	8.41(3.51,13.33)***
Census Region: Midwest
EQI	5	0.0	11.09(7.20,14.82)***	13.58(10.11,16.97)***	17.96(14.52,21.38)***	24.47(21.05,27.78)***
EQI	10	0.0	12.01(7.92,15.85)***	14.39(10.59,18.01)***	19.55(15.75,23.20)***	28.12(24.39,31.74)***
EQI	15	0.0	11.51(7.25,15.60)***	12.73(8.91,16.53)***	18.79(15.01,22.52)***	26.56(22.71,30.22)***
Air	5	0.0	5.67(2.53,8.71)**	6.09(2.79,9.38)***	11.82(8.54,15.25)***	11.47(7.78,15.04)***
Air	10	0.0	5.93(2.63,9.14)***	8.96(5.47,12.36)***	12.61(8.90,16.28)***	13.74(9.81,17.66)***
Air	15	0.0	5.49(1.99,8.79)***	7.93(4.46,11.31)***	12.46(8.82,16.12)***	12.79(8.92,16.75)***
Water	5	0.0	0.46(-3.09,4.08)	0.96(-2.39,4.52)	1.78(-1.51,5.20)	3.57(-0.17,7.56)
Water	10	0.0	0.67(-3.21,4.56)	1.28(-2.55,5.37)	1.89(-1.87,5.66)	5.02(0.65,9.48)*
Water	15	0.0	-0.44(-4.23,3.59)	1.14(-2.82,5.09)	-0.48(-4.38,3.13)	5.02(0.74,9.30)*
