Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
PD,"22,118 (0.06‰)",6.85 ± 0.05,"27,520 (0.07‰)",7.40 ± 0.05,"37,297 (0.10‰)",8.69 ± 0.05
VD,"13,899 (0.04‰)",4.19 ± 0.04,"19,828 (0.05‰)",5.11 ± 0.04,"23,830 (0.06‰)",5.41 ± 0.04
ALS,"6,659 (0.02‰)",1.94 ± 0.02,"7,970 (0.02‰)",2.01 ± 0.02,"7,801 (0.02‰)",1.71 ± 0.02
HD,909 (0.00‰),0.25 ± 0.01,"1,016 (0.00‰)",0.26 ± 0.01,"1,162 (0.00‰)",0.26 ± 0.01
Köppen-Geiger Climate Zone: Dry,,,,,,
NDD,"96,196 (0.57‰)",57.69 ± 0.19,"121,546 (0.67‰)",61.53 ± 0.18,"133,264 (0.70‰)",58.42 ± 0.16
Dementia,"81,984 (0.48‰)",49.16 ± 0.17,"103,837 (0.57‰)",52.39 ± 0.16,"111,009 (0.58‰)",48.52 ± 0.15
AD,"40,899 (0.24‰)",24.55 ± 0.12,"50,042 (0.28‰)",25.32 ± 0.11,"68,843 (0.36‰)",30.15 ± 0.12
PD,"11,214 (0.07‰)",6.79 ± 0.06,"14,137 (0.08‰)",7.35 ± 0.06,"18,739 (0.10‰)",8.37 ± 0.06
VD,"4,357 (0.03‰)",2.61 ± 0.04,"6,387 (0.04‰)",3.21 ± 0.04,"8,330 (0.04‰)",3.63 ± 0.04
ALS,"2,998 (0.02‰)",1.74 ± 0.03,"3,572 (0.02‰)",1.80 ± 0.03,"3,516 (0.02‰)",1.53 ± 0.03
HD,385 (0.00‰),0.22 ± 0.01,433 (0.00‰),0.22 ± 0.01,498 (0.00‰),0.23 ± 0.01
Köppen-Geiger Climate Zone: Temperate,,,,,,
NDD,"599,375 (0.62‰)",61.13 ± 0.08,"796,604 (0.79‰)",71.65 ± 0.08,"875,012 (0.84‰)",70.24 ± 0.08
Dementia,"519,166 (0.54‰)",52.88 ± 0.07,"698,171 (0.69‰)",62.62 ± 0.08,"747,216 (0.72‰)",59.88 ± 0.07
AD,"246,990 (0.26‰)",25.21 ± 0.05,"293,192 (0.29‰)",26.38 ± 0.05,"399,635 (0.38‰)",32.10 ± 0.05
PD,"61,442 (0.06‰)",6.39 ± 0.03,"76,619 (0.08‰)",7.12 ± 0.03,"106,288 (0.10‰)",8.69 ± 0.03
VD,"29,809 (0.03‰)",3.04 ± 0.02,"41,728 (0.04‰)",3.74 ± 0.02,"52,952 (0.05‰)",4.23 ± 0.02
ALS,"18,767 (0.02‰)",1.86 ± 0.01,"21,814 (0.02‰)",1.92 ± 0.01,"21,508 (0.02‰)",1.67 ± 0.01
HD,"2,603 (0.00‰)",0.25 ± 0.01,"3,040 (0.00‰)",0.27 ± 0.01,"3,417 (0.00‰)",0.28 ± 0.00
Köppen-Geiger Climate Zone: Continental,,,,,,
NDD,"275,339 (0.72‰)",62.17 ± 0.12,"353,703 (0.91‰)",73.36 ± 0.12,"397,952 (1.02‰)",77.44 ± 0.12
Dementia,"237,108 (0.62‰)",53.12 ± 0.11,"309,201 (0.80‰)",63.59 ± 0.12,"343,882 (0.88‰)",66.53 ± 0.11
AD,"102,960 (0.27‰)",23.17 ± 0.07,"113,062 (0.29‰)",23.41 ± 0.07,"145,432 (0.37‰)",28.27 ± 0.07
PD,"28,913 (0.08‰)",6.81 ± 0.04,"34,297 (0.09‰)",7.54 ± 0.04,"44,422 (0.11‰)",8.99 ± 0.04
VD,"11,794 (0.03‰)",2.66 ± 0.02,"16,577 (0.04‰)",3.43 ± 0.03,"23,778 (0.06‰)",4.61 ± 0.03
ALS,"9,318 (0.02‰)",2.24 ± 0.02,"10,205 (0.03‰)",2.24 ± 0.02,"9,648 (0.02‰)",1.92 ± 0.02
HD,"1,404 (0.00‰)",0.34 ± 0.01,"1,572 (0.00‰)",0.35 ± 0.01,"1,708 (0.00‰)",0.37 ± 0.01
DOE Climate Zone: Hot,,,,,,
NDD,"138,112 (0.62‰)",58.50 ± 0.16,"179,850 (0.75‰)",64.19 ± 0.15,"188,945 (0.74‰)",57.84 ± 0.13
Dementia,"118,577 (0.53‰)",50.24 ± 0.15,"155,838 (0.65‰)",55.46 ± 0.14,"156,752 (0.61‰)",47.86 ± 0.12
AD,"53,439 (0.24‰)",22.66 ± 0.10,"63,707 (0.27‰)",22.74 ± 0.09,"89,656 (0.35‰)",27.43 ± 0.09
PD,"15,392 (0.07‰)",6.56 ± 0.05,"19,294 (0.08‰)",7.05 ± 0.05,"27,354 (0.11‰)",8.49 ± 0.05
VD,"6,049 (0.03‰)",2.56 ± 0.03,"8,963 (0.04‰)",3.19 ± 0.03,"11,444 (0.04‰)",3.48 ± 0.03
ALS,"4,143 (0.02‰)",1.71 ± 0.03,"4,718 (0.02‰)",1.68 ± 0.02,"4,839 (0.02‰)",1.48 ± 0.02
HD,466 (0.00‰),0.19 ± 0.01,615 (0.00‰),0.23 ± 0.01,681 (0.00‰),0.23 ± 0.01
DOE Climate Zone: Warm,,,,,,
NDD,"228,603 (0.57‰)",63.55 ± 0.13,"303,354 (0.72‰)",73.19 ± 0.13,"335,173 (0.77‰)",71.22 ± 0.12
Dementia,"199,302 (0.50‰)",55.47 ± 0.12,"266,857 (0.64‰)",64.35 ± 0.13,"286,433 (0.66‰)",60.88 ± 0.11
AD,"103,626 (0.26‰)",28.89 ± 0.09,"132,419 (0.32‰)",31.99 ± 0.09,"189,295 (0.43‰)",40.28 ± 0.09
PD,"22,488 (0.06‰)",6.32 ± 0.04,"28,616 (0.07‰)",7.06 ± 0.04,"40,997 (0.09‰)",8.80 ± 0.04
VD,"13,028 (0.03‰)",3.62 ± 0.03,"17,937 (0.04‰)",4.31 ± 0.03,"19,919 (0.05‰)",4.21 ± 0.03
ALS,"6,813 (0.02‰)",1.76 ± 0.02,"7,881 (0.02‰)",1.78 ± 0.02,"7,743 (0.02‰)",1.54 ± 0.02
HD,988 (0.00‰),0.25 ± 0.01,"1,178 (0.00‰)",0.26 ± 0.01,"1,313 (0.00‰)",0.27 ± 0.01
DOE Climate Zone: Mixed,,,,,,
NDD,"233,797 (0.62‰)",58.67 ± 0.12,"311,633 (0.80‰)",70.01 ± 0.13,"346,985 (0.87‰)",70.41 ± 0.12
Dementia,"201,762 (0.54‰)",50.49 ± 0.11,"271,956 (0.70‰)",60.84 ± 0.12,"297,270 (0.75‰)",60.17 ± 0.11
AD,"93,883 (0.25‰)",23.55 ± 0.08,"105,378 (0.27‰)",23.69 ± 0.07,"136,527 (0.34‰)",27.72 ± 0.08
PD,"24,406 (0.07‰)",6.28 ± 0.04,"30,593 (0.08‰)",7.14 ± 0.04,"40,865 (0.10‰)",8.49 ± 0.04
