Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
Neurodegenerative Disease (NDD),"228,603 (0.57‰)",63.55 ± 0.13,"303,354 (0.72‰)",73.19 ± 0.13,"335,173 (0.77‰)",71.22 ± 0.12
Unspecified Dementia (UD),"82,648 (0.21‰)",22.97 ± 0.08,"116,501 (0.28‰)",28.06 ± 0.08,"77,219 (0.18‰)",16.39 ± 0.06
Alzheimer's Disease (AD),"103,626 (0.26‰)",28.89 ± 0.09,"132,419 (0.32‰)",31.99 ± 0.09,"189,295 (0.43‰)",40.28 ± 0.09
Parkinson's Disease (PD),"22,488 (0.06‰)",6.32 ± 0.04,"28,616 (0.07‰)",7.06 ± 0.04,"40,997 (0.09‰)",8.80 ± 0.04
Vascular Dementia (VD),"13,028 (0.03‰)",3.62 ± 0.03,"17,937 (0.04‰)",4.31 ± 0.03,"19,919 (0.05‰)",4.21 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"6,813 (0.02‰)",1.76 ± 0.02,"7,881 (0.02‰)",1.78 ± 0.02,"7,743 (0.02‰)",1.54 ± 0.02
DOE Climate Zone: Mixed,,,,,,
Neurodegenerative Disease (NDD),"233,797 (0.62‰)",58.67 ± 0.12,"311,633 (0.80‰)",70.01 ± 0.13,"346,985 (0.87‰)",70.41 ± 0.12
Unspecified Dementia (UD),"96,694 (0.26‰)",24.14 ± 0.08,"151,385 (0.39‰)",33.75 ± 0.09,"139,390 (0.35‰)",28.13 ± 0.08
Alzheimer's Disease (AD),"93,883 (0.25‰)",23.55 ± 0.08,"105,378 (0.27‰)",23.69 ± 0.07,"136,527 (0.34‰)",27.72 ± 0.08
Parkinson's Disease (PD),"24,406 (0.07‰)",6.28 ± 0.04,"30,593 (0.08‰)",7.14 ± 0.04,"40,865 (0.10‰)",8.49 ± 0.04
Vascular Dementia (VD),"11,185 (0.03‰)",2.80 ± 0.03,"15,193 (0.04‰)",3.41 ± 0.03,"21,353 (0.05‰)",4.32 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"7,629 (0.02‰)",1.89 ± 0.02,"9,084 (0.02‰)",2.03 ± 0.02,"8,850 (0.02‰)",1.75 ± 0.02
DOE Climate Zone: Cool,,,,,,
Neurodegenerative Disease (NDD),"284,361 (0.70‰)",61.39 ± 0.12,"368,945 (0.89‰)",72.85 ± 0.12,"412,568 (0.98‰)",76.10 ± 0.12
Unspecified Dementia (UD),"125,376 (0.31‰)",26.77 ± 0.08,"186,097 (0.45‰)",36.28 ± 0.09,"180,474 (0.43‰)",32.95 ± 0.08
Alzheimer's Disease (AD),"107,300 (0.27‰)",23.10 ± 0.07,"118,851 (0.29‰)",23.43 ± 0.07,"151,736 (0.36‰)",27.98 ± 0.07
Parkinson's Disease (PD),"30,217 (0.07‰)",6.78 ± 0.04,"35,771 (0.09‰)",7.47 ± 0.04,"46,469 (0.11‰)",8.91 ± 0.04
Vascular Dementia (VD),"12,065 (0.03‰)",2.60 ± 0.02,"17,755 (0.04‰)",3.49 ± 0.03,"23,883 (0.06‰)",4.39 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"9,403 (0.02‰)",2.14 ± 0.02,"10,471 (0.03‰)",2.17 ± 0.02,"10,006 (0.02‰)",1.88 ± 0.02
DOE Climate Zone: Cold,,,,,,
Neurodegenerative Disease (NDD),"76,082 (0.78‰)",64.83 ± 0.24,"96,278 (0.96‰)",74.79 ± 0.24,"109,244 (1.07‰)",79.30 ± 0.24
Unspecified Dementia (UD),"33,722 (0.34‰)",28.36 ± 0.16,"47,695 (0.48‰)",36.55 ± 0.17,"45,514 (0.45‰)",32.77 ± 0.15
Alzheimer's Disease (AD),"28,354 (0.29‰)",24.07 ± 0.14,"31,630 (0.32‰)",24.51 ± 0.14,"41,040 (0.40‰)",29.73 ± 0.15
Parkinson's Disease (PD),"8,095 (0.08‰)",7.21 ± 0.08,"9,632 (0.10‰)",7.91 ± 0.08,"12,337 (0.12‰)",9.28 ± 0.08
Vascular Dementia (VD),"3,166 (0.03‰)",2.69 ± 0.05,"4,275 (0.04‰)",3.31 ± 0.05,"7,541 (0.07‰)",5.45 ± 0.06
Amyotrophic Lateral Sclerosis (ALS),"2,745 (0.03‰)",2.50 ± 0.05,"3,046 (0.03‰)",2.51 ± 0.05,"2,812 (0.03‰)",2.07 ± 0.04
DOE Climate Zone: Very Cold,,,,,,
Neurodegenerative Disease (NDD),"9,955 (0.75‰)",65.55 ± 0.66,"11,793 (0.86‰)",71.82 ± 0.67,"13,313 (0.96‰)",74.84 ± 0.65
Unspecified Dementia (UD),"3,920 (0.30‰)",25.64 ± 0.41,"5,375 (0.39‰)",32.51 ± 0.45,"4,888 (0.35‰)",27.41 ± 0.39
Alzheimer's Disease (AD),"4,247 (0.32‰)",27.87 ± 0.43,"4,311 (0.32‰)",26.23 ± 0.40,"5,656 (0.41‰)",31.78 ± 0.42
Parkinson's Disease (PD),971 (0.07‰),6.62 ± 0.21,"1,147 (0.08‰)",7.25 ± 0.22,"1,427 (0.10‰)",8.18 ± 0.22
Vascular Dementia (VD),467 (0.04‰),3.09 ± 0.14,569 (0.04‰),3.50 ± 0.15,920 (0.07‰),5.19 ± 0.17
Amyotrophic Lateral Sclerosis (ALS),350 (0.03‰),2.33 ± 0.13,391 (0.03‰),2.33 ± 0.12,422 (0.03‰),2.28 ± 0.11
Cluster National,,,,,,
Neurodegenerative Disease (NDD),"974,873 (0.64‰)",61.05 ± 0.06,"1,276,544 (0.81‰)",71.00 ± 0.06,"1,410,777 (0.86‰)",70.75 ± 0.06
Unspecified Dementia (UD),"403,763 (0.27‰)",25.15 ± 0.04,"593,128 (0.38‰)",32.73 ± 0.04,"505,612 (0.31‰)",25.20 ± 0.04
Alzheimer's Disease (AD),"391,894 (0.26‰)",24.53 ± 0.04,"457,361 (0.29‰)",25.43 ± 0.04,"615,120 (0.38‰)",30.85 ± 0.04
Parkinson's Disease (PD),"101,861 (0.07‰)",6.54 ± 0.02,"125,386 (0.08‰)",7.25 ± 0.02,"169,878 (0.10‰)",8.72 ± 0.02
Vascular Dementia (VD),"46,177 (0.03‰)",2.89 ± 0.01,"64,954 (0.04‰)",3.60 ± 0.01,"85,422 (0.05‰)",4.26 ± 0.01
Amyotrophic Lateral Sclerosis (ALS),"31,178 (0.02‰)",1.94 ± 0.01,"35,715 (0.02‰)",1.99 ± 0.01,"34,745 (0.02‰)",1.71 ± 0.01
Cluster_k5 0,,,,,,
Neurodegenerative Disease (NDD),"15,724 (0.53‰)",52.25 ± 0.42,"20,550 (0.66‰)",56.92 ± 0.40,"23,018 (0.72‰)",55.82 ± 0.37
Unspecified Dementia (UD),"7,145 (0.24‰)",23.71 ± 0.28,"10,288 (0.33‰)",28.26 ± 0.28,"7,680 (0.24‰)",18.40 ± 0.21
Alzheimer's Disease (AD),"5,597 (0.19‰)",18.62 ± 0.25,"6,283 (0.20‰)",17.41 ± 0.22,"9,927 (0.31‰)",23.98 ± 0.24
Parkinson's Disease (PD),"1,713 (0.06‰)",5.75 ± 0.14,"2,244 (0.07‰)",6.46 ± 0.14,"3,092 (0.10‰)",7.84 ± 0.14
Vascular Dementia (VD),835 (0.03‰),2.77 ± 0.10,"1,224 (0.04‰)",3.35 ± 0.10,"1,837 (0.06‰)",4.38 ± 0.10
Amyotrophic Lateral Sclerosis (ALS),434 (0.01‰),1.39 ± 0.07,511 (0.02‰),1.44 ± 0.06,482 (0.02‰),1.22 ± 0.06
Cluster_k5 1,,,,,,
Neurodegenerative Disease (NDD),"13,447 (0.66‰)",55.75 ± 0.48,"17,692 (0.87‰)",68.13 ± 0.51,"20,536 (1.02‰)",71.26 ± 0.50
Unspecified Dementia (UD),"4,594 (0.22‰)",19.06 ± 0.28,"7,540 (0.37‰)",29.04 ± 0.34,"6,799 (0.34‰)",23.58 ± 0.29
Alzheimer's Disease (AD),"6,680 (0.33‰)",27.77 ± 0.34,"7,477 (0.37‰)",28.87 ± 0.33,"10,236 (0.51‰)",35.58 ± 0.35
Parkinson's Disease (PD),"1,292 (0.06‰)",5.37 ± 0.15,"1,502 (0.07‰)",5.77 ± 0.15,"2,173 (0.11‰)",7.51 ± 0.16
Vascular Dementia (VD),496 (0.02‰),2.05 ± 0.09,731 (0.04‰),2.82 ± 0.10,920 (0.05‰),3.17 ± 0.10
Amyotrophic Lateral Sclerosis (ALS),385 (0.02‰),1.52 ± 0.08,442 (0.02‰),1.64 ± 0.08,408 (0.02‰),1.42 ± 0.07
Cluster_k5 2,,,,,,
Neurodegenerative Disease (NDD),"261,399 (0.66‰)",57.28 ± 0.11,"337,560 (0.83‰)",66.26 ± 0.11,"363,019 (0.86‰)",64.46 ± 0.11
Unspecified Dementia (UD),"111,459 (0.28‰)",24.26 ± 0.07,"163,114 (0.40‰)",31.72 ± 0.08,"137,549 (0.33‰)",24.21 ± 0.07
Alzheimer's Disease (AD),"101,957 (0.26‰)",22.30 ± 0.07,"114,773 (0.28‰)",22.49 ± 0.07,"148,984 (0.35‰)",26.42 ± 0.07
Parkinson's Disease (PD),"27,965 (0.07‰)",6.29 ± 0.04,"33,962 (0.08‰)",6.95 ± 0.04,"45,285 (0.11‰)",8.27 ± 0.04
Vascular Dementia (VD),"11,908 (0.03‰)",2.60 ± 0.02,"16,383 (0.04‰)",3.20 ± 0.03,"21,976 (0.05‰)",3.88 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"8,110 (0.02‰)",1.83 ± 0.02,"9,328 (0.02‰)",1.91 ± 0.02,"9,225 (0.02‰)",1.68 ± 0.02
Cluster_k5 3,,,,,,
Neurodegenerative Disease (NDD),"96,120 (0.65‰)",60.33 ± 0.19,"125,982 (0.83‰)",71.23 ± 0.20,"141,099 (0.91‰)",71.70 ± 0.19
Unspecified Dementia (UD),"37,173 (0.25‰)",23.37 ± 0.12,"55,800 (0.37‰)",31.55 ± 0.13,"47,189 (0.31‰)",23.98 ± 0.11
Alzheimer's Disease (AD),"42,692 (0.29‰)",26.86 ± 0.13,"50,147 (0.33‰)",28.43 ± 0.13,"67,981 (0.44‰)",34.62 ± 0.13
Parkinson's Disease (PD),"9,308 (0.06‰)",5.83 ± 0.06,"11,438 (0.08‰)",6.48 ± 0.06,"16,260 (0.11‰)",8.23 ± 0.06
