Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C25,Pancreatic Cancer,Cluster_k5,3,High EQI,17452,148681280,10.3762,0.079,10.2228,10.5313,10.38 ± 0.08
2006-2010,C25,Pancreatic Cancer,Cluster_k5,4,Very High EQI,101830,927043681,10.8939,0.0344,10.8271,10.961,10.89 ± 0.03
2006-2010,C25,Pancreatic Cancer,Cluster_k5,National,National,175132,1518958033,10.9018,0.0262,10.8508,10.953,10.90 ± 0.03
2006-2010,C34,Lung Cancer,Cluster_k3,0,Low EQI,54370,81106909,56.922,0.2458,56.4445,57.4025,56.92 ± 0.25
2006-2010,C34,Lung Cancer,Cluster_k3,1,Medium EQI,244547,428983518,50.3709,0.1022,50.1714,50.5709,50.37 ± 0.10
2006-2010,C34,Lung Cancer,Cluster_k3,2,High EQI,492593,1008867606,48.3238,0.0693,48.1889,48.4589,48.32 ± 0.07
2006-2010,C34,Lung Cancer,Cluster_k3,National,National,791510,1518958033,49.4241,0.0559,49.3153,49.5331,49.42 ± 0.06
2006-2010,C34,Lung Cancer,Cluster_k4,0,Very Low EQI,29618,51121576,50.5599,0.2954,49.9857,51.1391,50.56 ± 0.30
2006-2010,C34,Lung Cancer,Cluster_k4,1,Low EQI,78964,125026104,54.5587,0.1954,54.1788,54.9406,54.56 ± 0.20
2006-2010,C34,Lung Cancer,Cluster_k4,2,Medium EQI,228103,398153791,50.6823,0.1065,50.4745,50.8907,50.68 ± 0.11
2006-2010,C34,Lung Cancer,Cluster_k4,3,High EQI,454825,944656562,48.0313,0.0717,47.8918,48.1711,48.03 ± 0.07
2006-2010,C34,Lung Cancer,Cluster_k4,National,National,791510,1518958033,49.4241,0.0559,49.3153,49.5331,49.42 ± 0.06
2006-2010,C34,Lung Cancer,Cluster_k5,0,Very Low EQI,12085,29434252,39.0096,0.3563,38.3171,39.7114,39.01 ± 0.36
2006-2010,C34,Lung Cancer,Cluster_k5,1,Low EQI,14950,20495378,58.5295,0.4818,57.595,59.4753,58.53 ± 0.48
2006-2010,C34,Lung Cancer,Cluster_k5,2,Medium EQI,228095,393303442,51.2493,0.1077,51.0392,51.4601,51.25 ± 0.11
2006-2010,C34,Lung Cancer,Cluster_k5,3,High EQI,92526,148681280,54.5629,0.1805,54.2119,54.9157,54.56 ± 0.18
2006-2010,C34,Lung Cancer,Cluster_k5,4,Very High EQI,443854,927043681,47.7781,0.0722,47.6376,47.9188,47.78 ± 0.07
2006-2010,C34,Lung Cancer,Cluster_k5,National,National,791510,1518958033,49.4241,0.0559,49.3153,49.5331,49.42 ± 0.06
2006-2010,C50,Breast Cancer,Cluster_k3,0,Low EQI,11033,81106909,11.921,0.1148,11.6996,12.1455,11.92 ± 0.11
2006-2010,C50,Breast Cancer,Cluster_k3,1,Medium EQI,62524,428983518,12.931,0.052,12.8298,13.0328,12.93 ± 0.05
2006-2010,C50,Breast Cancer,Cluster_k3,2,High EQI,131835,1008867606,12.6908,0.0352,12.6224,12.7595,12.69 ± 0.04
2006-2010,C50,Breast Cancer,Cluster_k3,National,National,205392,1518958033,12.7111,0.0282,12.6562,12.7662,12.71 ± 0.03
2006-2010,C50,Breast Cancer,Cluster_k4,0,Very Low EQI,6678,51121576,11.6144,0.1433,11.3375,11.8964,11.61 ± 0.14
2006-2010,C50,Breast Cancer,Cluster_k4,1,Low EQI,16685,125026104,11.8528,0.0927,11.6736,12.034,11.85 ± 0.09
2006-2010,C50,Breast Cancer,Cluster_k4,2,Medium EQI,58572,398153791,13.0499,0.0543,12.9444,13.156,13.05 ± 0.05
2006-2010,C50,Breast Cancer,Cluster_k4,3,High EQI,123457,944656562,12.7587,0.0366,12.6876,12.83,12.76 ± 0.04
2006-2010,C50,Breast Cancer,Cluster_k4,National,National,205392,1518958033,12.7111,0.0282,12.6562,12.7662,12.71 ± 0.03
2006-2010,C50,Breast Cancer,Cluster_k5,0,Very Low EQI,3433,29434252,11.0288,0.1892,10.6629,11.404,11.03 ± 0.19
