ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p_MRR,MRD_mean,MRD_lower,MRD_upper,p_MRD
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.3716,1.2313,1.5341,37.1601,0.0002,6.19,4.75,7.58,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.4321,1.2839,1.5977,43.2119,0.0002,7.39,5.81,9.0,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q2,1.4501,1.2799,1.6308,45.0107,0.0002,4.13,2.65,5.6,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q3,1.4804,1.3064,1.6676,48.0371,0.0002,4.73,3.28,6.19,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q4,1.6088,1.4315,1.803,60.8812,0.0002,7.29,5.77,8.8,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q5,1.7308,1.5417,1.9369,73.0792,0.0002,9.71,8.05,11.37,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q2,1.852,1.6836,2.0483,85.2032,0.0002,2.38,2.05,2.71,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q3,2.2257,2.0178,2.4575,122.574,0.0002,3.43,3.1,3.75,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q4,2.4531,2.2259,2.7205,145.313,0.0002,4.06,3.73,4.4,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q5,2.6827,2.4282,2.9873,168.2731,0.0002,4.71,4.34,5.07,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q2,2.0791,1.8304,2.3659,107.9083,0.0002,2.47,2.12,2.83,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q3,2.4042,2.1305,2.7322,140.416,0.0002,3.38,3.02,3.72,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q4,2.7069,2.406,3.059,170.6911,0.0002,4.23,3.87,4.59,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q5,2.9417,2.6221,3.318,194.1684,0.0002,4.88,4.5,5.25,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q2,2.673,2.3563,3.0353,167.3009,0.0002,2.87,2.47,3.26,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q3,2.9045,2.5753,3.2884,190.4549,0.0002,3.52,3.14,3.9,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q4,3.2127,2.8498,3.6366,221.2729,0.0002,4.38,3.98,4.78,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q5,3.5232,3.1382,3.9844,252.319,0.0002,5.25,4.83,5.67,0.0002
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q2,1.7971,1.4934,2.2577,79.708,0.0002,0.78,0.58,0.98,0.0002
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q3,2.4097,1.9632,3.0908,140.9711,0.0002,1.38,1.16,1.59,0.0002
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q4,2.7664,2.2391,3.601,176.639,0.0002,1.73,1.51,1.95,0.0002
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q5,3.2504,2.5943,4.2895,225.0364,0.0002,2.2,1.94,2.45,0.0002
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q2,2.5795,1.8614,3.6234,157.9501,0.0002,0.96,0.7,1.21,0.0002
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q3,3.1621,2.3137,4.4339,216.2107,0.0002,1.53,1.27,1.79,0.0002
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q4,3.5567,2.6193,4.9665,255.6654,0.0002,1.91,1.64,2.18,0.0002
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q5,3.9995,2.9704,5.5905,299.9499,0.0002,2.35,2.05,2.65,0.0002
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q2,3.2334,2.3231,4.6029,223.3379,0.0002,0.82,0.53,1.12,0.0002
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q3,3.8722,2.8131,5.4403,287.2208,0.0002,1.45,1.14,1.75,0.0002
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q4,4.3267,3.1804,6.0759,332.6681,0.0002,1.9,1.58,2.22,0.0002
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q5,5.0613,3.7414,7.0241,406.132,0.0002,2.62,2.26,2.97,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q2,1.9048,1.6139,2.2722,90.4789,0.0002,0.46,0.36,0.57,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q3,2.7489,2.3081,3.3205,174.8868,0.0002,0.9,0.79,1.01,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q4,3.7768,3.1522,4.6043,277.6758,0.0002,1.43,1.31,1.55,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q5,4.5343,3.7491,5.566,353.4277,0.0002,1.82,1.69,1.95,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q2,2.2425,1.7989,2.8282,124.2486,0.0002,0.56,0.46,0.67,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q3,3.2562,2.629,4.0635,225.623,0.0002,1.08,0.97,1.21,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q4,3.8447,3.1175,4.791,284.4726,0.0002,1.39,1.26,1.52,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q5,4.5876,3.7213,5.6931,358.7648,0.0002,1.77,1.64,1.9,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q2,1.8306,1.4463,2.3069,83.0595,0.0002,0.45,0.36,0.55,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q3,2.6404,2.1181,3.3006,164.0402,0.0002,0.87,0.78,0.97,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q4,3.2261,2.5977,4.0194,222.6064,0.0002,1.17,1.07,1.28,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q5,3.9091,3.1696,4.8643,290.905,0.0002,1.53,1.41,1.64,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,2.7615,1.4868,9.76,176.1479,0.0177,0.03,0.01,0.04,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,5.155,2.6649,20.0057,415.5004,0.0177,0.06,0.05,0.08,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,7.4628,3.8081,29.4421,646.2762,0.0177,0.1,0.08,0.11,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,12.1392,5.9894,50.8453,1113.9188,0.0177,0.17,0.15,0.19,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,3.8748,1.6485,16.7267,287.476,0.0177,0.04,0.02,0.05,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,5.6832,2.6153,24.0522,468.3206,0.0177,0.07,0.05,0.08,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,8.8597,4.1107,36.0538,785.9744,0.0177,0.11,0.1,0.13,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,15.3683,7.2709,62.1699,1436.8326,0.0177,0.21,0.19,0.23,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,3.6164,1.713,15.7977,261.6416,0.0177,0.04,0.02,0.05,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,6.3178,2.9227,26.2301,531.7768,0.0177,0.07,0.06,0.09,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,9.6204,4.5599,38.5952,862.0353,0.0177,0.13,0.11,0.15,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,16.0455,7.6238,63.8764,1504.5471,0.0177,0.22,0.2,0.24,0.0002
