ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",10,"RUCC_1_Air","-2.08(-3.49,-0.64)**","-2.10(-4.49,0.36)","1.17(-0.95,3.26)","0.02(-0.58,0.60)","0.0073","0.0894","1.0004","1.0038",4797,6369,3577,3807,1.0038,1088
"G20_G30_G12.2_F01_F03",10,"RUCC_1_Water","0.98(-1.38,3.29)","0.98(-1.13,3.09)","-0.45(-2.28,1.44)","0.02(-0.58,0.65)","0.4143","0.3497","1.0008","1.0010",5237,5116,3471,3687,1.0045,1088
"G20_G30_G12.2_F01_F03",10,"RUCC_1_Land","-0.87(-2.34,0.64)","-0.24(-1.94,1.50)","0.14(-1.99,2.26)","-0.02(-0.62,0.58)","0.2718","0.7800","1.0000","1.0020",4643,5533,3609,4191,1.002,1088
"G20_G30_G12.2_F01_F03",10,"RUCC_1_Built","0.97(-0.90,2.82)","0.49(-1.51,2.43)","-1.03(-3.54,1.33)","-0.01(-0.61,0.59)","0.3218","0.6205","1.0007","1.0013",4670,4644,4219,3728,1.0013,1088
"G20_G30_G12.2_F01_F03",10,"RUCC_1_Social","-1.57(-3.82,0.61)","2.32(-0.56,5.23)","0.62(-2.10,3.31)","-0.13(-0.73,0.45)","0.1560","0.1177","1.0013","0.9997",2966,3526,3564,3807,1.0022,1088
"G20_G30_G12.2_F01_F03",10,"RUCC_2_EQI","-1.80(-4.81,1.27)","-1.85(-5.25,1.43)","0.86(-2.50,4.16)","-1.68(-2.93,-0.42)*","0.2347","0.2926","1.0012","0.9998",3676,4574,3588,3872,1.0012,323
"G20_G30_G12.2_F01_F03",10,"RUCC_2_Air","-1.27(-4.21,1.78)","0.68(-2.66,4.07)","0.14(-3.29,3.57)","-1.64(-2.89,-0.38)*","0.3930","0.7059","1.0000","1.0004",4572,5468,3503,3146,1.0012,323
"G20_G30_G12.2_F01_F03",10,"RUCC_2_Water","-1.45(-6.43,3.42)","0.67(-3.20,4.53)","-0.31(-3.00,2.49)","-1.65(-2.93,-0.35)*","0.5688","0.7446","1.0014","1.0018",6208,7281,3808,3898,1.0018,323
"G20_G30_G12.2_F01_F03",10,"RUCC_2_Land","-0.19(-3.43,3.03)","-1.23(-4.39,1.77)","0.18(-3.05,3.32)","-1.67(-2.91,-0.42)**","0.9154","0.4160","1.0015","0.9996",4830,4460,4030,4063,1.0015,323
"G20_G30_G12.2_F01_F03",10,"RUCC_2_Built","-0.16(-3.53,3.21)","-1.02(-4.86,2.94)","-0.17(-3.80,3.47)","-1.75(-3.03,-0.49)**","0.9221","0.6047","1.0027","1.0025",3553,4106,3655,3779,1.0032,323
"G20_G30_G12.2_F01_F03",10,"RUCC_2_Social","-0.22(-3.67,3.38)","0.22(-3.58,4.02)","-0.32(-3.94,3.31)","-1.69(-2.98,-0.45)*","0.8879","0.9233","1.0014","1.0005",3568,3796,3323,3923,1.0015,323
"G20_G30_G12.2_F01_F03",10,"RUCC_3_EQI","0.36(-2.51,3.17)","-0.93(-3.70,1.87)","2.43(-0.29,5.11)","-0.63(-1.61,0.34)","0.8092","0.5118","0.9999","1.0014",3869,4092,3021,3712,1.0014,1057
"G20_G30_G12.2_F01_F03",10,"RUCC_3_Air","-1.68(-4.39,1.05)","0.07(-2.64,2.70)","2.63(0.18,5.05)*","-0.65(-1.63,0.35)","0.2397","0.9525","1.0007","1.0007",4828,4581,3707,3566,1.0007,1057
"G20_G30_G12.2_F01_F03",10,"RUCC_3_Water","-1.38(-4.99,2.41)","-1.67(-5.30,1.94)","2.49(0.31,4.76)*","-0.67(-1.68,0.32)","0.4497","0.3397","1.0003","1.0014",5503,6106,3735,3280,1.0014,1057
"G20_G30_G12.2_F01_F03",10,"RUCC_3_Land","-1.97(-5.01,1.13)","-1.88(-4.58,0.74)","3.48(0.87,6.06)**","-0.67(-1.68,0.34)","0.2106","0.1677","0.9999","1.0015",4968,4415,3559,3873,1.0015,1057
"G20_G30_G12.2_F01_F03",10,"RUCC_3_Built","1.09(-1.95,4.18)","0.21(-3.03,3.48)","1.63(-1.43,4.90)","-0.62(-1.62,0.38)","0.4914","0.9059","0.9998","1.0001",3572,3502,3427,3153,1.0001,1057
"G20_G30_G12.2_F01_F03",10,"RUCC_3_Social","2.00(-1.33,5.34)","-0.36(-3.56,2.81)","1.94(-1.20,5.11)","-0.48(-1.52,0.52)","0.2443","0.8230","1.0003","1.0000",4627,4030,4176,3723,1.0006,1057
"G20_G30_G12.2_F01_F03",10,"RUCC_4_EQI","3.56(-0.52,7.47)","-1.90(-5.09,1.32)","0.80(-2.13,3.97)","-1.26(-2.31,-0.17)*","0.0889","0.2531","1.0017","1.0018",3149,3304,3385,3385,1.0018,668
"G20_G30_G12.2_F01_F03",10,"RUCC_4_Air","-0.19(-8.62,8.03)","0.10(-3.05,3.32)","0.75(-1.91,3.53)","-1.18(-2.42,-0.02)*","0.9671","0.9371","1.0012","1.0010",6498,3302,3638,3820,1.0032,668
"G20_G30_G12.2_F01_F03",10,"RUCC_4_Water","-3.24(-7.71,1.36)","1.00(-2.95,4.95)","0.95(-1.58,3.62)","-1.22(-2.33,-0.08)*","0.1643","0.6201","1.0005","1.0006",5406,7124,3636,3608,1.0028,668
"G20_G30_G12.2_F01_F03",10,"RUCC_4_Land","1.96(-1.44,5.29)","-0.47(-4.04,3.14)","0.02(-2.98,3.21)","-1.25(-2.38,-0.15)*","0.2597","0.7959","1.0007","1.0003",2735,4079,3660,3808,1.0009,668
"G20_G30_G12.2_F01_F03",10,"RUCC_4_Built","4.06(0.04,7.87)*","-0.22(-3.88,3.51)","-0.46(-4.00,3.20)","-1.25(-2.32,-0.18)*","0.0477","0.8909","1.0014","1.0016",3031,2838,3423,2838,1.0029,668
