ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_B_Land","-0.86(-3.87,2.29)","1.08(-1.68,3.77)","10.30(7.18,13.42)***","0.04(-0.84,0.90)","0.5938","0.4426","1.0001","1.0004",5021,4738,3893,3346,1.0013,374
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_B_Built","0.16(-2.46,2.83)","1.40(-1.61,4.48)","10.09(6.90,13.21)***","0.10(-0.78,0.97)","0.9084","0.3747","1.0016","1.0016",4243,4229,4202,3728,1.0022,374
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_B_Social","0.71(-2.75,4.15)","0.71(-2.95,4.36)","10.05(6.51,13.53)***","0.15(-0.75,1.03)","0.6855","0.7026","1.0028","1.0005",4986,5313,3644,3563,1.0028,374
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_C_EQI","-0.00(-2.32,2.30)","0.07(-2.47,2.69)","10.89(8.04,13.56)***","-0.09(-1.09,0.91)","0.9788","0.9629","1.0013","1.0010",3542,3742,3637,2989,1.0013,1031
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_C_Air","0.38(-1.76,2.60)","-0.23(-2.80,2.38)","10.77(8.13,13.42)***","-0.11(-1.09,0.88)","0.7242","0.8663","1.0033","1.0001",5214,4442,3689,3913,1.0033,1031
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_C_Water","0.57(-2.91,4.05)","1.12(-1.77,4.08)","10.73(8.38,13.11)***","-0.07(-1.03,0.91)","0.7438","0.4701","1.0003","1.0020",6208,5492,3722,3729,1.002,1031
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_C_Land","1.78(-1.01,4.53)","0.20(-2.09,2.50)","10.66(7.95,13.34)***","-0.02(-1.04,1.00)","0.2064","0.8550","1.0002","1.0017",7002,5222,3662,4006,1.0017,1031
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_C_Built","-0.61(-3.37,2.14)","-1.05(-3.87,1.76)","11.49(8.37,14.71)***","-0.14(-1.17,0.86)","0.6551","0.4722","1.0004","1.0030",3901,4039,3705,3615,1.003,1031
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_C_Social","0.75(-2.52,3.94)","1.47(-2.14,5.10)","9.97(6.43,13.51)***","-0.13(-1.10,0.90)","0.6438","0.4293","1.0008","1.0014",5072,4998,4102,4152,1.0014,1031
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_D_EQI","0.78(-1.53,3.09)","0.52(-4.89,5.76)","11.16(8.06,14.18)***","0.31(-0.66,1.26)","0.5043","0.8375","1.0010","1.0007",6360,9398,4083,3521,1.0018,136
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_D_Air","1.64(-0.50,3.83)","0.37(-8.60,9.69)","10.74(7.93,13.42)***","0.28(-0.63,1.18)","0.1314","0.9579","1.0000","1.0007",5590,6984,3858,3600,1.0015,136
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_D_Water","2.87(-1.41,7.12)","-1.32(-4.74,1.96)","11.71(9.27,14.17)***","0.34(-0.59,1.28)","0.1989","0.4414","1.0004","1.0026",6754,5956,3570,3469,1.0026,136
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_D_Land","-1.90(-4.63,0.81)","-0.69(-4.49,3.13)","12.89(10.00,15.80)***","0.23(-0.70,1.16)","0.1673","0.7088","1.0020","1.0022",4771,5124,4088,3781,1.0022,136
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_D_Built","-0.77(-3.98,2.46)","2.77(-1.30,6.83)","12.25(8.78,15.69)***","0.45(-0.47,1.41)","0.6363","0.1806","1.0005","1.0006",4717,4695,4279,4199,1.0021,136
