ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"N00_N29_C64_C65",10,"Cluster_EQI_A_EQI","0.01(-2.69,2.71)","0.89(-0.58,2.40)","1.06(-0.28,2.45)","-0.03(-0.58,0.54)","0.9900","0.2360","1.0005","0.9998",6467,5690,3804,4126,1.0005,1010
"N00_N29_C64_C65",10,"Cluster_EQI_A_Air","-0.33(-2.71,2.01)","0.26(-1.31,1.81)","1.36(-0.06,2.83)","-0.07(-0.64,0.50)","0.7859","0.7321","1.0004","1.0007",6614,5462,4089,3498,1.0026,1010
"N00_N29_C64_C65",10,"Cluster_EQI_A_Water","0.22(-2.17,2.65)","-0.87(-2.89,1.25)","1.52(0.31,2.83)*","-0.07(-0.62,0.47)","0.8517","0.4085","1.0006","1.0029",6596,6001,3553,3423,1.0029,1010
"N00_N29_C64_C65",10,"Cluster_EQI_A_Land","0.47(-1.20,2.13)","-0.09(-1.90,1.71)","1.27(-0.25,2.80)","-0.07(-0.63,0.49)","0.5805","0.9100","1.0016","1.0007",4478,5963,3670,3836,1.0017,1010
"N00_N29_C64_C65",10,"Cluster_EQI_A_Built","-1.66(-3.86,0.50)","-1.10(-2.91,0.62)","2.48(0.60,4.34)**","-0.03(-0.60,0.53)","0.1343","0.2352","1.0018","1.0005",3937,3940,3791,3909,1.0037,1010
"N00_N29_C64_C65",10,"Cluster_EQI_A_Social","-1.82(-4.97,1.31)","-0.39(-2.74,2.02)","1.88(-0.62,4.31)","-0.09(-0.66,0.45)","0.2502","0.7396","1.0013","1.0002",4616,4093,3608,3791,1.0013,1010
"N00_N29_C64_C65",10,"Cluster_EQI_B_EQI","-0.24(-1.06,0.59)","0.02(-0.95,0.98)","1.80(0.73,2.88)**","0.60(0.33,0.88)***","0.5597","0.9825","1.0002","1.0007",4108,4590,3599,3442,1.0012,746
"N00_N29_C64_C65",10,"Cluster_EQI_B_Air","-0.27(-1.02,0.44)","0.81(-0.57,2.14)","1.75(0.70,2.84)**","0.60(0.32,0.88)***","0.4830","0.2518","1.0004","1.0003",5232,6164,3727,4095,1.0026,746
"N00_N29_C64_C65",10,"Cluster_EQI_B_Water","-0.87(-2.53,0.71)","0.04(-0.99,1.12)","1.71(0.76,2.68)***","0.59(0.30,0.87)***","0.2847","0.9546","1.0008","1.0009",5280,5159,4002,4188,1.001,746
"N00_N29_C64_C65",10,"Cluster_EQI_B_Land","0.26(-0.70,1.25)","0.12(-0.84,1.04)","1.52(0.39,2.66)**","0.61(0.32,0.89)***","0.5938","0.7909","1.0019","1.0007",5469,6549,3761,4005,1.0019,746
"N00_N29_C64_C65",10,"Cluster_EQI_B_Built","0.27(-0.65,1.22)","0.44(-0.67,1.58)","1.38(0.17,2.68)*","0.61(0.31,0.89)***","0.5859","0.4655","1.0009","1.0005",4748,4940,3921,3895,1.0032,746
"N00_N29_C64_C65",10,"Cluster_EQI_B_Social","0.06(-0.75,0.87)","0.98(-0.30,2.21)","1.42(0.28,2.55)*","0.56(0.28,0.84)***","0.8759","0.1243","1.0012","1.0003",5470,5266,3856,4131,1.0012,746
"N00_N29_C64_C65",10,"Cluster_EQI_C_EQI","0.34(-0.19,0.90)","0.79(-0.09,1.64)","2.06(1.22,2.87)***","0.39(0.11,0.67)**","0.2331","0.0719","1.0007","1.0007",6498,7468,4359,4014,1.0015,1380
"N00_N29_C64_C65",10,"Cluster_EQI_C_Air","-0.35(-0.93,0.24)","0.12(-0.84,1.06)","2.52(1.63,3.37)***","0.40(0.12,0.68)**","0.2327","0.8050","1.0016","1.0006",6124,5859,3562,3914,1.0029,1380
"N00_N29_C64_C65",10,"Cluster_EQI_C_Water","-1.22(-2.22,-0.19)*","-0.72(-1.66,0.24)","2.50(1.74,3.24)***","0.41(0.13,0.69)**","0.0173","0.1431","1.0007","1.0010",6623,5825,3755,4127,1.001,1380
