ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
K76,Non-alcoholic,5,EQI,0.0,"0.43(0.31,0.55)","0.72(0.60,0.84)","1.03(0.89,1.18)","1.38(1.22,1.54)"
K76,Non-alcoholic,5,Air,0.0,"0.34(0.23,0.46)","0.69(0.56,0.82)","1.07(0.92,1.21)","1.33(1.18,1.49)"
K76,Non-alcoholic,5,Water,0.0,"0.08(-0.07,0.23)","0.14(-0.02,0.29)","0.21(0.05,0.37)","0.15(-0.02,0.33)"
K76,Non-alcoholic,5,Land,0.0,"0.01(-0.10,0.13)","0.00(-0.12,0.13)","-0.05(-0.19,0.10)","-0.11(-0.26,0.05)"
K76,Non-alcoholic,5,Built,0.0,"0.25(0.15,0.36)","0.24(0.13,0.36)","0.34(0.23,0.46)","0.41(0.28,0.53)"
K76,Non-alcoholic,5,Social,0.0,"0.01(-0.11,0.13)","0.05(-0.09,0.19)","0.01(-0.14,0.17)","-0.02(-0.20,0.17)"
K76,Non-alcoholic,10,EQI,0.0,"0.69(0.53,0.85)","0.98(0.81,1.15)","1.35(1.16,1.54)","1.70(1.49,1.91)"
K76,Non-alcoholic,10,Air,0.0,"0.65(0.47,0.81)","1.15(0.97,1.33)","1.31(1.11,1.50)","1.58(1.36,1.78)"
K76,Non-alcoholic,10,Water,0.0,"0.35(0.16,0.54)","0.36(0.15,0.57)","0.42(0.21,0.64)","0.45(0.22,0.68)"
K76,Non-alcoholic,10,Land,0.0,"0.01(-0.16,0.17)","0.07(-0.11,0.24)","-0.05(-0.25,0.15)","-0.10(-0.30,0.11)"
K76,Non-alcoholic,10,Built,0.0,"0.33(0.19,0.49)","0.40(0.24,0.56)","0.37(0.21,0.53)","0.48(0.31,0.65)"
K76,Non-alcoholic,10,Social,0.0,"0.09(-0.09,0.26)","0.01(-0.18,0.20)","-0.03(-0.24,0.18)","0.05(-0.19,0.30)"
K76,Non-alcoholic,15,EQI,0.0,"0.56(0.41,0.72)","0.88(0.71,1.05)","1.32(1.13,1.50)","1.59(1.38,1.79)"
K76,Non-alcoholic,15,Air,0.0,"0.73(0.57,0.90)","1.25(1.07,1.43)","1.51(1.33,1.70)","1.46(1.27,1.65)"
K76,Non-alcoholic,15,Water,0.0,"0.21(0.01,0.40)","0.46(0.25,0.66)","0.48(0.27,0.69)","0.51(0.29,0.72)"
K76,Non-alcoholic,15,Land,0.0,"0.06(-0.10,0.23)","0.02(-0.15,0.18)","-0.13(-0.31,0.05)","-0.10(-0.29,0.10)"
K76,Non-alcoholic,15,Built,0.0,"0.24(0.09,0.39)","0.33(0.17,0.48)","0.37(0.21,0.53)","0.40(0.22,0.58)"
K76,Non-alcoholic,15,Social,0.0,"-0.27(-0.44,-0.09)","-0.19(-0.38,-0.01)","-0.30(-0.51,-0.09)","-0.27(-0.52,-0.02)"
K76,Non-alcoholic,20,EQI,0.0,"0.69(0.49,0.88)","1.34(1.12,1.57)","1.87(1.62,2.12)","1.93(1.65,2.22)"
K76,Non-alcoholic,20,Air,0.0,"0.94(0.73,1.16)","1.53(1.29,1.78)","1.80(1.55,2.05)","1.72(1.45,1.99)"
K76,Non-alcoholic,20,Water,0.0,"0.26(-0.00,0.52)","0.41(0.12,0.69)","0.71(0.43,1.00)","0.49(0.18,0.80)"
K76,Non-alcoholic,20,Land,0.0,"0.22(0.01,0.43)","0.20(-0.03,0.42)","0.17(-0.09,0.43)","0.21(-0.05,0.49)"
K76,Non-alcoholic,20,Built,0.0,"0.31(0.11,0.51)","0.54(0.33,0.76)","0.54(0.32,0.75)","0.46(0.23,0.69)"
K76,Non-alcoholic,20,Social,0.0,"0.01(-0.22,0.24)","-0.15(-0.40,0.10)","-0.25(-0.54,0.05)","-0.24(-0.59,0.11)"
