ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
J60_J66,Pneumoconiosis,5,Built,0.0,"0.00(-0.01,0.02)","0.01(-0.01,0.03)","0.02(0.00,0.04)","0.02(0.00,0.04)"
J60_J66,Pneumoconiosis,5,Social,0.0,"-0.00(-0.02,0.02)","-0.01(-0.03,0.01)","-0.01(-0.04,0.01)","-0.02(-0.05,0.01)"
J60_J66,Pneumoconiosis,10,EQI,0.0,"0.01(-0.00,0.02)","0.03(0.02,0.05)","0.04(0.03,0.06)","0.08(0.06,0.09)"
J60_J66,Pneumoconiosis,10,Air,0.0,"0.02(0.01,0.03)","0.02(0.01,0.04)","0.05(0.04,0.07)","0.10(0.09,0.12)"
J60_J66,Pneumoconiosis,10,Water,0.0,"-0.00(-0.02,0.01)","-0.00(-0.02,0.01)","0.00(-0.01,0.02)","0.01(-0.00,0.03)"
J60_J66,Pneumoconiosis,10,Land,0.0,"-0.00(-0.01,0.01)","0.00(-0.01,0.01)","-0.01(-0.03,-0.00)","-0.01(-0.03,0.00)"
J60_J66,Pneumoconiosis,10,Built,0.0,"-0.00(-0.01,0.01)","0.00(-0.01,0.02)","0.00(-0.01,0.02)","0.00(-0.01,0.02)"
J60_J66,Pneumoconiosis,10,Social,0.0,"0.01(-0.00,0.02)","0.01(-0.01,0.02)","0.01(-0.01,0.02)","0.00(-0.01,0.02)"
J60_J66,Pneumoconiosis,15,EQI,0.0,"0.01(0.00,0.02)","0.02(0.01,0.03)","0.03(0.02,0.04)","0.05(0.04,0.06)"
J60_J66,Pneumoconiosis,15,Air,0.0,"0.01(0.00,0.02)","0.02(0.01,0.03)","0.04(0.03,0.05)","0.06(0.05,0.07)"
J60_J66,Pneumoconiosis,15,Water,0.0,"0.00(-0.01,0.02)","0.00(-0.01,0.01)","-0.00(-0.01,0.01)","0.01(0.00,0.02)"
J60_J66,Pneumoconiosis,15,Land,0.0,"-0.01(-0.02,0.00)","0.00(-0.01,0.01)","-0.01(-0.02,0.00)","-0.01(-0.02,-0.00)"
J60_J66,Pneumoconiosis,15,Built,0.0,"-0.00(-0.01,0.00)","0.00(-0.01,0.01)","0.00(-0.01,0.01)","0.00(-0.01,0.01)"
J60_J66,Pneumoconiosis,15,Social,0.0,"0.00(-0.00,0.01)","0.01(-0.00,0.02)","0.01(-0.00,0.02)","0.01(-0.01,0.02)"
J60_J66,Pneumoconiosis,20,EQI,0.0,"0.00(-0.00,0.01)","0.01(0.00,0.01)","0.01(0.01,0.01)","0.02(0.01,0.02)"
J60_J66,Pneumoconiosis,20,Air,0.0,"0.00(0.00,0.01)","0.01(0.00,0.01)","0.01(0.01,0.02)","0.03(0.02,0.03)"
J60_J66,Pneumoconiosis,20,Water,0.0,"0.00(-0.00,0.01)","0.00(-0.00,0.01)","0.00(-0.00,0.00)","0.00(-0.00,0.01)"
J60_J66,Pneumoconiosis,20,Land,0.0,"0.00(-0.00,0.00)","0.00(-0.00,0.00)","-0.00(-0.00,0.00)","-0.00(-0.01,0.00)"
J60_J66,Pneumoconiosis,20,Built,0.0,"-0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(0.00,0.01)","-0.00(-0.00,0.00)"
J60_J66,Pneumoconiosis,20,Social,0.0,"0.00(-0.00,0.00)","0.00(-0.00,0.01)","0.00(-0.00,0.01)","0.00(-0.00,0.01)"
