ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
"I00_I99","2021_2024",20,"Economic_type_2_SVI+SM+UN","0.00","-2.57(-11.46,6.46)","1.43(-7.38,10.53)","5.12(-4.29,14.35)","0.5718","1.0007",7885,3648,"0.7580","1.0011",6376,3518,"0.2843","1.0015",6618,3838
"I00_I99","2006_2010",5,"Economic_type_3_SVI+SM+UN","0.00","0.89(-3.20,5.16)","1.71(-2.85,6.27)","22.02(16.41,27.57)","0.6934","1.0016",3370,3677,"0.4809","1.0036",2668,3420,"0.0002","1.0027",2919,3365
"I00_I99","2011_2015",10,"Economic_type_3_SVI+SM+UN","0.00","0.28(-3.90,4.42)","4.60(-0.10,9.09)","23.28(17.64,28.71)","0.8809","1.0014",3028,3364,"0.0544","1.0016",2339,2937,"0.0002","1.0016",2774,3470
"I00_I99","2016_2020",15,"Economic_type_3_SVI+SM+UN","0.00","0.16(-4.07,4.24)","5.38(0.65,9.83)","27.57(22.12,33.15)","0.9275","1.0009",3238,3755,"0.0277","1.0017",2543,3235,"0.0002","1.0009",3098,3733
"I00_I99","2021_2024",20,"Economic_type_3_SVI+SM+UN","0.00","-7.03(-12.85,-1.15)","1.58(-4.69,7.67)","26.02(18.73,33.53)","0.0173","1.0010",3335,3272,"0.6155","1.0027",3185,3174,"0.0002","1.0007",3643,3255
"I00_I99","2006_2010",5,"Economic_type_4_SVI+SM+UN","0.00","0.67(-5.72,7.03)","10.82(4.49,17.23)","17.47(10.66,24.37)","0.8475","1.0012",3795,3522,"0.0019","1.0016",3715,3700,"0.0002","1.0016",3392,3452
"I00_I99","2011_2015",10,"Economic_type_4_SVI+SM+UN","0.00","-1.82(-7.55,3.92)","12.14(6.06,18.15)","19.03(12.42,25.67)","0.5330","1.0010",3606,3619,"0.0002","1.0003",3481,3531,"0.0002","1.0011",3463,3664
"I00_I99","2016_2020",15,"Economic_type_4_SVI+SM+UN","0.00","-2.02(-8.07,4.30)","10.65(4.24,17.00)","20.42(13.37,27.48)","0.5130","1.0010",3822,3618,"0.0031","1.0028",3589,3639,"0.0002","1.0018",3206,3171
"I00_I99","2021_2024",20,"Economic_type_4_SVI+SM+UN","0.00","-5.05(-12.71,2.74)","5.95(-1.79,13.87)","11.33(3.15,19.61)","0.2060","1.0005",8265,3762,"0.1335","1.0002",8005,3339,"0.0077","1.0006",7724,3549
"I00_I99","2006_2010",5,"Economic_type_5_SVI+SM+UN","0.00","-2.33(-8.07,3.54)","9.48(3.15,15.99)","17.12(9.56,24.50)","0.4072","1.0001",4843,4114,"0.0040","1.0012",4638,3793,"0.0002","0.9997",5031,3436
"I00_I99","2011_2015",10,"Economic_type_5_SVI+SM+UN","0.00","-0.62(-5.95,4.64)","8.28(2.55,14.00)","18.10(11.11,25.18)","0.8188","1.0003",3887,3793,"0.0073","1.0004",3362,3439,"0.0002","1.0010",4053,3531
"I00_I99","2016_2020",15,"Economic_type_5_SVI+SM+UN","0.00","2.27(-2.97,7.64)","12.36(6.73,18.15)","19.40(12.59,26.27)","0.4110","1.0003",3683,3216,"0.0002","1.0003",3186,3625,"0.0002","1.0000",3724,3593
"I00_I99","2021_2024",20,"Economic_type_5_SVI+SM+UN","0.00","1.59(-5.70,8.93)","4.86(-2.32,12.14)","10.35(1.98,18.62)","0.6647","1.0005",6611,3451,"0.1906","0.9996",6229,3899,"0.0165","1.0017",7291,3380
"I00_I99","2006_2010",5,"Economic_type_6_SVI+SM+UN","0.00","-4.41(-8.34,-0.43)","3.85(-0.63,8.24)","23.99(18.64,29.37)","0.0273","1.0007",3841,3808,"0.0856","1.0024",3166,3252,"0.0002","1.0011",3083,3307
"I00_I99","2011_2015",10,"Economic_type_6_SVI+SM+UN","0.00","-2.05(-5.88,1.79)","5.94(1.65,10.29)","24.15(19.06,29.38)","0.2851","0.9997",4601,3705,"0.0098","0.9998",3365,3614,"0.0002","1.0018",3594,3313
"I00_I99","2016_2020",15,"Economic_type_6_SVI+SM+UN","0.00","-2.10(-6.04,1.91)","8.09(3.60,12.56)","26.89(21.41,32.31)","0.2964","1.0008",4328,3572,"0.0002","1.0009",3033,3383,"0.0002","1.0017",3026,3476
"I00_I99","2021_2024",20,"Economic_type_6_SVI+SM+UN","0.00","-9.14(-15.16,-3.08)","5.41(-1.08,11.95)","21.36(13.81,28.83)","0.0040","1.0000",3804,3545,"0.1048","1.0023",3763,3537,"0.0002","1.0008",3465,3349
"I00_I99","2006_2010",5,"Homeownership_tertile_1_SVI+SM+UN","0.00","10.59(5.08,16.08)","13.33(7.77,19.20)","36.06(29.90,42.36)","0.0002","1.0023",3710,3540,"0.0002","1.0007",3520,3346,"0.0002","1.0017",3343,3315
"I00_I99","2011_2015",10,"Homeownership_tertile_1_SVI+SM+UN","0.00","7.34(2.09,12.58)","12.58(7.08,18.06)","34.37(28.26,40.50)","0.0069","1.0003",3781,3650,"0.0002","1.0014",3472,3518,"0.0002","1.0012",3201,3592
"I00_I99","2016_2020",15,"Homeownership_tertile_1_SVI+SM+UN","0.00","4.28(-1.08,9.56)","12.57(7.13,17.92)","37.57(31.35,43.66)","0.1239","1.0007",3075,3447,"0.0002","1.0008",2551,2714,"0.0002","1.0014",2554,2785
"I00_I99","2021_2024",20,"Homeownership_tertile_1_SVI+SM+UN","0.00","-7.54(-14.34,-0.68)","2.25(-4.58,9.03)","25.65(18.27,32.82)","0.0327","1.0008",4825,3515,"0.5180","1.0012",3869,3921,"0.0002","1.0010",3919,3911
"I00_I99","2006_2010",5,"Homeownership_tertile_2_SVI+SM+UN","0.00","-0.40(-4.87,3.91)","10.69(5.63,15.61)","18.92(13.00,24.94)","0.8596","1.0006",4944,3959,"0.0002","0.9998",4394,4025,"0.0002","1.0005",4774,3731
"I00_I99","2011_2015",10,"Homeownership_tertile_2_SVI+SM+UN","0.00","3.16(-1.06,7.32)","12.47(7.62,17.32)","22.33(16.48,28.05)","0.1343","1.0004",3654,3534,"0.0002","1.0011",2931,3123,"0.0002","1.0011",3201,3409
"I00_I99","2016_2020",15,"Homeownership_tertile_2_SVI+SM+UN","0.00","2.23(-1.83,6.35)","9.76(5.04,14.50)","20.75(14.95,26.51)","0.2810","1.0005",4408,3773,"0.0002","1.0017",3732,3809,"0.0002","1.0019",4035,3729
"I00_I99","2021_2024",20,"Homeownership_tertile_2_SVI+SM+UN","0.00","-5.84(-11.74,0.13)","4.90(-1.47,11.29)","16.34(9.03,23.66)","0.0535","1.0008",4964,4005,"0.1235","1.0004",4779,4090,"0.0002","0.9999",4875,3571
"I00_I99","2006_2010",5,"Homeownership_tertile_3_SVI+SM+UN","0.00","-1.74(-5.89,2.28)","2.58(-2.53,7.73)","12.56(5.74,19.27)","0.3951","1.0003",5667,3946,"0.3168","1.0010",4465,3287,"0.0002","1.0002",4473,3893
"I00_I99","2011_2015",10,"Homeownership_tertile_3_SVI+SM+UN","0.00","0.47(-3.33,4.35)","7.08(2.15,12.01)","14.12(7.66,20.69)","0.8155","1.0011",4390,4195,"0.0015","1.0002",3833,3313,"0.0002","1.0002",5132,3949
"I00_I99","2016_2020",15,"Homeownership_tertile_3_SVI+SM+UN","0.00","0.11(-3.86,4.18)","6.68(1.65,11.75)","20.66(14.02,27.12)","0.9579","1.0020",4027,3319,"0.0102","1.0018",3248,3095,"0.0002","1.0010",4083,3421
"I00_I99","2021_2024",20,"Homeownership_tertile_3_SVI+SM+UN","0.00","-0.15(-5.90,5.71)","8.78(2.13,15.49)","13.90(5.70,22.35)","0.9567","1.0006",5172,3737,"0.0106","1.0003",4534,4137,"0.0002","1.0003",5018,3753
