"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C61","RUCC2_Built_Multi",5,"0.10(-0.87,1.18)","-0.40(-2.16,1.48)","-1.03(-2.73,0.93)","-0.10(-0.54,0.47)",306,1.075
"C61","RUCC2_Social_Multi",5,"-0.17(-1.58,1.10)","-0.19(-1.76,1.31)","-1.03(-2.73,0.93)","-0.10(-0.54,0.47)",306,1.075
"C61","RUCC3_EQI",5,"1.26(-0.04,2.53)","0.98(-0.20,2.13)","-2.16(-3.23,-1.07)***","-0.31(-0.72,0.10)",1026,1.0015
"C61","RUCC3_Air",5,"0.01(-1.38,1.47)","0.61(-0.55,1.74)","-1.60(-2.58,-0.62)**","-0.29(-0.70,0.16)",1026,1.0016
"C61","RUCC3_Water",5,"-0.95(-2.42,0.57)","-1.03(-2.75,0.70)","-1.18(-1.99,-0.37)**","-0.36(-0.77,0.06)",1026,1.0029
"C61","RUCC3_Land",5,"-0.84(-2.16,0.57)","0.13(-1.03,1.30)","-1.20(-2.23,-0.15)*","-0.33(-0.73,0.08)",1026,1
"C61","RUCC3_Built",5,"-0.03(-1.50,1.55)","-0.51(-2.01,1.07)","-1.12(-2.59,0.30)","-0.32(-0.73,0.10)",1026,1.0009
"C61","RUCC3_Social",5,"1.25(-0.38,2.88)","1.06(-0.47,2.53)","-2.29(-3.70,-0.79)**","-0.31(-0.72,0.13)",1026,1.0032
"C61","RUCC3_Air_Multi",5,"0.05(-1.30,1.43)","0.72(-0.41,1.87)","-2.32(-4.57,-0.04)*","-0.26(-0.68,0.16)",1026,1.0026
"C61","RUCC3_Water_Multi",5,"-0.55(-2.04,0.92)","-0.95(-2.54,0.64)","-2.32(-4.57,-0.04)*","-0.26(-0.68,0.16)",1026,1.0026
"C61","RUCC3_Land_Multi",5,"-0.81(-2.18,0.59)","0.30(-0.86,1.48)","-2.32(-4.57,-0.04)*","-0.26(-0.68,0.16)",1026,1.0026
"C61","RUCC3_Built_Multi",5,"0.42(-1.16,1.92)","-0.38(-1.87,1.12)","-2.32(-4.57,-0.04)*","-0.26(-0.68,0.16)",1026,1.0026
"C61","RUCC3_Social_Multi",5,"1.27(-0.33,2.90)","0.98(-0.51,2.48)","-2.32(-4.57,-0.04)*","-0.26(-0.68,0.16)",1026,1.0026
"C61","RUCC4_EQI",5,"3.87(0.02,7.74)*","2.65(-0.34,5.51)","-3.40(-6.10,-0.75)**","-0.74(-1.93,0.42)",639,1.0015
"C61","RUCC4_Air",5,"-0.69(-6.60,5.26)","-0.33(-3.06,2.32)","-1.39(-3.90,1.05)","-0.89(-2.07,0.29)",639,1.0027
"C61","RUCC4_Water",5,"-0.40(-4.40,3.51)","3.05(-0.99,7.02)","-1.87(-3.93,0.30)","-0.88(-2.08,0.31)",639,1.0019
"C61","RUCC4_Land",5,"-0.00(-3.05,3.12)","0.69(-2.43,3.98)","-1.78(-4.39,0.81)","-0.88(-2.04,0.27)",639,1.0023
"C61","RUCC4_Built",5,"1.38(-2.29,5.11)","0.54(-2.90,3.97)","-2.24(-5.53,1.10)","-0.88(-2.09,0.33)",639,1.0015
"C61","RUCC4_Social",5,"-0.63(-5.18,4.24)","-1.61(-5.43,2.16)","-0.25(-4.09,3.56)","-0.85(-2.02,0.32)",639,1.0022
"C61","RUCC4_Air_Multi",5,"-0.50(-6.56,5.51)","-0.33(-3.32,2.54)","-1.73(-6.63,3.16)","-0.86(-2.13,0.40)",639,1.0049
"C61","RUCC4_Water_Multi",5,"-0.50(-4.40,3.42)","3.19(-0.82,7.18)","-1.73(-6.63,3.16)","-0.86(-2.13,0.40)",639,1.0049
"C61","RUCC4_Land_Multi",5,"0.04(-3.14,3.17)","1.00(-2.15,4.20)","-1.73(-6.63,3.16)","-0.86(-2.13,0.40)",639,1.0049
"C61","RUCC4_Built_Multi",5,"1.61(-2.22,5.44)","0.95(-2.48,4.54)","-1.73(-6.63,3.16)","-0.86(-2.13,0.40)",639,1.0049
"C61","RUCC4_Social_Multi",5,"-0.79(-5.64,4.19)","-1.48(-5.42,2.62)","-1.73(-6.63,3.16)","-0.86(-2.13,0.40)",639,1.0049
"C61","Within_RUCC_EQI",5,"0.23(-0.49,0.98)","0.14(-0.62,0.95)","-1.40(-2.17,-0.65)***","-0.14(-0.34,0.07)",3137,1.0019
"C61","Within_RUCC_Air",5,"-0.41(-0.96,0.14)","0.05(-0.55,0.66)","-1.09(-1.70,-0.51)***","-0.15(-0.35,0.05)",3137,1.0021
"C61","Within_RUCC_Water",5,"-0.11(-0.88,0.64)","-0.04(-0.75,0.66)","-1.22(-1.74,-0.74)***","-0.15(-0.35,0.05)",3137,1.0032
"C61","Within_RUCC_Land",5,"-0.73(-1.34,-0.15)**","-0.39(-1.00,0.22)","-0.83(-1.39,-0.26)**","-0.14(-0.35,0.05)",3137,1.0012
"C61","Within_RUCC_Built",5,"-0.33(-1.04,0.40)","-0.07(-0.83,0.67)","-1.04(-1.83,-0.26)*","-0.15(-0.35,0.05)",3137,1.0017
"C61","Within_RUCC_Social",5,"-0.02(-0.60,0.57)","-0.63(-1.27,0.00)","-1.03(-1.69,-0.38)**","-0.12(-0.33,0.07)",3137,1.002
"C61","EQI",10,"-0.27(-0.83,0.31)","-0.16(-0.81,0.48)","0.60(0.00,1.22)*","0.25(0.03,0.46)*",3136,1.0012
"C61","Air",10,"-0.30(-0.87,0.25)","-0.01(-0.66,0.66)","0.56(-0.02,1.18)","0.23(0.03,0.44)*",3136,1.0008
"C61","Water",10,"0.05(-0.79,0.91)","-0.40(-1.21,0.44)","0.48(-0.03,0.99)","0.24(0.03,0.45)*",3136,1.0008
"C61","Land",10,"0.27(-0.34,0.90)","-0.56(-1.20,0.08)","0.49(-0.17,1.14)","0.24(0.04,0.46)*",3136,1.0016
"C61","Built",10,"-0.32(-1.03,0.39)","0.10(-0.62,0.84)","0.58(-0.22,1.31)","0.25(0.04,0.45)*",3136,1.0025
"C61","Social",10,"0.57(-0.20,1.34)","1.09(0.28,1.95)*","-0.24(-1.02,0.55)","0.21(-0.01,0.43)",3136,1.0027
"C61","Air_Multi",10,"-0.21(-0.78,0.34)","-0.08(-0.76,0.60)","0.13(-1.05,1.25)","0.21(0.00,0.43)*",3136,1.0038
"C61","Water_Multi",10,"-0.00(-0.83,0.82)","-0.32(-1.15,0.53)","0.13(-1.05,1.25)","0.21(0.00,0.43)*",3136,1.0038
"C61","Land_Multi",10,"0.36(-0.25,0.98)","-0.58(-1.23,0.08)","0.13(-1.05,1.25)","0.21(0.00,0.43)*",3136,1.0038
"C61","Built_Multi",10,"-0.35(-1.07,0.43)","0.01(-0.72,0.78)","0.13(-1.05,1.25)","0.21(0.00,0.43)*",3136,1.0038
"C61","Social_Multi",10,"0.53(-0.24,1.32)","1.07(0.22,1.95)*","0.13(-1.05,1.25)","0.21(0.00,0.43)*",3136,1.0038
"C61","RUCC1_EQI",10,"-0.14(-0.49,0.22)","-0.15(-0.64,0.33)","0.19(-0.19,0.58)","0.03(-0.10,0.16)",1165,1.0007
"C61","RUCC1_Air",10,"-0.05(-0.42,0.31)","0.22(-0.47,1.05)","0.12(-0.26,0.52)","0.02(-0.11,0.16)",1165,1.0053
"C61","RUCC1_Water",10,"-0.03(-0.67,0.65)","0.56(0.01,1.09)*","0.06(-0.25,0.38)","0.04(-0.09,0.16)",1165,1.0007
"C61","RUCC1_Land",10,"0.21(-0.21,0.62)","-0.15(-0.63,0.36)","0.01(-0.45,0.44)","0.02(-0.11,0.15)",1165,1.0009
"C61","RUCC1_Built",10,"-0.03(-0.57,0.52)","0.26(-0.31,0.84)","0.03(-0.54,0.58)","0.03(-0.10,0.16)",1165,1.0032
"C61","RUCC1_Social",10,"0.43(-0.20,1.08)","2.24(1.42,3.03)***","-0.48(-1.11,0.20)","-0.02(-0.15,0.11)",1165,1.0015
"C61","RUCC1_Air_Multi",10,"0.13(-0.22,0.48)","0.72(0.02,1.43)*","-0.92(-1.84,-0.01)*","-0.02(-0.15,0.10)",1165,1.0021
"C61","RUCC1_Water_Multi",10,"0.08(-0.60,0.76)","0.38(-0.16,0.92)","-0.92(-1.84,-0.01)*","-0.02(-0.15,0.10)",1165,1.0021
"C61","RUCC1_Land_Multi",10,"0.40(-0.01,0.82)","-0.01(-0.50,0.49)","-0.92(-1.84,-0.01)*","-0.02(-0.15,0.10)",1165,1.0021
