ICD_Code,Model,Lag,MRD_Q_Improved,MRD_Q_Worsened,Intercept_Baseline_Change,Control_delta_Smoking_Rate,N_Counties,Rhat_max,,,
C00_C97,RUCC3_Water_Multi,5,"-0.74(-6.08,4.66)","1.07(-4.61,6.58)","-8.28(-14.80,-1.96)*","-0.93(-3.09,1.03)",1026,1.0023,,,
C00_C97,RUCC3_Land_Multi,5,"-0.81(-6.06,4.52)","-2.45(-7.17,2.40)","-8.28(-14.80,-1.96)*","-0.93(-3.09,1.03)",1026,1.0023,,,
C00_C97,RUCC3_Built_Multi,5,"-0.48(-5.47,4.74)","-2.54(-7.99,3.02)","-8.28(-14.80,-1.96)*","-0.93(-3.09,1.03)",1026,1.0023,,,
C00_C97,RUCC3_Social_Multi,5,"-1.08(-6.71,4.36)","0.06(-5.03,4.94)","-8.28(-14.80,-1.96)*","-0.93(-3.09,1.03)",1026,1.0023,,,
C00_C97,RUCC4_EQI,5,"-0.27(-8.18,7.62)","-4.83(-12.25,2.44)","-2.85(-9.38,3.72)","1.76(-2.60,5.88)",639,1.0568,,,
C00_C97,RUCC4_Air,5,"0.86(-8.12,9.90)","1.24(-5.57,8.01)","-5.60(-12.06,0.65)","2.14(-1.74,5.77)",639,1.0019,,,
C00_C97,RUCC4_Water,5,"-1.80(-10.17,6.95)","0.45(-6.97,8.94)","-4.56(-10.56,1.04)","1.10(-3.05,5.48)",639,1.1679,,,
C00_C97,RUCC4_Land,5,"-8.25(-15.98,-0.14)*","-0.57(-7.42,6.40)","-3.98(-10.49,2.47)","1.66(-2.19,5.33)",639,1.0027,,,
C00_C97,RUCC4_Built,5,"1.97(-5.88,9.80)","-5.80(-13.12,1.34)","-3.14(-9.81,3.08)","2.50(-1.59,6.32)",639,1.0008,,,
C00_C97,RUCC4_Social,5,"0.52(-8.25,9.03)","1.18(-5.13,8.24)","-5.00(-11.40,0.68)","0.45(-3.35,5.14)",639,1.1562,,,
C00_C97,RUCC4_Air_Multi,5,"1.60(-7.69,10.69)","1.52(-5.24,8.53)","-5.01(-12.52,2.61)","2.30(-1.86,6.19)",639,1.0024,,,
C00_C97,RUCC4_Water_Multi,5,"-0.81(-9.02,7.18)","1.70(-5.86,9.34)","-5.01(-12.52,2.61)","2.30(-1.86,6.19)",639,1.0024,,,
C00_C97,RUCC4_Land_Multi,5,"-8.03(-16.26,0.12)","-0.10(-7.38,6.91)","-5.01(-12.52,2.61)","2.30(-1.86,6.19)",639,1.0024,,,
C00_C97,RUCC4_Built_Multi,5,"2.29(-5.41,10.17)","-6.31(-13.51,1.16)","-5.01(-12.52,2.61)","2.30(-1.86,6.19)",639,1.0024,,,
C00_C97,RUCC4_Social_Multi,5,"1.38(-7.14,9.80)","4.02(-3.26,11.33)","-5.01(-12.52,2.61)","2.30(-1.86,6.19)",639,1.0024,,,
C00_C97,Within_RUCC_EQI,5,"-1.33(-3.34,0.57)","0.66(-1.58,2.95)","-11.84(-13.79,-9.92)***","-0.18(-0.72,0.38)",3137,1.0023,,,
C00_C97,Within_RUCC_Air,5,"-0.76(-2.41,0.84)","0.98(-0.99,2.96)","-12.14(-13.77,-10.46)***","-0.03(-0.57,0.52)",3137,1.001,,,
C00_C97,Within_RUCC_Water,5,"1.08(-1.46,3.59)","0.90(-1.11,2.87)","-12.58(-13.76,-11.39)***","-0.05(-0.57,0.48)",3137,1.0036,,,
C00_C97,Within_RUCC_Land,5,"-0.59(-2.28,1.06)","1.14(-0.71,2.97)","-12.50(-14.12,-10.83)***","-0.09(-0.63,0.48)",3137,1.0013,,,
C00_C97,Within_RUCC_Built,5,"-2.51(-4.62,-0.41)*","-0.34(-2.77,2.01)","-10.70(-12.87,-8.49)***","-0.07(-0.59,0.45)",3137,1.0025,,,
C00_C97,Within_RUCC_Social,5,"1.11(-0.53,2.77)","4.13(2.01,6.12)***","-14.11(-15.86,-12.40)***","-0.23(-0.75,0.31)",3137,1.0012,,,
C00_C97,EQI,10,"-1.24(-2.72,0.19)","2.42(0.56,4.23)**","-11.96(-13.43,-10.36)***","0.44(-0.09,0.95)",3136,1.0023,,,
C00_C97,Air,10,"-0.36(-1.85,1.16)","1.24(-1.23,3.76)","-11.84(-13.41,-10.22)***","0.53(-0.03,1.07)",3136,1.001,,,
C00_C97,Water,10,"0.20(-2.24,2.56)","2.46(0.28,4.55)*","-12.19(-13.38,-10.87)***","0.56(0.03,1.10)*",3136,1.002,,,
C00_C97,Land,10,"-0.33(-1.91,1.22)","1.67(-0.12,3.46)","-12.31(-13.85,-10.73)***","0.46(-0.06,0.98)",3136,1.0009,,,
C00_C97,Built,10,"-1.69(-3.67,0.29)","1.10(-1.00,3.19)","-11.39(-13.41,-9.35)***","0.49(-0.02,1.03)",3136,1.0009,,,
C00_C97,Social,10,"-0.77(-3.07,1.44)","2.62(-0.12,5.39)","-11.97(-14.22,-9.73)***","0.37(-0.15,0.91)",3136,1.0028,,,
C00_C97,Air_Multi,10,"-0.28(-1.75,1.17)","-0.54(-2.94,2.07)","-11.97(-15.11,-8.84)***","0.47(-0.06,1.02)",3136,1.0022,,,
C00_C97,Water_Multi,10,"-0.17(-2.49,2.22)","2.50(0.45,4.57)*","-11.97(-15.11,-8.84)***","0.47(-0.06,1.02)",3136,1.0022,,,
C00_C97,Land_Multi,10,"0.28(-1.29,1.92)","1.73(-0.09,3.50)","-11.97(-15.11,-8.84)***","0.47(-0.06,1.02)",3136,1.0022,,,
C00_C97,Built_Multi,10,"-1.60(-3.52,0.39)","0.76(-1.33,2.91)","-11.97(-15.11,-8.84)***","0.47(-0.06,1.02)",3136,1.0022,,,
C00_C97,Social_Multi,10,"-0.26(-2.45,1.90)","1.25(-1.40,3.86)","-11.97(-15.11,-8.84)***","0.47(-0.06,1.02)",3136,1.0022,,,
C00_C97,RUCC1_EQI,10,"-1.75(-3.24,-0.26)*","2.37(0.18,4.46)*","-12.43(-14.10,-10.78)***","0.33(-0.28,0.89)",1165,1.0018,,,
